school_name,name,left_over_total,offered,leftover_rate
Aldrin Elementary,Mandarin Orange Parfait(Parfait),18,33,54.54545454545454
Aldrin Elementary,Assorted Cereal(Cereal Cup),41,87,47.12643678160919
Aldrin Elementary,Strawberry Parfait(Parfait),19,41,46.34146341463415
Aldrin Elementary,Vegan Burger(Sandwich),2,5,40.0
Aldrin Elementary,Blueberry Chex Cereal(Each),116,301,38.53820598006645
Aldrin Elementary,Egg and American Cheese on Bagel(Sandwich),1,3,33.33333333333333
Aldrin Elementary,Honey Cheerios Cereal(Each),85,296,28.716216216216218
Aldrin Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",76,270,28.14814814814815
Aldrin Elementary,Pumpkin Bread(1 square),7,27,25.925925925925924
Aldrin Elementary,Cinnamon Chex Cereal(Each),68,270,25.185185185185183
Aldrin Elementary,Fat Free White Milk(Each),68,321,21.18380062305296
Aldrin Elementary,Turkey Sausage Breakfast Biscuit(Sandwich),7,35,20.0
Aldrin Elementary,Orange Tangerine Juice(Each),137,791,17.319848293299618
Aldrin Elementary,Chilled Pineapple(1/2 cup),12,72,16.666666666666664
Aldrin Elementary,Chilled Peaches(1/2 cup (drained)),9,59,15.254237288135593
Aldrin Elementary,1% White Milk(Each),116,860,13.488372093023257
Aldrin Elementary,Blueberry Muffin Top(Muffin Top),3,25,12.0
Aldrin Elementary,Orange Slices(3 slices per 1/4 cup),4,36,11.11111111111111
Aldrin Elementary,Applesauce(1/2 Cup),4,37,10.81081081081081
Aldrin Elementary,Chicken & Biscuit Sandwich(Sandwich),9,84,10.714285714285714
Aldrin Elementary,Blueberry Bread(1oz Grain (1/64 Baked Pan)),2,19,10.526315789473683
Aldrin Elementary,Apple Juice(Each),128,1304,9.815950920245399
Aldrin Elementary,Orange Slices(6 Slices per 1/2 cup),2,22,9.090909090909092
Aldrin Elementary,Biscuit(Biscuit),9,109,8.256880733944955
Aldrin Elementary,Red Delicious Apple(Each - serving),29,375,7.733333333333333
Aldrin Elementary,Mini Maple Pancakes(Package),43,612,7.026143790849673
Aldrin Elementary,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",10,147,6.802721088435375
Aldrin Elementary,Natural Grape Jam(Packet),8,120,6.666666666666667
Aldrin Elementary,Orange(6 Slices per 1/2 cup),38,580,6.551724137931035
Aldrin Elementary,Bagel(Bagel),4,65,6.153846153846154
Aldrin Elementary,Cream Cheese(Each),4,65,6.153846153846154
