school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
aldrin elementary,"$350,842.99","$128,018.51","$222,824.48"
annandale high,"$1,584,712.58","$710,545.15","$874,167.44"
annandale terrace elementary,"$689,847.72","$258,229.65","$431,618.07"
armstrong elementary,"$299,185.13","$77,622.50","$221,562.63"
baileys lower elementary,"$757,648.66","$346,378.34","$411,270.32"
baileys upper elementary,"$568,236.50","$309,549.57","$258,686.93"
beech tree elementary,"$344,923.86","$192,415.70","$152,508.16"
belle view elementary,"$358,914.53","$98,755.11","$260,159.42"
belvedere elementary,"$497,745.04","$199,585.05","$298,159.99"
bonnie brae elementary,"$626,889.70","$256,551.57","$370,338.13"
braddock elementary,"$1,047,147.94","$410,290.49","$636,857.45"
bren mar park elementary,"$464,382.67","$240,762.06","$223,620.61"
brookfield elementary,"$669,399.81","$252,173.90","$417,225.91"
bucknell elementary,"$301,337.54","$141,450.23","$159,887.30"
bull run elementary,"$590,836.81","$185,389.81","$405,447.01"
bush hill elementary,"$528,416.89","$141,344.98","$387,071.91"
chantilly hs,"$1,808,563.32","$377,814.36","$1,430,748.97"
camelot elementary,"$548,326.70","$172,261.50","$376,065.20"
cameron elementary,"$538,102.74","$238,134.62","$299,968.13"
canterbury woods elementary,"$540,793.26","$106,784.78","$434,008.48"
cardinal forest elementary,"$650,028.11","$162,532.39","$487,495.72"
carson middle,"$1,013,247.47","$275,849.84","$737,397.63"
centre ridge elementary,"$628,504.01","$227,127.66","$401,376.34"
centreville elementary,"$623,122.98","$186,110.95","$437,012.03"
centreville high,"$1,457,182.23","$315,028.01","$1,142,154.22"
cherry run elementary,"$368,062.28","$69,466.41","$298,595.87"
chesterbrook elementary,"$412,724.80","$60,601.75","$352,123.05"
churchill road elementary,"$441,782.35","$118,141.79","$323,640.56"
clearview elementary,"$525,726.38","$236,350.84","$289,375.54"
clermont elementary,"$422,410.65","$92,387.05","$330,023.61"
coates elementary,"$957,284.78","$441,173.60","$516,111.18"
colin powell elementary,"$696,843.05","$168,204.73","$528,638.32"
columbia elementary,"$354,071.61","$92,762.36","$261,309.25"
colvin run elementary,"$582,765.27","$96,933.35","$485,831.93"
cooper middle,"$772,715.54","$210,419.44","$562,296.10"
crestwood elementary,"$585,455.79","$264,715.89","$320,739.90"
crossfield elementary,"$408,958.09","$144,465.88","$264,492.21"
cub run elementary,"$547,250.49","$125,791.89","$421,458.60"
cunningham park elementary,"$410,034.29","$99,269.61","$310,764.68"
