school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
aldrin elementary,"$150,603.63","$128,018.51","$22,585.12"
annandale high,"$835,928.38","$710,545.15","$125,383.23"
annandale terrace elementary,"$303,797.46","$258,229.65","$45,567.81"
armstrong elementary,"$91,317.28","$77,622.50","$13,694.78"
baileys lower elementary,"$407,497.32","$346,378.34","$61,118.97"
baileys upper elementary,"$364,172.66","$309,549.57","$54,623.09"
beech tree elementary,"$226,369.29","$192,415.70","$33,953.59"
belle view elementary,"$116,178.94","$98,755.11","$17,423.83"
belvedere elementary,"$234,799.79","$199,585.05","$35,214.75"
bonnie brae elementary,"$301,817.81","$256,551.57","$45,266.25"
braddock elementary,"$482,688.56","$410,290.49","$72,398.06"
bren mar park elementary,"$283,248.51","$240,762.06","$42,486.45"
brookfield elementary,"$296,672.58","$252,173.90","$44,498.68"
bucknell elementary,"$166,404.00","$141,450.23","$24,953.77"
bull run elementary,"$218,103.53","$185,389.81","$32,713.72"
bush hill elementary,"$166,283.72","$141,344.98","$24,938.74"
camelot elementary,"$202,656.33","$172,261.50","$30,394.83"
cameron elementary,"$280,152.94","$238,134.62","$42,018.32"
canterbury woods elementary,"$125,621.59","$106,784.78","$18,836.81"
cardinal forest elementary,"$191,209.62","$162,532.39","$28,677.23"
carson middle,"$324,526.86","$275,849.84","$48,677.02"
centre ridge elementary,"$267,204.05","$227,127.66","$40,076.39"
centreville elementary,"$218,950.98","$186,110.95","$32,840.04"
centreville high,"$370,619.30","$315,028.01","$55,591.29"
chantilly hs,"$444,481.34","$377,814.36","$66,666.98"
cherry run elementary,"$81,722.12","$69,466.41","$12,255.71"
chesterbrook elementary,"$71,287.44","$60,601.75","$10,685.69"
churchill road elementary,"$138,984.20","$118,141.79","$20,842.41"
clearview elementary,"$278,056.51","$236,350.84","$41,705.67"
clermont elementary,"$108,684.27","$92,387.05","$16,297.22"
coates elementary,"$519,025.41","$441,173.60","$77,851.80"
colin powell elementary,"$197,881.07","$168,204.73","$29,676.34"
columbia elementary,"$109,126.04","$92,762.36","$16,363.69"
colvin run elementary,"$114,034.27","$96,933.35","$17,100.92"
cooper middle,"$247,548.27","$210,419.44","$37,128.83"
crestwood elementary,"$311,424.78","$264,715.89","$46,708.90"
crossfield elementary,"$169,954.89","$144,465.88","$25,489.02"
cub run elementary,"$147,989.04","$125,791.89","$22,197.15"
cunningham park elementary,"$116,781.40","$99,269.61","$17,511.79"
daniels run elementary,"$211,396.16","$179,692.36","$31,703.80"
deer park elementary,"$169,902.56","$144,423.61","$25,478.96"
dogwood elementary,"$402,777.99","$342,363.50","$60,414.49"
dranesville elementary,"$195,884.68","$166,504.99","$29,379.69"
eagle view elementary,"$160,821.31","$136,701.72","$24,119.58"
edison high,"$394,136.63","$335,022.11","$59,114.52"
fairfax high,"$409,972.15","$348,479.14","$61,493.01"
fairfax villa elementary,"$163,620.89","$139,080.37","$24,540.52"
fairhill elementary,"$143,835.99","$122,266.22","$21,569.78"
fairview elementary,"$141,189.18","$120,014.21","$21,174.96"
falls church hs,"$658,675.70","$559,875.75","$98,799.95"
