school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
aldrin elementary,"$120,482.90","$121,838.00","$-1,355.10"
annandale high,"$668,742.70","$620,381.00","$48,361.70"
annandale terrace elementary,"$243,037.97","$213,996.00","$29,041.97"
armstrong elementary,"$73,053.82","$73,640.00",$-586.18
baileys lower elementary,"$325,997.86","$294,616.00","$31,381.86"
baileys upper elementary,"$291,338.13","$295,847.00","$-4,508.87"
beech tree elementary,"$181,095.43","$178,973.00","$2,122.43"
belle view elementary,"$92,943.15","$96,696.00","$-3,752.85"
belvedere elementary,"$187,839.84","$189,414.00","$-1,574.16"
bonnie brae elementary,"$241,454.25","$249,202.00","$-7,747.75"
braddock elementary,"$386,150.85","$345,505.00","$40,645.85"
bren mar park elementary,"$226,598.81","$218,306.00","$8,292.81"
brookfield elementary,"$237,338.06","$228,190.00","$9,148.06"
bucknell elementary,"$133,123.20","$117,197.00","$15,926.20"
bull run elementary,"$174,482.82","$174,735.00",$-252.18
bush hill elementary,"$133,026.98","$134,250.00","$-1,223.02"
camelot elementary,"$162,125.07","$157,861.00","$4,264.07"
cameron elementary,"$224,122.35","$205,657.00","$18,465.35"
canterbury woods elementary,"$100,497.27","$108,211.00","$-7,713.73"
cardinal forest elementary,"$152,967.70","$155,045.00","$-2,077.30"
carson middle,"$259,621.49","$285,302.00","$-25,680.51"
centre ridge elementary,"$213,763.24","$199,185.00","$14,578.24"
centreville elementary,"$175,160.79","$174,434.00",$726.79
centreville high,"$296,495.44","$324,605.00","$-28,109.56"
chantilly hs,"$355,585.07","$393,566.00","$-37,980.93"
cherry run elementary,"$65,377.70","$70,908.00","$-5,530.30"
chesterbrook elementary,"$57,029.95","$60,207.00","$-3,177.05"
churchill road elementary,"$111,187.36","$118,153.00","$-6,965.64"
clearview elementary,"$222,445.21","$215,773.00","$6,672.21"
clermont elementary,"$86,947.41","$87,471.00",$-523.59
coates elementary,"$415,220.32","$400,565.00","$14,655.32"
colin powell elementary,"$158,304.86","$175,052.00","$-16,747.14"
columbia elementary,"$87,300.84","$85,577.00","$1,723.84"
colvin run elementary,"$91,227.42","$102,468.00","$-11,240.58"
cooper middle,"$198,038.61","$229,101.00","$-31,062.39"
crestwood elementary,"$249,139.83","$232,198.00","$16,941.83"
crossfield elementary,"$135,963.92","$150,796.00","$-14,832.08"
cub run elementary,"$118,391.23","$127,826.00","$-9,434.77"
cunningham park elementary,"$93,425.12","$96,780.00","$-3,354.88"
daniels run elementary,"$169,116.93","$173,348.00","$-4,231.07"
deer park elementary,"$135,922.05","$141,460.00","$-5,537.95"
dogwood elementary,"$322,222.39","$287,475.00","$34,747.39"
dranesville elementary,"$156,707.75","$155,180.00","$1,527.75"
eagle view elementary,"$128,657.04","$122,570.00","$6,087.04"
edison high,"$315,309.30","$359,638.00","$-44,328.70"
fairfax high,"$327,977.72","$354,967.00","$-26,989.28"
fairfax villa elementary,"$130,896.71","$136,339.00","$-5,442.29"
fairhill elementary,"$115,068.79","$118,642.00","$-3,573.21"
fairview elementary,"$112,951.34","$116,633.00","$-3,681.66"
falls church hs,"$526,940.56","$467,464.00","$59,476.56"
flint hill elementary,"$78,773.27","$85,918.00","$-7,144.73"
floris elementary,"$104,102.38","$108,667.00","$-4,564.62"
forest edge elementary,"$177,457.98","$156,915.00","$20,542.98"
forestdale elementary,"$185,352.67","$166,445.00","$18,907.67"
forestville elementary,"$87,066.37","$94,811.00","$-7,744.63"
fort belvoir primary elementary,"$219,842.49","$204,798.00","$15,044.49"
fort belvoir upper elementary,"$158,211.46","$152,854.00","$5,357.46"
fort hunt elementary,"$85,960.99","$87,608.00","$-1,647.01"
fox mill elementary,"$90,722.91","$97,759.00","$-7,036.09"
franconia elementary,"$91,545.45","$96,468.00","$-4,922.55"
franklin middle,"$173,416.25","$192,735.00","$-19,318.75"
franklin sherman elementary,"$36,372.68","$36,628.00",$-255.32
freedom hill elementary,"$113,173.03","$115,500.00","$-2,326.97"
frost middle,"$259,640.85","$293,525.00","$-33,884.15"
garfield elementary,"$119,004.79","$113,521.00","$5,483.79"
glasgow middle,"$402,862.59","$386,129.00","$16,733.59"
glen forest elementary,"$294,396.77","$271,897.00","$22,499.77"
graham road elementary,"$178,679.10","$170,817.00","$7,862.10"
great falls elementary,"$86,092.79","$93,172.00","$-7,079.21"
greenbriar east elementary,"$175,774.49","$174,837.00",$937.49
greenbriar west elementary,"$121,742.49","$126,626.00","$-4,883.51"
groveton elementary,"$297,483.85","$281,815.00","$15,668.85"
gunston elementary,"$117,661.66","$107,281.00","$10,380.66"
halley elementary,"$146,457.76","$136,149.00","$10,308.76"
haycock elementary,"$85,658.96","$87,190.00","$-1,531.04"
hayfield elementary,"$96,792.49","$100,903.00","$-4,110.51"
hayfield ss,"$704,756.72","$780,456.00","$-75,699.28"
herndon elementary,"$252,160.17","$234,871.00","$17,289.17"
herndon hs,"$440,264.11","$488,800.00","$-48,535.89"
herndon middle,"$287,369.87","$288,351.00",$-981.13
hollin meadows elementary,"$238,484.97","$210,731.00","$27,753.97"
holmes middle,"$395,259.99","$344,887.00","$50,372.99"
hughes middle,"$340,255.26","$383,446.00","$-43,190.74"
hunt valley elementary,"$135,199.11","$142,171.00","$-6,971.89"
hunters woods elementary,"$124,836.74","$130,653.00","$-5,816.26"
hutchison elementary,"$310,992.68","$295,999.00","$14,993.68"
hybla valley elementary,"$329,121.03","$298,542.00","$30,579.03"
irving middle,"$261,000.03","$298,003.00","$-37,002.97"
island creek elementary,"$107,387.84","$114,937.00","$-7,549.16"
jefferson high,"$134,778.17","$140,083.00","$-5,304.83"
johnson middle,"$355,999.50","$387,875.00","$-31,875.50"
justice high,"$441,131.27","$449,716.00","$-8,584.73"
keene mill elementary,"$207,719.66","$225,706.00","$-17,986.34"
kent gardens elementary,"$133,846.43","$145,383.00","$-11,536.57"
key middle,"$283,848.54","$311,390.00","$-27,541.46"
kilmer middle,"$239,835.00","$265,076.00","$-25,241.00"
kings glen elementary,"$81,388.74","$86,968.00","$-5,579.26"
