school,proportional_annual_budget,annual_food_cost,remaining_annual_balance
aldrin elementary,"$180,724.36","$182,776.00","$-2,051.64"
annandale high,"$1,003,114.05","$930,610.00","$72,504.05"
annandale terrace elementary,"$364,556.95","$321,092.00","$43,464.95"
armstrong elementary,"$109,580.73","$110,445.00",$-864.27
baileys lower elementary,"$488,996.78","$442,303.00","$46,693.78"
baileys upper elementary,"$437,007.19","$443,576.00","$-6,568.81"
beech tree elementary,"$271,643.15","$268,650.00","$2,993.15"
belle view elementary,"$139,414.73","$145,202.00","$-5,787.27"
belvedere elementary,"$281,759.75","$284,025.00","$-2,265.25"
bonnie brae elementary,"$362,181.38","$373,874.00","$-11,692.62"
braddock elementary,"$579,226.27","$518,217.00","$61,009.27"
bren mar park elementary,"$339,898.22","$327,266.00","$12,632.22"
brookfield elementary,"$356,007.09","$342,471.00","$13,536.09"
bucknell elementary,"$199,684.81","$175,795.00","$23,889.81"
bull run elementary,"$261,724.24","$261,879.00",$-154.76
bush hill elementary,"$199,540.47","$201,420.00","$-1,879.53"
camelot elementary,"$243,187.60","$236,498.00","$6,689.60"
cameron elementary,"$336,183.53","$308,602.00","$27,581.53"
canterbury woods elementary,"$150,745.91","$162,343.00","$-11,597.09"
cardinal forest elementary,"$229,451.54","$232,329.00","$-2,877.46"
carson middle,"$389,432.23","$428,269.00","$-38,836.77"
centre ridge elementary,"$320,644.87","$298,573.00","$22,071.87"
centreville elementary,"$262,741.18","$261,580.00","$1,161.18"
centreville high,"$444,743.16","$486,934.00","$-42,190.84"
chantilly hs,"$533,377.60","$589,863.00","$-56,485.40"
cherry run elementary,"$98,066.54","$106,252.00","$-8,185.46"
chesterbrook elementary,"$85,544.93","$90,523.00","$-4,978.07"
churchill road elementary,"$166,781.04","$177,026.00","$-10,244.96"
clearview elementary,"$333,667.81","$323,599.00","$10,068.81"
clermont elementary,"$130,421.12","$130,892.00",$-470.88
coates elementary,"$622,830.49","$600,924.00","$21,906.49"
colin powell elementary,"$237,457.29","$262,930.00","$-25,472.71"
columbia elementary,"$130,951.25","$128,145.00","$2,806.25"
colvin run elementary,"$136,841.12","$154,054.00","$-17,212.88"
cooper middle,"$297,057.92","$343,548.00","$-46,490.08"
crestwood elementary,"$373,709.74","$348,319.00","$25,390.74"
crossfield elementary,"$203,945.87","$226,129.00","$-22,183.13"
cub run elementary,"$177,586.85","$191,821.00","$-14,234.15"
cunningham park elementary,"$140,137.68","$145,309.00","$-5,171.32"
daniels run elementary,"$253,675.39","$259,741.00","$-6,065.61"
