school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice(Each),953
aldrin elementary,Breakfast,Orange Tangerine Juice(Each),515
aldrin elementary,Breakfast,Mini Maple Pancakes(Package),440
aldrin elementary,Breakfast,1% White Milk(Each),430
aldrin elementary,Breakfast,Bagel(Bagel),208
aldrin elementary,Breakfast,Cream Cheese(Each),160
aldrin elementary,Breakfast,Honey Cheerios Cereal(Each),160
aldrin elementary,Breakfast,Red Delicious Apple(Each - serving),159
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",144
aldrin elementary,Breakfast,Cinnamon Chex Cereal(Each),134
aldrin elementary,Breakfast,Blueberry Chex Cereal(Each),116
aldrin elementary,Breakfast,Fat Free White Milk(Each),113
aldrin elementary,Breakfast,Banana(Each),106
aldrin elementary,Breakfast,String Cheese(1 Stick),102
aldrin elementary,Breakfast,Natural Breakfast Syrup(Each),74
aldrin elementary,Breakfast,Natural Grape Jam(Packet),55
aldrin elementary,Breakfast,Orange(6 Slices per 1/2 cup),42
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",41
aldrin elementary,Breakfast,Mandarin Orange Parfait(Parfait),41
aldrin elementary,Breakfast,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),36
aldrin elementary,Breakfast,Chicken & Biscuit Sandwich(Sandwich),36
aldrin elementary,Breakfast,Egg and American Cheese on Bagel(Sandwich),32
aldrin elementary,Breakfast,Turkey Sausage Breakfast Biscuit(Sandwich),31
aldrin elementary,Breakfast,Strawberry Parfait(Parfait),30
aldrin elementary,Breakfast,Egg and American Cheese on Biscuit(Sandwich),28
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup (drained)),27
aldrin elementary,Breakfast,Blueberry Bread(1 square),25
aldrin elementary,Breakfast,Orange Slices(3 slices per 1/4 cup),22
aldrin elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",20
aldrin elementary,Breakfast,Blueberry Muffin Top(Muffin Top),18
aldrin elementary,Breakfast,Applesauce(1/2 Cup),16
aldrin elementary,Breakfast,"Parfait, Triple Berry(Parfait)",16
aldrin elementary,Breakfast,Blueberry Bread(1oz Grain (1/64 Baked Pan)),15
aldrin elementary,Breakfast,Golden Delicious Apple(Each),11
aldrin elementary,Breakfast,Biscuit(Biscuit),9
aldrin elementary,Breakfast,Chilled Mandarin Oranges(1/2 cup (drained)),9
aldrin elementary,Breakfast,1% Unflavored Shelf-Stable Milk(Each),8
aldrin elementary,Breakfast,Chilled Pineapple(1/2 cup),8
aldrin elementary,Breakfast,Apple Cinnamon Bread(2oz Grain (1/32 Baked Pan)),7
aldrin elementary,Breakfast,Egg and American Cheese on English Muffin(Sandwich),7
aldrin elementary,Breakfast,Apple Cinnamon Bread (Grain for entree)(1 square),6
aldrin elementary,Breakfast,Apple Slices(3 slices per 1/4 cup),6
aldrin elementary,Breakfast,"Frozen Berry, Triple Berry Blend(1/2 cup (thawed))",6
aldrin elementary,Breakfast,IW Applesauce Cup(Each),5
aldrin elementary,Breakfast,Mini Maple Waffles(Package),5
aldrin elementary,Breakfast,"Apple, Slices, IW - ER Supper Only(Each)",4
aldrin elementary,Breakfast,Assorted Craisins(Packet),4
aldrin elementary,Breakfast,Bottled Water(Bottle),4
aldrin elementary,Breakfast,"Lactose Free, White Milk(Each)",4
aldrin elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable(Each)",4
aldrin elementary,Breakfast,Whole Strawberries(1/2 cup thawed),4
aldrin elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk(Each),3
aldrin elementary,Breakfast,Graham Crackers(Package),3
aldrin elementary,Breakfast,Orange(Each - serving),3
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(2 Eaches),3
aldrin elementary,Breakfast,"Apple Slices(3 slices, 1/4 cup)",2
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(2oz Grain (1/32Baked Pan))",2
aldrin elementary,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub)(Each)",2
aldrin elementary,Breakfast,Chicken Tenders(3 tenders),2
aldrin elementary,Breakfast,Natural Blackberry Jam(Packet),2
aldrin elementary,Breakfast,Orange Slices(6 Slices per 1/2 cup),2
aldrin elementary,Breakfast,Orange(1/4 cup),2
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(Each),2
aldrin elementary,Breakfast,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB)(Each)",1
aldrin elementary,Breakfast,Blueberry Bread(2oz Grain (1/32 Baked Pan)),1
aldrin elementary,Breakfast,Blueberry Parfait(Parfait),1
aldrin elementary,Breakfast,"Bread, English Muffin, WG(Each)",1
aldrin elementary,Breakfast,Cherry Flavored Dried Cranberries(2 Eaches),1
aldrin elementary,Breakfast,Chicken Tenders Sub(Sandwich),1
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup),1
aldrin elementary,Breakfast,Gala Apple(Each),1
aldrin elementary,Breakfast,Granola(1/4 cup),1
aldrin elementary,Breakfast,Maple Belgian Waffle(Waffle),1
