school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice(Each),1430
aldrin elementary,Breakfast,Orange Tangerine Juice(Each),773
aldrin elementary,Breakfast,Mini Maple Pancakes(Package),660
aldrin elementary,Breakfast,1% White Milk(Each),645
aldrin elementary,Breakfast,Bagel(Bagel),312
aldrin elementary,Breakfast,Cream Cheese(Each),240
aldrin elementary,Breakfast,Honey Cheerios Cereal(Each),240
aldrin elementary,Breakfast,Red Delicious Apple(Each - serving),239
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",217
aldrin elementary,Breakfast,Cinnamon Chex Cereal(Each),201
aldrin elementary,Breakfast,Blueberry Chex Cereal(Each),174
aldrin elementary,Breakfast,Fat Free White Milk(Each),169
aldrin elementary,Breakfast,Banana(Each),158
aldrin elementary,Breakfast,String Cheese(1 Stick),153
aldrin elementary,Breakfast,Natural Breakfast Syrup(Each),111
aldrin elementary,Breakfast,Natural Grape Jam(Packet),83
aldrin elementary,Breakfast,Orange(6 Slices per 1/2 cup),63
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",62
aldrin elementary,Breakfast,Mandarin Orange Parfait(Parfait),62
aldrin elementary,Breakfast,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),54
aldrin elementary,Breakfast,Chicken & Biscuit Sandwich(Sandwich),54
aldrin elementary,Breakfast,Egg and American Cheese on Bagel(Sandwich),49
aldrin elementary,Breakfast,Turkey Sausage Breakfast Biscuit(Sandwich),46
aldrin elementary,Breakfast,Strawberry Parfait(Parfait),45
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup (drained)),41
aldrin elementary,Breakfast,Egg and American Cheese on Biscuit(Sandwich),41
aldrin elementary,Breakfast,Blueberry Bread(1 square),37
aldrin elementary,Breakfast,Orange Slices(3 slices per 1/4 cup),33
aldrin elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",29
aldrin elementary,Breakfast,Blueberry Muffin Top(Muffin Top),27
aldrin elementary,Breakfast,Applesauce(1/2 Cup),24
aldrin elementary,Breakfast,"Parfait, Triple Berry(Parfait)",24
aldrin elementary,Breakfast,Blueberry Bread(1oz Grain (1/64 Baked Pan)),23
aldrin elementary,Breakfast,Golden Delicious Apple(Each),16
aldrin elementary,Breakfast,Chilled Mandarin Oranges(1/2 cup (drained)),14
aldrin elementary,Breakfast,Biscuit(Biscuit),13
aldrin elementary,Breakfast,1% Unflavored Shelf-Stable Milk(Each),12
aldrin elementary,Breakfast,Chilled Pineapple(1/2 cup),12
aldrin elementary,Breakfast,Egg and American Cheese on English Muffin(Sandwich),11
aldrin elementary,Breakfast,Apple Cinnamon Bread(2oz Grain (1/32 Baked Pan)),10
aldrin elementary,Breakfast,Apple Slices(3 slices per 1/4 cup),10
aldrin elementary,Breakfast,Apple Cinnamon Bread (Grain for entree)(1 square),9
aldrin elementary,Breakfast,"Frozen Berry, Triple Berry Blend(1/2 cup (thawed))",8
aldrin elementary,Breakfast,IW Applesauce Cup(Each),7
aldrin elementary,Breakfast,Mini Maple Waffles(Package),7
aldrin elementary,Breakfast,"Apple, Slices, IW - ER Supper Only(Each)",6
aldrin elementary,Breakfast,Assorted Craisins(Packet),6
aldrin elementary,Breakfast,Bottled Water(Bottle),5
aldrin elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk(Each),5
aldrin elementary,Breakfast,"Lactose Free, White Milk(Each)",5
aldrin elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable(Each)",5
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(2 Eaches),5
aldrin elementary,Breakfast,Whole Strawberries(1/2 cup thawed),5
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(2oz Grain (1/32Baked Pan))",4
aldrin elementary,Breakfast,Chicken Tenders(3 tenders),4
aldrin elementary,Breakfast,Graham Crackers(Package),4
aldrin elementary,Breakfast,Orange(1/4 cup),4
aldrin elementary,Breakfast,Orange(Each - serving),4
aldrin elementary,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub)(Each)",3
aldrin elementary,Breakfast,Natural Blackberry Jam(Packet),3
aldrin elementary,Breakfast,Orange Slices(6 Slices per 1/2 cup),3
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(Each),3
aldrin elementary,Breakfast,"Apple Slices(3 slices, 1/4 cup)",2
aldrin elementary,Breakfast,Cherry Flavored Dried Cranberries(2 Eaches),2
aldrin elementary,Breakfast,Gala Apple(Each),2
aldrin elementary,Breakfast,Granola(1/4 cup),2
aldrin elementary,Breakfast,Peach Parfait(Parfait),2
aldrin elementary,Breakfast,Pumpkin Bread(1 square),2
aldrin elementary,Breakfast,Raspberry Lemonade Flavored Dried Cranberries(2 Eaches),2
aldrin elementary,Breakfast,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB)(Each)",1
aldrin elementary,Breakfast,Blueberry Bread(2oz Grain (1/32 Baked Pan)),1
aldrin elementary,Breakfast,Blueberry Parfait(Parfait),1
aldrin elementary,Breakfast,"Bread, English Muffin, WG(Each)",1
aldrin elementary,Breakfast,"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION)(1 Stick)",1
aldrin elementary,Breakfast,Chicken Tenders Sub(Sandwich),1
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup),1
aldrin elementary,Breakfast,Hot Turkey & Cheese(sandwich),1
aldrin elementary,Breakfast,Maple Belgian Waffle(Waffle),1
aldrin elementary,Breakfast,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",1
aldrin elementary,Breakfast,Orange Flavored Dried Cranberries(2 Eaches),1
aldrin elementary,Breakfast,Red Seedless Grapes(16 grapes per 1/2 cup),1
aldrin elementary,Breakfast,Roasted Sunflower Seeds(Package),1
aldrin elementary,Breakfast,"Sandwich, Turkey & Cheese(sandwich)",1
aldrin elementary,Breakfast,Strawberry Smoothie(8oz portion),1
aldrin elementary,Breakfast,Triple Berry Parfait Power Pack(Power Pack),1
aldrin elementary,Breakfast,Turkey & Cheese on Biscuit(Sandwich),1
aldrin elementary,Breakfast,"Waffle (Grain), Belgian, Buttery Maple, Bulk(Waffle)",1
aldrin elementary,Breakfast,Watermelon Flavored Dried Cranberries(2 Eaches),1
aldrin elementary,Breakfast,Whole Wheat Dinner Roll(2 rolls),1
aldrin elementary,Breakfast,Whole Wheat Dinner Roll(Each),1
aldrin elementary,Lunch,Fat Free Chocolate Milk(Each),3006
aldrin elementary,Lunch,Lettuce Blend Salad Mix(1/2 cup),1919
aldrin elementary,Lunch,Ketchup Packet(Packet),1806
aldrin elementary,Lunch,Apple Slices(3 slices per 1/4 cup),1074
aldrin elementary,Lunch,Ranch Dressing(1 ounce),1062
aldrin elementary,Lunch,PB&J Power Pack(Power Packs),820
aldrin elementary,Lunch,Orange Slices(3 slices per 1/4 cup),803
aldrin elementary,Lunch,1% White Milk(Each),719
aldrin elementary,Lunch,Chicken Tenders(3 tenders),703
aldrin elementary,Lunch,Manager's Vegetable Choice(1/4 cup),680
aldrin elementary,Lunch,Banana(Each),657
aldrin elementary,Lunch,Orange(1/4 cup),586
aldrin elementary,Lunch,Red Seedless Grapes(16 grapes per 1/2 cup),571
aldrin elementary,Lunch,Cheese Pizza(Slice),566
aldrin elementary,Lunch,Mayonnaise Packet(Packet),548
aldrin elementary,Lunch,Red Delicious Apple(Each - serving),543
aldrin elementary,Lunch,Chocolate Chip Cookie(Cookie),492
aldrin elementary,Lunch,Red Seedless Grapes(8 grapes per 1/4 cup),479
aldrin elementary,Lunch,Baby Carrots(3 baby carrots per 1/4 cup),438
aldrin elementary,Lunch,Italian Dressing(1 ounce),384
aldrin elementary,Lunch,Turkey Pepperoni Pizza(Slice),374
aldrin elementary,Lunch,Cucumber Slices(1/4 cup),363
aldrin elementary,Lunch,Baked Cheese Sticks(2 Cheese Sticks),330
aldrin elementary,Lunch,Chilled Mandarin Oranges(1/2 cup (drained)),313
aldrin elementary,Lunch,Golden Delicious Apple(Each),280
aldrin elementary,Lunch,Broccoli Florets(1/4 cup),265
aldrin elementary,Lunch,Fat Free White Milk(Each),263
aldrin elementary,Lunch,Mustard Packet(Packet),255
aldrin elementary,Lunch,Spicy Breaded Chicken Patty on Bun(Sandwich),254
aldrin elementary,Lunch,Whole Wheat Dinner Roll(2 rolls),254
aldrin elementary,Lunch,Chilled Mandarin Oranges(1/4 cup (drained)),220
aldrin elementary,Lunch,Cherry Tomatoes(1/4 cup),216
aldrin elementary,Lunch,Cooked  Brown Rice(1/2 cup cooked),213
aldrin elementary,Lunch,Chickpeas(1/4 cup),208
aldrin elementary,Lunch,Bottled Water(Bottle),203
aldrin elementary,Lunch,Soft Pretzel(1 pretzel),201
aldrin elementary,Lunch,Strawberry Flavored Dried Cranberries(Each),196
aldrin elementary,Lunch,Cherry Flavored Dried Cranberries(Each),193
aldrin elementary,Lunch,Marinara Sauce(1/2 cup),186
aldrin elementary,Lunch,Watermelon Flavored Dried Cranberries(Each),186
aldrin elementary,Lunch,Cooked  Brown Rice(1 cup cooked),176
aldrin elementary,Lunch,Chocolate Chip Cookie(1/2 Cookie),175
aldrin elementary,Lunch,Cheeseburger(Sandwich),167
aldrin elementary,Lunch,Potato Wedges(7 pieces),163
aldrin elementary,Lunch,Baby Carrots(6 Baby Carrots per 1/2 cup),156
aldrin elementary,Lunch,Corn(1/4 cup (thawed)),150
aldrin elementary,Lunch,Chickenless Bites(4 Bites),148
aldrin elementary,Lunch,"Apple Slices(3 slices, 1/4 cup)",135
aldrin elementary,Lunch,Strawberry & Banana Yogurt Power Pack(Power Packs),132
aldrin elementary,Lunch,Nachos with Cheese Sauce(Serving),131
aldrin elementary,Lunch,Cheez-Its Crackers(Package),124
aldrin elementary,Lunch,Blueberry Bread(1 square),120
aldrin elementary,Lunch,Whole Wheat Dinner Roll(Each),119
aldrin elementary,Lunch,Corn(1/2 cup (cooked)),116
aldrin elementary,Lunch,Grape Tomatoes(1/4 cup),115
aldrin elementary,Lunch,Gala Apple(Each),114
aldrin elementary,Lunch,Asian Veggie Sub(sandwich),109
aldrin elementary,Lunch,Nachos with Turkey Barbacoa and Cheese Sauce(Serving),108
aldrin elementary,Lunch,Celery Sticks(1/2 cup),103
aldrin elementary,Lunch,Orange Chicken(4 Bites w/ 1oz sauce),100
aldrin elementary,Lunch,Beef Meatball Sub Sandwich(Sandwich),99
aldrin elementary,Lunch,"Peppers, red, pre-sliced(1/2 cup sliced)",94
aldrin elementary,Lunch,Chilled Peaches(1/2 cup (drained)),90
aldrin elementary,Lunch,Orange Flavored Dried Cranberries(Each),90
aldrin elementary,Lunch,"Salsa, Mild Canned(1.5 oz)",89
aldrin elementary,Lunch,Chilled Peaches(1/4 cup (drained)),88
aldrin elementary,Lunch,"Bread, Loco(flatbread)",86
aldrin elementary,Lunch,Whole Strawberries(1/2 cup thawed),85
aldrin elementary,Lunch,Chickenless Bites(2 Bites),84
aldrin elementary,Lunch,Apple Juice(Each),83
aldrin elementary,Lunch,"Bread, Loco(1/2 piece)",82
aldrin elementary,Lunch,Asian Meatball Sub(sandwich),81
aldrin elementary,Lunch,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),80
aldrin elementary,Lunch,Black Beans(1/4 Cup),79
aldrin elementary,Lunch,Roasted Plantains(6 Slices),78
aldrin elementary,Lunch,Marinara Sauce(1/4 Cup),77
aldrin elementary,Lunch,Peach Yogurt Power Pack(Power Packs),77
aldrin elementary,Lunch,Raspberry Lemonade Flavored Dried Cranberries(Each),77
aldrin elementary,Lunch,Cherry Vanilla Yogurt Power Pack(Power Packs),76
aldrin elementary,Lunch,Apple Slices(6 Slices per 1/2 cup),75
aldrin elementary,Lunch,Cheese Quesadilla(Quesadilla),73
aldrin elementary,Lunch,"Frozen Berry, Triple Berry Blend(1/2 cup (thawed))",72
aldrin elementary,Lunch,Lettuce Blend Salad Mix(1 cup),72
aldrin elementary,Lunch,Smartfood RF White Cheddar Popcorn(Each),71
aldrin elementary,Lunch,Grilled Cheese Sandwich(Sandwich),68
aldrin elementary,Lunch,Steamed Broccoli(1/2 cup),66
aldrin elementary,Lunch,Pasta with Meat Sauce(serving),65
aldrin elementary,Lunch,IW Applesauce Cup(Each),63
aldrin elementary,Lunch,Spicy Chicken Wrap(Wrap),63
aldrin elementary,Lunch,Tex Mex Corn(1/2 cup),63
aldrin elementary,Lunch,"Fruit Snacks, Welch's Mixed(Each)",62
aldrin elementary,Lunch,Graham Crackers(Package),62
aldrin elementary,Lunch,Chicken Masala Drumstick(Drumstick),61
aldrin elementary,Lunch,Orange Sauce(ounce),61
aldrin elementary,Lunch,Bean and Cheese Pupusa(Pupusa),60
aldrin elementary,Lunch,Black Beans(1/2 Cup),60
aldrin elementary,Lunch,Orange Slices(6 Slices per 1/2 cup),60
aldrin elementary,Lunch,"Penne Pasta with Marinara and Beef Meatballs(cup cooked pasta, 1/2c sauce, 5 meatballs)",60
aldrin elementary,Lunch,Alfredo & Basil Lasagna(Each),58
aldrin elementary,Lunch,Cucumber Slices(6 Slices per 1/2 cup),53
aldrin elementary,Lunch,"Cheese, Shredded, Cheddar(1/4 cup)",52
aldrin elementary,Lunch,Chicken & Vegetable Dumplings(6 dumplings),52
aldrin elementary,Lunch,Applesauce(1/2 Cup),51
aldrin elementary,Lunch,Orange Chickenless Bites(4 bites),51
aldrin elementary,Lunch,Orange Tangerine Juice(Each),45
aldrin elementary,Lunch,"Sauce, Spicy Mayo(tbsp)",45
aldrin elementary,Lunch,Sour Cream(2 Tablespoons),45
aldrin elementary,Lunch,Steamed Baby Carrots(1/2 cup),42
aldrin elementary,Lunch,Fish Tacos(2 Tacos),41
aldrin elementary,Lunch,Chickpeas - salad bar entree(1/2 cup),40
aldrin elementary,Lunch,Orange(6 Slices per 1/2 cup),40
aldrin elementary,Lunch,Potato Wedges(4 pieces),38
aldrin elementary,Lunch,"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium(2 TBSP)",37
aldrin elementary,Lunch,"Peppers, green, pre-sliced(1/2 cup sliced)",36
aldrin elementary,Lunch,Doritos Flamas(Each),35
aldrin elementary,Lunch,Orange(Each - serving),35
aldrin elementary,Lunch,"WG 10"" Flour Tortilla(Tortilla)",35
aldrin elementary,Lunch,RF Kettle Chips Jalapeno & Cheddar Chips(Each),34
aldrin elementary,Lunch,RF Kettle Chips Sea Salt & Vinegar Chips(Each),34
aldrin elementary,Lunch,SS Baked Cheetos Flaming Hot(Each),33
aldrin elementary,Lunch,Vegetable Dumpling(6 dumplings),32
aldrin elementary,Lunch,Manager's Vegetable Choice(1/2 cup),31
aldrin elementary,Lunch,"Quesadilla, Turkey Barbacoa and Cheese(Quesadilla)",31
aldrin elementary,Lunch,Black Beans - salad bar entree(1/2 cup),30
aldrin elementary,Lunch,Mandarin Orange Pepper Fruit Salsa(1 TBSP),30
aldrin elementary,Lunch,Doritos RF Spicy Sweet Chili(Each),25
aldrin elementary,Lunch,"Patty, Chicken, Breaded, WG(2 strips)",25
aldrin elementary,Lunch,Sub Roll(Sub Roll),25
aldrin elementary,Lunch,Kettle Cooked Smoky BBQ Chips(Each),24
aldrin elementary,Lunch,Original Flavored Dried Cranberries(Package),24
aldrin elementary,Lunch,Turkey Barbacoa Arepa(1 Arepa + #10 scoop of turkey barbacoa),24
aldrin elementary,Lunch,BBQ Chicken Drumstick(Drumstick),23
aldrin elementary,Lunch,"Onions, Red, Whole(2 Tablespoons (sliced))",23
aldrin elementary,Lunch,Roasted Plantains(3 Slices),23
aldrin elementary,Lunch,Chickpeas(1/2 cup),22
aldrin elementary,Lunch,Corn(2 Tablespoons (thawed)),22
aldrin elementary,Lunch,Broccoli Florets(6 Pieces per 1/2 cup),21
aldrin elementary,Lunch,"Patty, Chicken, Spicy, Breaded(2 strips)",21
aldrin elementary,Lunch,Strawberry Chex Mix(Package),20
aldrin elementary,Lunch,Turkey Pepperoni Pizza(1.37 oz),20
aldrin elementary,Lunch,Doritos RF Nacho Cheese(Each),19
aldrin elementary,Lunch,Grape Tomatoes(6 Tomatoes per 1/2 cup),19
aldrin elementary,Lunch,1% Unflavored Shelf-Stable Milk(Each),18
aldrin elementary,Lunch,Cucumbers(1/2 cup sliced),18
aldrin elementary,Lunch,Kellogg’s W/G Rice Krispies Treats(Each),18
aldrin elementary,Lunch,Lay's RF Kettle Original Chips(Each),18
aldrin elementary,Lunch,SS Baked Cheetos Flaming Limon(Each),18
aldrin elementary,Lunch,Chana Masala(1/2 cup),17
aldrin elementary,Lunch,Cherry Flavored Dried Cranberries(2 Eaches),17
aldrin elementary,Lunch,Hot Turkey & Cheese(sandwich),17
aldrin elementary,Lunch,Nachos with Taco Meat and Cheese Sauce(Serving Size),17
aldrin elementary,Lunch,SS Cheetos Fantastix Flaming Hot(Each),17
aldrin elementary,Lunch,Orange Flavored Dried Cranberries(2 Eaches),16
aldrin elementary,Lunch,Strawberry Parfait Power Pack(Power Pack),16
aldrin elementary,Lunch,"Apple, Slices, IW - ER Supper Only(Each)",15
aldrin elementary,Lunch,Cool Ranch Reduced Fat Doritos(Each),15
aldrin elementary,Lunch,Cucumber Slices(2 Tablespoon),15
aldrin elementary,Lunch,Vegan Burger(Sandwich),15
aldrin elementary,Lunch,Natural Breakfast Syrup(Each),14
aldrin elementary,Lunch,"Peppers, Green, Whole(2 Tablespoon)",14
aldrin elementary,Lunch,WG Chocolate Chip Rice Krispy Treats(Each),14
aldrin elementary,Lunch,Fresh Whole Pear(Each),13
aldrin elementary,Lunch,"Peppers, Red, Whole(2 Tablespoons)",13
aldrin elementary,Lunch,"Sandwich, Turkey & Cheese(sandwich)",13
aldrin elementary,Lunch,WG Baked Funyuns(Each),13
aldrin elementary,Lunch,Watermelon Flavored Dried Cranberries(2 Eaches),13
aldrin elementary,Lunch,"Carrots, Shredded(Cup)",12
aldrin elementary,Lunch,Strawberry Flavored Dried Cranberries(2 Eaches),12
aldrin elementary,Lunch,Assorted  4 oz Yogurt(Container),11
aldrin elementary,Lunch,Fish  Sandwich(Sandwich),11
aldrin elementary,Lunch,Sweet Thai Chili Sauce(ounce),11
aldrin elementary,Lunch,Cherry Tomatoes(6 Tomatoes per 1/2 cup),10
aldrin elementary,Lunch,Chicken and Cheese Quesadilla(Quesadilla),10
aldrin elementary,Lunch,String Cheese(Each),10
aldrin elementary,Lunch,"Turkey,  Breast, Pre-Sliced, Oven Roasted(3 Slices)",10
aldrin elementary,Lunch,BBQ Chicken Sandwich(Sandwich),9
aldrin elementary,Lunch,"Chicken, Bites(4 Bites)",9
aldrin elementary,Lunch,Hamburger(Sandwich),9
aldrin elementary,Lunch,"Milk, Lactose Free,  Fat Free, Shelf-Stable(Each)",9
aldrin elementary,Lunch,Sweet Thai Chili Chicken Wings(3 Wings),9
aldrin elementary,Lunch,"Tomato, Large, whole, Plum(1/4 cup sliced)",9
aldrin elementary,Lunch,Apple Cinnamon Spread(Each),8
aldrin elementary,Lunch,Chicken Quesadilla(quesadilla),8
aldrin elementary,Lunch,"Peppers, red, pre-sliced(1/4 cup sliced)",8
aldrin elementary,Lunch,Apple Cinnamon Bread (Grain for entree)(1 square),7
aldrin elementary,Lunch,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),7
aldrin elementary,Lunch,Applesauce(1/4 cup),7
aldrin elementary,Lunch,Arepa w/Taco Beef(1 Aprea + #8 scoop of beef),7
aldrin elementary,Lunch,Chickpeas(2 Tablespoons),7
aldrin elementary,Lunch,Chilled Peaches(1/2 cup),7
aldrin elementary,Lunch,"Dough, Cookie, Double Chocolate, WG(1/2 Cookie)",7
aldrin elementary,Lunch,"Frozen, Blueberries(1/2 cup)",7
aldrin elementary,Lunch,Nachos with Black Beans and Cheese Sauce(Serving),7
aldrin elementary,Lunch,Red Seedless Grapes(2 Tablespoons),7
aldrin elementary,Lunch,Breaded  Chicken Patty on a Bun(Sandwich),6
aldrin elementary,Lunch,"Carrots, IW,   Super Snack(2 each)",6
aldrin elementary,Lunch,Chicken Tikka Masala(1/2 cup),6
aldrin elementary,Lunch,Fat Free Unflavored Shelf-Stable Milk(Each),6
aldrin elementary,Lunch,"Green Beans, Frozen(1/2 cup)",6
aldrin elementary,Lunch,"Lactose Free, White Milk(Each)",6
aldrin elementary,Lunch,"Patty, Chicken, Spicy, Breaded(Patty)",6
aldrin elementary,Lunch,"Peppers, green, pre-sliced(1/4 cup sliced)",6
aldrin elementary,Lunch,Potstickers(6 Potstickers),6
aldrin elementary,Lunch,"Apple Slices(6 Slices, 1/2 cup)",5
aldrin elementary,Lunch,Broccoli Alfredo Pasta(1 cup),5
aldrin elementary,Lunch,Carrot and Celery Sticks(1/2 cup),5
aldrin elementary,Lunch,Celery Sticks(1/4 cup),5
aldrin elementary,Lunch,Chicken Tenders Sub(Sandwich),5
aldrin elementary,Lunch,"Chicken, Wings, Pre-Cooked(3 Wings)",5
aldrin elementary,Lunch,Corn(1/2 cup (thawed)),5
aldrin elementary,Lunch,Flour Tortilla(Tortilla),5
aldrin elementary,Lunch,Orange Slices(Each),5
