School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),50,0,50,60,55,0,55,$21.45,0,0.00%,$0.00,$21.45,5,8.33%,$1.95,$23.40,,,,
Aldrin Elementary,5/05/2025,20001,1% White Milk(Each),41,0,41,37,32,0,32,$11.52,0,0.00%,$0.00,$11.52,5,13.51%,$1.80,$13.32,,,,
Aldrin Elementary,5/05/2025,20014,Red Delicious Apple(Each - serving),50,0,50,55,55,0,55,$18.15,0,0.00%,$0.00,$18.15,0,0.00%,$0.00,$18.15,,,,
Aldrin Elementary,5/05/2025,20038,Fat Free White Milk(Each),15,0,15,12,9,0,9,$2.97,0,0.00%,$0.00,$2.97,3,25.00%,$0.99,$3.96,,,,
Aldrin Elementary,5/05/2025,20047,Orange Slices(3 slices per 1/4 cup),12,0,12,12,11,0,11,$2.20,0,0.00%,$0.00,$2.20,1,8.33%,$0.20,$2.40,,,,
Aldrin Elementary,5/05/2025,30003,Honey Cheerios Cereal(Each),10,0,10,15,7,0,7,$4.13,0,0.00%,$0.00,$4.13,8,53.33%,$4.72,$8.85,,,,
Aldrin Elementary,5/05/2025,30004,Blueberry Chex Cereal(Each),11,0,11,15,6,0,6,$3.54,0,0.00%,$0.00,$3.54,9,60.00%,$5.31,$8.85,,,,
Aldrin Elementary,5/05/2025,30006,Cinnamon Chex Cereal(Each),11,0,11,15,7,0,7,$4.13,0,0.00%,$0.00,$4.13,8,53.33%,$4.72,$8.85,,,,
Aldrin Elementary,5/05/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",10,0,10,15,9,0,9,$5.31,0,0.00%,$0.00,$5.31,6,40.00%,$3.54,$8.85,,,,
Aldrin Elementary,5/05/2025,30008,Apple Juice(Each),52,0,52,62,57,0,57,$9.69,0,0.00%,$0.00,$9.69,5,8.06%,$0.85,$10.54,,,,
Aldrin Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),24,0,24,25,19,0,19,$3.23,0,0.00%,$0.00,$3.23,6,24.00%,$1.02,$4.25,,,,
Aldrin Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),2,0,2,2,0,0,0,$0.00,0,0.00%,$0.00,$0.00,2,100.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/05/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Annandale High,5/05/2025,10020,Bagel(Bagel),0,0,0,125,119,0,119,$38.08,1,0.80%,$0.32,$38.40,5,4.00%,$1.60,$40.00,,,,
Annandale High,5/05/2025,10041,Mini Maple Pancakes(Package),600,0,600,720,505,0,505,$196.95,0,0.00%,$0.00,$196.95,215,29.86%,$83.85,$280.80,,,,
Annandale High,5/05/2025,20001,1% White Milk(Each),75,0,75,120,112,0,112,$40.32,0,0.00%,$0.00,$40.32,8,6.67%,$2.88,$43.20,,,,
Annandale High,5/05/2025,20009,Cream Cheese(Each),0,0,0,125,119,0,119,$34.51,0,0.00%,$0.00,$34.51,6,4.80%,$1.74,$36.25,,,,
Annandale High,5/05/2025,20014,Red Delicious Apple(Each - serving),125,0,125,125,65,0,65,$21.45,0,0.00%,$0.00,$21.45,60,48.00%,$19.80,$41.25,,,,
Annandale High,5/05/2025,20015,Golden Delicious Apple(Each),0,0,0,110,92,0,92,$28.52,0,0.00%,$0.00,$28.52,18,16.36%,$5.58,$34.10,,,,
Annandale High,5/05/2025,20017,Orange(6 Slices per 1/2 cup),125,0,125,60,51,0,51,$17.34,0,0.00%,$0.00,$17.34,9,15.00%,$3.06,$20.40,,,,
Annandale High,5/05/2025,20038,Fat Free White Milk(Each),75,0,75,88,69,0,69,$22.77,0,0.00%,$0.00,$22.77,19,21.59%,$6.27,$29.04,,,,
Annandale High,5/05/2025,30003,Honey Cheerios Cereal(Each),75,0,75,60,58,0,58,$34.22,0,0.00%,$0.00,$34.22,2,3.33%,$1.18,$35.40,,,,
Annandale High,5/05/2025,30004,Blueberry Chex Cereal(Each),50,0,50,60,54,0,54,$31.86,0,0.00%,$0.00,$31.86,6,10.00%,$3.54,$35.40,,,,
Annandale High,5/05/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,60,59,0,59,$34.81,0,0.00%,$0.00,$34.81,1,1.67%,$0.59,$35.40,,,,
Annandale High,5/05/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",75,0,75,60,58,0,58,$34.22,0,0.00%,$0.00,$34.22,2,3.33%,$1.18,$35.40,,,,
Annandale High,5/05/2025,30008,Apple Juice(Each),800,0,800,863,697,0,697,$118.49,0,0.00%,$0.00,$118.49,166,19.24%,$28.22,$146.71,,,,
Annandale High,5/05/2025,30009,Orange Tangerine Juice(Each),200,0,200,262,222,0,222,$37.74,0,0.00%,$0.00,$37.74,40,15.27%,$6.80,$44.54,,,,
Annandale High,5/05/2025,30051,Natural Grape Jam(Packet),200,0,200,100,76,0,76,$6.84,2,2.00%,$0.18,$7.02,22,22.00%,$1.98,$9.00,,,,
Annandale High,5/05/2025,30093,Natural Breakfast Syrup(Each),300,0,300,300,266,0,266,$53.20,2,0.67%,$0.40,$53.60,32,10.67%,$6.40,$60.00,,,,
Annandale High,5/05/2025,60034,Mandarin Orange Parfait(Parfait),125,0,125,110,102,0,102,$100.98,1,0.91%,$0.99,$101.97,7,6.36%,$6.93,$108.90,,,,
Annandale Terrace Elementary,5/05/2025,10041,Mini Maple Pancakes(Package),322,0,322,297,243,0,243,$94.77,0,0.00%,$0.00,$94.77,54,18.18%,$21.06,$115.83,,,,
Annandale Terrace Elementary,5/05/2025,20001,1% White Milk(Each),102,0,102,81,78,0,78,$28.08,0,0.00%,$0.00,$28.08,3,3.70%,$1.08,$29.16,,,,
Annandale Terrace Elementary,5/05/2025,20014,Red Delicious Apple(Each - serving),84,0,84,93,91,0,91,$30.03,0,0.00%,$0.00,$30.03,2,2.15%,$0.66,$30.69,,,,
Annandale Terrace Elementary,5/05/2025,20038,Fat Free White Milk(Each),25,0,25,25,23,0,23,$7.59,0,0.00%,$0.00,$7.59,2,8.00%,$0.66,$8.25,,,,
Annandale Terrace Elementary,5/05/2025,20043,"Lactose Free, White Milk(Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74,,,,
Annandale Terrace Elementary,5/05/2025,20047,Orange Slices(3 slices per 1/4 cup),59,0,59,60,60,0,60,$12.00,0,0.00%,$0.00,$12.00,0,0.00%,$0.00,$12.00,,,,
Annandale Terrace Elementary,5/05/2025,30004,Blueberry Chex Cereal(Each),35,0,35,26,25,0,25,$14.75,0,0.00%,$0.00,$14.75,1,3.85%,$0.59,$15.34,,,,
Annandale Terrace Elementary,5/05/2025,30006,Cinnamon Chex Cereal(Each),48,0,48,30,30,0,30,$17.70,0,0.00%,$0.00,$17.70,0,0.00%,$0.00,$17.70,,,,
Annandale Terrace Elementary,5/05/2025,30008,Apple Juice(Each),206,0,206,140,138,0,138,$23.46,0,0.00%,$0.00,$23.46,2,1.43%,$0.34,$23.80,,,,
Annandale Terrace Elementary,5/05/2025,30009,Orange Tangerine Juice(Each),136,0,136,130,120,0,120,$20.40,0,0.00%,$0.00,$20.40,10,7.69%,$1.70,$22.10,,,,
Annandale Terrace Elementary,5/05/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",0,0,0,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79,,,,
Annandale Terrace Elementary,5/05/2025,60034,Mandarin Orange Parfait(Parfait),26,0,26,16,15,0,15,$14.85,0,0.00%,$0.00,$14.85,1,6.25%,$0.99,$15.84,,,,
