school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/08/2025,20001,1% White Milk(Each),41,0,41,50,44,0,44,$15.84,0,0.00%,$0.00,$15.84,6,12.00%,$2.16,$18.00
Aldrin Elementary,5/08/2025,30008,Apple Juice(Each),40,0,40,60,55,0,55,$9.35,0,0.00%,$0.00,$9.35,5,8.33%,$0.85,$10.20
Aldrin Elementary,5/08/2025,60089,Assorted Cereal(Cereal Cup),0,0,0,5,3,0,3,$1.77,0,0.00%,$0.00,$1.77,2,40.00%,$1.18,$2.95
Aldrin Elementary,5/08/2025,20031,Banana(Each),50,0,50,60,58,0,58,$12.18,0,0.00%,$0.00,$12.18,2,3.33%,$0.42,$12.60
Aldrin Elementary,5/08/2025,30004,Blueberry Chex Cereal(Each),11,0,11,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90
Aldrin Elementary,5/08/2025,30068,Chilled Peaches(1/2 cup (drained)),14,0,14,15,11,0,11,$5.61,0,0.00%,$0.00,$5.61,4,26.67%,$2.04,$7.65
Aldrin Elementary,5/08/2025,30006,Cinnamon Chex Cereal(Each),11,0,11,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/08/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",10,0,10,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/08/2025,60125,Egg and American Cheese on Biscuit(Sandwich),2,0,2,5,3,0,3,$1.41,2,40.00%,$0.94,$2.35,0,0.00%,$0.00,$2.35
Aldrin Elementary,5/08/2025,20038,Fat Free White Milk(Each),15,0,15,15,12,0,12,$3.96,0,0.00%,$0.00,$3.96,3,20.00%,$0.99,$4.95
Aldrin Elementary,5/08/2025,30003,Honey Cheerios Cereal(Each),10,0,10,10,9,0,9,$5.31,0,0.00%,$0.00,$5.31,1,10.00%,$0.59,$5.90
Aldrin Elementary,5/08/2025,10041,Mini Maple Pancakes(Package),50,0,50,72,67,0,67,$26.13,0,0.00%,$0.00,$26.13,5,6.94%,$1.95,$28.08
Aldrin Elementary,5/08/2025,30009,Orange Tangerine Juice(Each),37,0,37,50,43,0,43,$7.31,0,0.00%,$0.00,$7.31,7,14.00%,$1.19,$8.50
Aldrin Elementary,5/08/2025,60096,Strawberry Parfait(Parfait),4,0,4,7,3,0,3,$2.97,0,0.00%,$0.00,$2.97,4,57.14%,$3.96,$6.93
Annandale High,5/08/2025,20001,1% White Milk(Each),75,0,75,50,47,0,47,$16.92,0,0.00%,$0.00,$16.92,3,6.00%,$1.08,$18.00
Annandale High,5/08/2025,30008,Apple Juice(Each),800,0,800,800,756,0,756,$128.52,0,0.00%,$0.00,$128.52,44,5.50%,$7.48,$136.00
Annandale High,5/08/2025,10020,Bagel(Bagel),0,0,0,521,485,0,485,$155.20,0,0.00%,$0.00,$155.20,36,6.91%,$11.52,$166.72
Annandale High,5/08/2025,30004,Blueberry Chex Cereal(Each),50,0,50,68,65,0,65,$38.35,0,0.00%,$0.00,$38.35,3,4.41%,$1.77,$40.12
Annandale High,5/08/2025,30006,Cinnamon Chex Cereal(Each),50,0,50,122,102,0,102,$60.18,0,0.00%,$0.00,$60.18,20,16.39%,$11.80,$71.98
Annandale High,5/08/2025,20009,Cream Cheese(Each),0,0,0,521,485,0,485,$140.65,0,0.00%,$0.00,$140.65,36,6.91%,$10.44,$151.09
Annandale High,5/08/2025,20038,Fat Free White Milk(Each),75,0,75,139,105,0,105,$34.65,0,0.00%,$0.00,$34.65,34,24.46%,$11.22,$45.87
Annandale High,5/08/2025,20013,Gala Apple(Each),0,0,0,120,111,0,111,$41.07,0,0.00%,$0.00,$41.07,9,7.50%,$3.33,$44.40
Annandale High,5/08/2025,30003,Honey Cheerios Cereal(Each),75,0,75,60,49,0,49,$28.91,0,0.00%,$0.00,$28.91,11,18.33%,$6.49,$35.40
Annandale High,5/08/2025,10041,Mini Maple Pancakes(Package),400,0,400,288,280,0,280,$109.20,0,0.00%,$0.00,$109.20,8,2.78%,$3.12,$112.32
Annandale High,5/08/2025,20017,Orange(6 Slices per 1/2 cup),138,0,138,50,22,0,22,$7.48,0,0.00%,$0.00,$7.48,28,56.00%,$9.52,$17.00
Annandale High,5/08/2025,30009,Orange Tangerine Juice(Each),200,0,200,274,217,0,217,$36.89,0,0.00%,$0.00,$36.89,57,20.80%,$9.69,$46.58
Annandale High,5/08/2025,20014,Red Delicious Apple(Each - serving),125,0,125,130,75,0,75,$24.75,0,0.00%,$0.00,$24.75,55,42.31%,$18.15,$42.90
Annandale High,5/08/2025,60096,Strawberry Parfait(Parfait),125,0,125,122,106,0,106,$104.94,0,0.00%,$0.00,$104.94,16,13.11%,$15.84,$120.78
Annandale Terrace Elementary,5/08/2025,20001,1% White Milk(Each),104,0,104,87,84,0,84,$30.24,0,0.00%,$0.00,$30.24,3,3.45%,$1.08,$31.32
Annandale Terrace Elementary,5/08/2025,30008,Apple Juice(Each),205,0,205,175,163,0,163,$27.71,0,0.00%,$0.00,$27.71,12,6.86%,$2.04,$29.75
Annandale Terrace Elementary,5/08/2025,20031,Banana(Each),102,0,102,85,79,0,79,$16.59,0,0.00%,$0.00,$16.59,6,7.06%,$1.26,$17.85
Annandale Terrace Elementary,5/08/2025,30004,Blueberry Chex Cereal(Each),35,0,35,37,33,0,33,$19.47,0,0.00%,$0.00,$19.47,4,10.81%,$2.36,$21.83
Annandale Terrace Elementary,5/08/2025,30068,Chilled Peaches(1/2 cup (drained)),59,0,59,61,61,0,61,$31.11,0,0.00%,$0.00,$31.11,0,0.00%,$0.00,$31.11
Annandale Terrace Elementary,5/08/2025,30006,Cinnamon Chex Cereal(Each),48,0,48,25,24,0,24,$14.16,0,0.00%,$0.00,$14.16,1,4.00%,$0.59,$14.75
Annandale Terrace Elementary,5/08/2025,60125,Egg and American Cheese on Biscuit(Sandwich),46,0,46,21,20,0,20,$9.40,1,4.76%,$0.47,$9.87,0,0.00%,$0.00,$9.87
Annandale Terrace Elementary,5/08/2025,20038,Fat Free White Milk(Each),26,0,26,25,19,0,19,$6.27,0,0.00%,$0.00,$6.27,6,24.00%,$1.98,$8.25
Annandale Terrace Elementary,5/08/2025,20043,"Lactose Free, White Milk(Each)",3,0,3,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
Annandale Terrace Elementary,5/08/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",1,0,1,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79
Annandale Terrace Elementary,5/08/2025,10041,Mini Maple Pancakes(Package),408,0,408,314,293,0,293,$114.27,0,0.00%,$0.00,$114.27,21,6.69%,$8.19,$122.46
Annandale Terrace Elementary,5/08/2025,30009,Orange Tangerine Juice(Each),152,0,152,185,166,0,166,$28.22,0,0.00%,$0.00,$28.22,19,10.27%,$3.23,$31.45
Annandale Terrace Elementary,5/08/2025,60096,Strawberry Parfait(Parfait),21,0,21,10,10,0,10,$9.90,0,0.00%,$0.00,$9.90,0,0.00%,$0.00,$9.90
Armstrong Elementary,5/08/2025,20001,1% White Milk(Each),20,0,20,20,16,0,16,$5.76,0,0.00%,$0.00,$5.76,4,20.00%,$1.44,$7.20
