School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/21/2025,10096,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",25,0,25,60,57,0,57,$23.37,0,0.00%,$0.00,$23.37,3,5.00%,$1.23,$24.60
Aldrin Elementary,5/21/2025,20001,1% White Milk (Each),30,0,30,50,42,0,42,$15.12,0,0.00%,$0.00,$15.12,8,16.00%,$2.88,$18.00
Aldrin Elementary,5/21/2025,20014,Red Delicious Apple (Each - serving),53,0,53,55,51,0,51,$16.83,0,0.00%,$0.00,$16.83,4,7.27%,$1.32,$18.15
Aldrin Elementary,5/21/2025,20016,String Cheese (1 Stick),25,0,25,60,57,0,57,$12.54,0,0.00%,$0.00,$12.54,3,5.00%,$0.66,$13.20
Aldrin Elementary,5/21/2025,20031,Banana (Each),12,0,12,15,12,0,12,$2.52,0,0.00%,$0.00,$2.52,3,20.00%,$0.63,$3.15
Aldrin Elementary,5/21/2025,20038,Fat Free White Milk (Each),11,0,11,25,19,0,19,$6.27,0,0.00%,$0.00,$6.27,6,24.00%,$1.98,$8.25
Aldrin Elementary,5/21/2025,30003,Honey Cheerios Cereal (Each),18,0,18,20,12,0,12,$7.08,0,0.00%,$0.00,$7.08,8,40.00%,$4.72,$11.80
Aldrin Elementary,5/21/2025,30004,Blueberry Chex Cereal (Each),7,0,7,10,7,0,7,$4.13,0,0.00%,$0.00,$4.13,3,30.00%,$1.77,$5.90
Aldrin Elementary,5/21/2025,30006,Cinnamon Chex Cereal (Each),10,0,10,15,10,0,10,$5.90,0,0.00%,$0.00,$5.90,5,33.33%,$2.95,$8.85
Aldrin Elementary,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",11,0,11,15,9,0,9,$5.31,0,0.00%,$0.00,$5.31,6,40.00%,$3.54,$8.85
Aldrin Elementary,5/21/2025,30008,Apple Juice (Each),49,0,49,90,75,0,75,$12.75,0,0.00%,$0.00,$12.75,15,16.67%,$2.55,$15.30
Aldrin Elementary,5/21/2025,30009,Orange Tangerine Juice (Each),20,0,20,35,28,0,28,$4.76,0,0.00%,$0.00,$4.76,7,20.00%,$1.19,$5.95
Aldrin Elementary,5/21/2025,60034,Mandarin Orange Parfait (Parfait),2,0,2,5,3,0,3,$2.97,0,0.00%,$0.00,$2.97,2,40.00%,$1.98,$4.95
Aldrin Elementary,5/21/2025,60153,Pumpkin Bread (1 square),0,0,0,10,7,0,7,$2.87,0,0.00%,$0.00,$2.87,3,30.00%,$1.23,$4.10
Aldrin Elementary,5/21/2025,60162,Chicken & Biscuit Sandwich (Sandwich),15,0,15,13,8,0,8,$4.24,0,0.00%,$0.00,$4.24,5,38.46%,$2.65,$6.89
Annandale High,5/21/2025,10041,Mini Maple Pancakes (Package),0,0,0,400,363,0,363,$141.57,0,0.00%,$0.00,$141.57,37,9.25%,$14.43,$156.00
Annandale High,5/21/2025,20001,1% White Milk (Each),75,0,75,74,71,0,71,$25.56,0,0.00%,$0.00,$25.56,3,4.05%,$1.08,$26.64
Annandale High,5/21/2025,20014,Red Delicious Apple (Each - serving),125,0,125,100,85,0,85,$28.05,0,0.00%,$0.00,$28.05,15,15.00%,$4.95,$33.00
Annandale High,5/21/2025,20015,Golden Delicious Apple (Each),0,0,0,50,38,0,38,$11.78,0,0.00%,$0.00,$11.78,12,24.00%,$3.72,$15.50
Annandale High,5/21/2025,20017,Orange (6 Slices per 1/2 cup),100,0,100,50,38,0,38,$12.92,0,0.00%,$0.00,$12.92,12,24.00%,$4.08,$17.00
Annandale High,5/21/2025,20031,Banana (Each),110,0,110,150,125,0,125,$26.25,0,0.00%,$0.00,$26.25,25,16.67%,$5.25,$31.50
Annandale High,5/21/2025,20038,Fat Free White Milk (Each),75,0,75,92,79,0,79,$26.07,0,0.00%,$0.00,$26.07,13,14.13%,$4.29,$30.36
Annandale High,5/21/2025,30003,Honey Cheerios Cereal (Each),75,0,75,60,59,0,59,$34.81,0,0.00%,$0.00,$34.81,1,1.67%,$0.59,$35.40
Annandale High,5/21/2025,30004,Blueberry Chex Cereal (Each),50,0,50,60,57,0,57,$33.63,0,0.00%,$0.00,$33.63,3,5.00%,$1.77,$35.40
Annandale High,5/21/2025,30006,Cinnamon Chex Cereal (Each),50,0,50,60,59,0,59,$34.81,0,0.00%,$0.00,$34.81,1,1.67%,$0.59,$35.40
Annandale High,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",75,0,75,60,59,0,59,$34.81,0,0.00%,$0.00,$34.81,1,1.67%,$0.59,$35.40
Annandale High,5/21/2025,30008,Apple Juice (Each),800,0,800,838,705,0,705,$119.85,0,0.00%,$0.00,$119.85,133,15.87%,$22.61,$142.46
Annandale High,5/21/2025,30009,Orange Tangerine Juice (Each),200,0,200,270,219,0,219,$37.23,0,0.00%,$0.00,$37.23,51,18.89%,$8.67,$45.90
Annandale High,5/21/2025,60034,Mandarin Orange Parfait (Parfait),125,0,125,106,104,0,104,$102.96,1,0.94%,$0.99,$103.95,1,0.94%,$0.99,$104.94
Annandale High,5/21/2025,60165,Egg and American Cheese on Bagel (Sandwich),0,0,0,300,288,0,288,$167.04,0,0.00%,$0.00,$167.04,12,4.00%,$6.96,$174.00
Annandale Terrace Elementary,5/21/2025,10096,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",252,0,252,160,160,0,160,$65.60,0,0.00%,$0.00,$65.60,0,0.00%,$0.00,$65.60
Annandale Terrace Elementary,5/21/2025,20001,1% White Milk (Each),101,0,101,170,150,0,150,$54.00,0,0.00%,$0.00,$54.00,20,11.76%,$7.20,$61.20
Annandale Terrace Elementary,5/21/2025,20016,String Cheese (1 Stick),252,0,252,160,160,0,160,$35.20,0,0.00%,$0.00,$35.20,0,0.00%,$0.00,$35.20
Annandale Terrace Elementary,5/21/2025,20031,Banana (Each),166,0,166,147,143,0,143,$30.03,0,0.00%,$0.00,$30.03,4,2.72%,$0.84,$30.87
Annandale Terrace Elementary,5/21/2025,20038,Fat Free White Milk (Each),25,0,25,35,30,0,30,$9.90,0,0.00%,$0.00,$9.90,5,14.29%,$1.65,$11.55
Annandale Terrace Elementary,5/21/2025,20043,"Lactose Free, White Milk (Each)",0,0,0,3,3,0,3,$1.74,0,0.00%,$0.00,$1.74,0,0.00%,$0.00,$1.74
Annandale Terrace Elementary,5/21/2025,30003,Honey Cheerios Cereal (Each),104,0,104,82,81,0,81,$47.79,0,0.00%,$0.00,$47.79,1,1.22%,$0.59,$48.38
Annandale Terrace Elementary,5/21/2025,30004,Blueberry Chex Cereal (Each),50,0,50,25,24,0,24,$14.16,0,0.00%,$0.00,$14.16,1,4.00%,$0.59,$14.75
Annandale Terrace Elementary,5/21/2025,30006,Cinnamon Chex Cereal (Each),50,0,50,74,68,0,68,$40.12,0,0.00%,$0.00,$40.12,6,8.11%,$3.54,$43.66
Annandale Terrace Elementary,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",50,0,50,51,50,0,50,$29.50,0,0.00%,$0.00,$29.50,1,1.96%,$0.59,$30.09
Annandale Terrace Elementary,5/21/2025,30008,Apple Juice (Each),215,0,215,210,204,0,204,$34.68,0,0.00%,$0.00,$34.68,6,2.86%,$1.02,$35.70
Annandale Terrace Elementary,5/21/2025,30009,Orange Tangerine Juice (Each),197,0,197,200,184,0,184,$31.28,0,0.00%,$0.00,$31.28,16,8.00%,$2.72,$34.00
Annandale Terrace Elementary,5/21/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0,0,0,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79
Annandale Terrace Elementary,5/21/2025,60034,Mandarin Orange Parfait (Parfait),18,0,18,15,14,0,14,$13.86,0,0.00%,$0.00,$13.86,1,6.67%,$0.99,$14.85
Annandale Terrace Elementary,5/21/2025,60162,Chicken & Biscuit Sandwich (Sandwich),100,0,100,40,38,0,38,$20.14,0,0.00%,$0.00,$20.14,2,5.00%,$1.06,$21.20
Armstrong Elementary,5/21/2025,10096,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",23,0,23,15,12,0,12,$4.92,3,20.00%,$1.23,$6.15,0,0.00%,$0.00,$6.15
Armstrong Elementary,5/21/2025,20001,1% White Milk (Each),32,0,32,50,27,0,27,$9.72,0,0.00%,$0.00,$9.72,23,46.00%,$8.28,$18.00
Armstrong Elementary,5/21/2025,20016,String Cheese (1 Stick),23,0,23,12,12,0,12,$2.64,0,0.00%,$0.00,$2.64,0,0.00%,$0.00,$2.64
Armstrong Elementary,5/21/2025,20038,Fat Free White Milk (Each),27,0,27,50,17,0,17,$5.61,1,2.00%,$0.33,$5.94,32,64.00%,$10.56,$16.50
Armstrong Elementary,5/21/2025,20074,"Apple Slices (3 slices, 1/4 cup)",0,0,0,28,24,0,24,$4.32,0,0.00%,$0.00,$4.32,4,14.29%,$0.72,$5.04
Armstrong Elementary,5/21/2025,30003,Honey Cheerios Cereal (Each),7,0,7,10,3,0,3,$1.77,0,0.00%,$0.00,$1.77,7,70.00%,$4.13,$5.90
Armstrong Elementary,5/21/2025,30004,Blueberry Chex Cereal (Each),4,0,4,10,2,0,2,$1.18,0,0.00%,$0.00,$1.18,8,80.00%,$4.72,$5.90
Armstrong Elementary,5/21/2025,30006,Cinnamon Chex Cereal (Each),4,0,4,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90
Armstrong Elementary,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",7,0,7,10,6,0,6,$3.54,0,0.00%,$0.00,$3.54,4,40.00%,$2.36,$5.90
Armstrong Elementary,5/21/2025,30008,Apple Juice (Each),45,0,45,40,38,0,38,$6.46,0,0.00%,$0.00,$6.46,2,5.00%,$0.34,$6.80
Armstrong Elementary,5/21/2025,30009,Orange Tangerine Juice (Each),39,0,39,20,17,0,17,$2.89,0,0.00%,$0.00,$2.89,3,15.00%,$0.51,$3.40
Armstrong Elementary,5/21/2025,60034,Mandarin Orange Parfait (Parfait),2,0,2,2,1,0,1,$0.99,1,50.00%,$0.99,$1.98,0,0.00%,$0.00,$1.98
Armstrong Elementary,5/21/2025,60125,Egg and American Cheese on Biscuit (Sandwich),0,0,0,2,0,0,0,$0.00,2,100.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Armstrong Elementary,5/21/2025,60162,Chicken & Biscuit Sandwich (Sandwich),0,0,0,36,34,0,34,$18.02,2,5.56%,$1.06,$19.08,0,0.00%,$0.00,$19.08
Baileys Lower Elementary,5/21/2025,10020,Bagel (Bagel),0,0,0,53,18,35,53,$16.96,0,0.00%,$0.00,$16.96,0,0.00%,$0.00,$16.96
Baileys Lower Elementary,5/21/2025,10041,Mini Maple Pancakes (Package),0,0,0,216,196,0,196,$76.44,0,0.00%,$0.00,$76.44,20,9.26%,$7.80,$84.24
Baileys Lower Elementary,5/21/2025,20001,1% White Milk (Each),256,0,256,390,241,35,276,$99.36,4,1.03%,$1.44,$100.80,110,28.21%,$39.60,$140.40
Baileys Lower Elementary,5/21/2025,20009,Cream Cheese (Each),0,0,0,53,18,35,53,$15.37,0,0.00%,$0.00,$15.37,0,0.00%,$0.00,$15.37
Baileys Lower Elementary,5/21/2025,20031,Banana (Each),118,0,118,187,152,35,187,$39.27,0,0.00%,$0.00,$39.27,0,0.00%,$0.00,$39.27
Baileys Lower Elementary,5/21/2025,20038,Fat Free White Milk (Each),33,0,33,40,19,0,19,$6.27,0,0.00%,$0.00,$6.27,21,52.50%,$6.93,$13.20
Baileys Lower Elementary,5/21/2025,20043,"Lactose Free, White Milk (Each)",0,0,0,7,7,0,7,$4.06,0,0.00%,$0.00,$4.06,0,0.00%,$0.00,$4.06
Baileys Lower Elementary,5/21/2025,30003,Honey Cheerios Cereal (Each),140,0,140,129,119,0,119,$70.21,0,0.00%,$0.00,$70.21,10,7.75%,$5.90,$76.11
Baileys Lower Elementary,5/21/2025,30004,Blueberry Chex Cereal (Each),21,0,21,30,15,0,15,$8.85,0,0.00%,$0.00,$8.85,15,50.00%,$8.85,$17.70
Baileys Lower Elementary,5/21/2025,30006,Cinnamon Chex Cereal (Each),29,0,29,30,19,0,19,$11.21,0,0.00%,$0.00,$11.21,11,36.67%,$6.49,$17.70
Baileys Lower Elementary,5/21/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",19,0,19,30,18,0,18,$10.62,0,0.00%,$0.00,$10.62,12,40.00%,$7.08,$17.70
Baileys Lower Elementary,5/21/2025,30008,Apple Juice (Each),175,0,175,250,187,0,187,$31.79,0,0.00%,$0.00,$31.79,63,25.20%,$10.71,$42.50
Baileys Lower Elementary,5/21/2025,30009,Orange Tangerine Juice (Each),177,0,177,210,180,0,180,$30.60,0,0.00%,$0.00,$30.60,30,14.29%,$5.10,$35.70
Baileys Lower Elementary,5/21/2025,60034,Mandarin Orange Parfait (Parfait),36,0,36,88,82,0,82,$81.18,0,0.00%,$0.00,$81.18,6,6.82%,$5.94,$87.12
Baileys Lower Elementary,5/21/2025,60090,Assorted Craisins (Packet),0,0,0,210,151,0,151,$36.24,0,0.00%,$0.00,$36.24,59,28.10%,$14.16,$50.40
Baileys Lower Elementary,5/21/2025,60164,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",0,0,0,42,40,0,40,$21.60,2,4.76%,$1.08,$22.68,0,0.00%,$0.00,$22.68
Baileys Upper Elementary,5/21/2025,10020,Bagel (Bagel),0,0,0,14,9,0,9,$2.88,0,0.00%,$0.00,$2.88,5,35.71%,$1.60,$4.48
Baileys Upper Elementary,5/21/2025,10096,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",63,0,63,63,63,0,63,$25.83,0,0.00%,$0.00,$25.83,0,0.00%,$0.00,$25.83
Baileys Upper Elementary,5/21/2025,20001,1% White Milk (Each),50,0,50,40,37,0,37,$13.32,0,0.00%,$0.00,$13.32,3,7.50%,$1.08,$14.40
Baileys Upper Elementary,5/21/2025,20009,Cream Cheese (Each),0,0,0,14,9,0,9,$2.61,0,0.00%,$0.00,$2.61,5,35.71%,$1.45,$4.06
Baileys Upper Elementary,5/21/2025,20014,Red Delicious Apple (Each - serving),100,0,100,169,79,0,79,$26.07,0,0.00%,$0.00,$26.07,90,53.25%,$29.70,$55.77
