school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total
Aldrin Elementary,5/05/2025,20001,1% White Milk(Each),54,0,54,170,53,0,53,$19.08,0,0.00%,$0.00,$19.08,117,68.82%,$42.12,$61.20
Aldrin Elementary,5/05/2025,30008,Apple Juice(Each),25,0,25,25,20,0,20,$3.40,0,0.00%,$0.00,$3.40,5,20.00%,$0.85,$4.25
Aldrin Elementary,5/05/2025,20008,Apple Slices(3 slices per 1/4 cup),228,0,228,320,315,0,315,$185.85,0,0.00%,$0.00,$185.85,5,1.56%,$2.95,$188.80
Aldrin Elementary,5/05/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,5,0,5,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00
Aldrin Elementary,5/05/2025,20023,Baby Carrots(6 Baby Carrots per 1/2 cup),59,0,59,50,48,0,48,$8.16,0,0.00%,$0.00,$8.16,2,4.00%,$0.34,$8.50
Aldrin Elementary,5/05/2025,60151,Blueberry Bread(1 square),157,0,157,182,177,0,177,$72.57,0,0.00%,$0.00,$72.57,5,2.75%,$2.05,$74.62
Aldrin Elementary,5/05/2025,30097,Bottled Water(Bottle),6,0,6,5,3,0,3,$0.48,0,0.00%,$0.00,$0.48,2,40.00%,$0.32,$0.80
Aldrin Elementary,5/05/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,6,0,6,$1.08,0,0.00%,$0.00,$1.08,4,40.00%,$0.72,$1.80
Aldrin Elementary,5/05/2025,30039,Cherry Flavored Dried Cranberries(Each),5,0,5,10,8,0,8,$1.92,0,0.00%,$0.00,$1.92,2,20.00%,$0.48,$2.40
Aldrin Elementary,5/05/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),4,0,4,10,8,0,8,$6.40,0,0.00%,$0.00,$6.40,2,20.00%,$1.60,$8.00
Aldrin Elementary,5/05/2025,60047,Chicken Tenders(3 tenders),175,0,175,169,166,0,166,$156.04,0,0.00%,$0.00,$156.04,3,1.78%,$2.82,$158.86
Aldrin Elementary,5/05/2025,60050,Chickenless Bites(4 Bites),45,0,45,14,10,0,10,$7.60,0,0.00%,$0.00,$7.60,4,28.57%,$3.04,$10.64
Aldrin Elementary,5/05/2025,30099,Chickpeas(1/4 cup),33,0,33,35,33,0,33,$2.97,0,0.00%,$0.00,$2.97,2,5.71%,$0.18,$3.15
Aldrin Elementary,5/05/2025,30068,Chilled Peaches(1/2 cup (drained)),22,0,22,20,18,0,18,$9.18,0,0.00%,$0.00,$9.18,2,10.00%,$1.02,$10.20
