School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Aldrin Elementary,5/23/2025,10044,Soft Pretzel(1 pretzel),17,0,17,20,17,0,17,$3.74,0,0.00%,$0.00,$3.74,3,15.00%,$0.66,$4.40,,,,
Aldrin Elementary,5/23/2025,10073,Whole Strawberries(1/2 cup thawed),0,0,0,167,160,0,160,$54.40,0,0.00%,$0.00,$54.40,7,4.19%,$2.38,$56.78,,,,
Aldrin Elementary,5/23/2025,20001,1% White Milk(Each),45,0,45,72,56,0,56,$20.16,0,0.00%,$0.00,$20.16,16,22.22%,$5.76,$25.92,,,,
Aldrin Elementary,5/23/2025,20002,Fat Free Chocolate Milk(Each),140,0,140,150,135,0,135,$47.25,0,0.00%,$0.00,$47.25,15,10.00%,$5.25,$52.50,,,,
Aldrin Elementary,5/23/2025,20011,Cherry Tomatoes(1/4 cup),51,0,51,125,120,0,120,$44.40,5,4.00%,$1.85,$46.25,0,0.00%,$0.00,$46.25,,,,
Aldrin Elementary,5/23/2025,20016,String Cheese(Each),2,0,2,2,0,0,0,$0.00,0,0.00%,$0.00,$0.00,2,100.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/23/2025,20018,Red Seedless Grapes(8 grapes per 1/4 cup),154,0,154,160,154,0,154,$40.04,0,0.00%,$0.00,$40.04,6,3.75%,$1.56,$41.60,,,,
Aldrin Elementary,5/23/2025,20028,Lettuce Blend Salad Mix(1/2 cup),45,0,45,45,42,0,42,$3.36,3,6.67%,$0.24,$3.60,0,0.00%,$0.00,$3.60,,,,
Aldrin Elementary,5/23/2025,20038,Fat Free White Milk(Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,,,,
Aldrin Elementary,5/23/2025,20052,Assorted  4 oz Yogurt(Container),2,0,2,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/23/2025,30008,Apple Juice(Each),18,0,18,25,19,0,19,$3.23,0,0.00%,$0.00,$3.23,6,24.00%,$1.02,$4.25,,,,
Aldrin Elementary,5/23/2025,30009,Orange Tangerine Juice(Each),7,0,7,25,20,0,20,$3.40,0,0.00%,$0.00,$3.40,5,20.00%,$0.85,$4.25,,,,
Aldrin Elementary,5/23/2025,30024,Black Beans(1/2 Cup),20,0,20,22,20,0,20,$3.40,2,9.09%,$0.34,$3.74,0,0.00%,$0.00,$3.74,,,,
Aldrin Elementary,5/23/2025,30033,Cheez-Its Crackers(Package),0,0,0,10,6,0,6,$1.08,0,0.00%,$0.00,$1.08,4,40.00%,$0.72,$1.80,,,,
Aldrin Elementary,5/23/2025,30044,Strawberry Flavored Dried Cranberries(Each),8,0,8,20,18,0,18,$4.32,0,0.00%,$0.00,$4.32,2,10.00%,$0.48,$4.80,,,,
Aldrin Elementary,5/23/2025,30045,Watermelon Flavored Dried Cranberries(Each),30,0,30,20,17,0,17,$4.08,0,0.00%,$0.00,$4.08,3,15.00%,$0.72,$4.80,,,,
Aldrin Elementary,5/23/2025,30061,Chilled Mandarin Oranges(1/2 cup (drained)),21,0,21,22,20,0,20,$6.80,2,9.09%,$0.68,$7.48,0,0.00%,$0.00,$7.48,,,,
Aldrin Elementary,5/23/2025,30061,Chilled Mandarin Oranges(1/4 cup (drained)),133,0,133,145,143,0,143,$24.31,2,1.38%,$0.34,$24.65,0,0.00%,$0.00,$24.65,,,,
Aldrin Elementary,5/23/2025,30077,Italian Dressing(1 ounce),16,0,16,25,21,0,21,$1.68,0,0.00%,$0.00,$1.68,4,16.00%,$0.32,$2.00,,,,
Aldrin Elementary,5/23/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips(Bag),32,0,32,40,38,0,38,$13.30,0,0.00%,$0.00,$13.30,2,5.00%,$0.70,$14.00,,,,
Aldrin Elementary,5/23/2025,30097,Bottled Water(Bottle),4,0,4,10,7,0,7,$1.12,0,0.00%,$0.00,$1.12,3,30.00%,$0.48,$1.60,,,,
Aldrin Elementary,5/23/2025,30099,Chickpeas(1/4 cup),30,0,30,35,33,0,33,$2.97,2,5.71%,$0.18,$3.15,0,0.00%,$0.00,$3.15,,,,
Aldrin Elementary,5/23/2025,30107,Ranch Dressing(1 ounce),25,0,25,25,22,0,22,$2.42,0,0.00%,$0.00,$2.42,3,12.00%,$0.33,$2.75,,,,
Aldrin Elementary,5/23/2025,30109,Smartfood RF White Cheddar Popcorn(Each),0,0,0,25,20,0,20,$7.40,0,0.00%,$0.00,$7.40,5,20.00%,$1.85,$9.25,,,,
Aldrin Elementary,5/23/2025,60035,PB&J Power Pack(Power Packs),29,0,29,25,19,0,19,$20.52,0,0.00%,$0.00,$20.52,6,24.00%,$6.48,$27.00,,,,
Aldrin Elementary,5/23/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),8,0,8,15,5,0,5,$4.00,0,0.00%,$0.00,$4.00,10,66.67%,$8.00,$12.00,,,,
Aldrin Elementary,5/23/2025,60037,Strawberry & Banana Yogurt Power Pack(Power Packs),5,0,5,10,3,0,3,$2.40,0,0.00%,$0.00,$2.40,7,70.00%,$5.60,$8.00,,,,
Aldrin Elementary,5/23/2025,60038,Peach Yogurt Power Pack(Power Packs),7,0,7,10,5,0,5,$4.00,0,0.00%,$0.00,$4.00,5,50.00%,$4.00,$8.00,,,,
Aldrin Elementary,5/23/2025,60041,Turkey Pepperoni Pizza(Slice),85,0,85,58,54,0,54,$36.72,3,5.17%,$2.04,$38.76,1,1.72%,$0.68,$39.44,,,,
Aldrin Elementary,5/23/2025,60077,Manager's Vegetable Choice(1/4 cup),69,0,69,145,144,0,144,$0.00,1,0.69%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Aldrin Elementary,5/23/2025,60080,Cheese Pizza(Slice),138,0,138,159,155,0,155,$88.35,2,1.26%,$1.14,$89.49,2,1.26%,$1.14,$90.63,,,,
Annandale High,5/23/2025,10001,"Patty, Chicken, Breaded, WG(2 strips)",80,0,80,110,104,0,104,$22.88,1,0.91%,$0.22,$23.10,5,4.55%,$1.10,$24.20,,,,
Annandale High,5/23/2025,10033,Chocolate Chip Cookie(Cookie),20,0,20,20,17,0,17,$4.59,0,0.00%,$0.00,$4.59,3,15.00%,$0.81,$5.40,,,,
Annandale High,5/23/2025,10044,Soft Pretzel(1 pretzel),10,0,10,10,4,0,4,$0.88,2,20.00%,$0.44,$1.32,4,40.00%,$0.88,$2.20,,,,
Annandale High,5/23/2025,10049,"WG 10"" Flour Tortilla(Tortilla)",72,0,72,112,100,0,100,$35.00,1,0.89%,$0.35,$35.35,11,9.82%,$3.85,$39.20,,,,
Annandale High,5/23/2025,10051,"Turkey,  Breast, Pre-Sliced, Oven Roasted(3 Slices)",10,0,10,10,1,0,1,$0.54,0,0.00%,$0.00,$0.54,9,90.00%,$4.86,$5.40,,,,
Annandale High,5/23/2025,10062,Corn(2 Tablespoons (thawed)),64,0,64,64,52,0,52,$2.60,4,6.25%,$0.20,$2.80,8,12.50%,$0.40,$3.20,,,,
Annandale High,5/23/2025,10070,Orange Sauce(ounce),60,0,60,40,24,0,24,$3.36,1,2.50%,$0.14,$3.50,15,37.50%,$2.10,$5.60,,,,
Annandale High,5/23/2025,10075,Cheese Pizza(Slice),200,0,200,260,230,13,243,$138.51,1,0.38%,$0.57,$139.08,16,6.15%,$9.12,$148.20,,,,
Annandale High,5/23/2025,20001,1% White Milk(Each),95,0,95,98,59,0,59,$21.24,0,0.00%,$0.00,$21.24,39,39.80%,$14.04,$35.28,,,,
Annandale High,5/23/2025,20002,Fat Free Chocolate Milk(Each),650,0,650,578,556,0,556,$194.60,0,0.00%,$0.00,$194.60,22,3.81%,$7.70,$202.30,,,,
Annandale High,5/23/2025,20006,"Cheese, Shredded, Cheddar(1/4 cup)",96,0,96,128,108,0,108,$18.36,4,3.13%,$0.68,$19.04,16,12.50%,$2.72,$21.76,,,,
Annandale High,5/23/2025,20011,Cherry Tomatoes(1/4 cup),180,0,180,180,167,0,167,$61.79,3,1.67%,$1.11,$62.90,10,5.56%,$3.70,$66.60,,,,
Annandale High,5/23/2025,20014,Red Delicious Apple(Each - serving),0,0,0,425,363,0,363,$119.79,2,0.47%,$0.66,$120.45,60,14.12%,$19.80,$140.25,,,,
Annandale High,5/23/2025,20015,Golden Delicious Apple(Each),0,0,0,300,254,0,254,$78.74,1,0.33%,$0.31,$79.05,45,15.00%,$13.95,$93.00,,,,
Annandale High,5/23/2025,20016,String Cheese(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/23/2025,20017,Orange(1/4 cup),0,0,0,188,152,0,152,$25.84,2,1.06%,$0.34,$26.18,34,18.09%,$5.78,$31.96,,,,
Annandale High,5/23/2025,20018,Red Seedless Grapes(16 grapes per 1/2 cup),0,0,0,138,131,0,131,$66.81,2,1.45%,$1.02,$67.83,5,3.62%,$2.55,$70.38,,,,
Annandale High,5/23/2025,20027,Broccoli Florets(6 Pieces per 1/2 cup),21,0,21,21,10,0,10,$1.50,5,23.81%,$0.75,$2.25,6,28.57%,$0.90,$3.15,,,,
Annandale High,5/23/2025,20028,Lettuce Blend Salad Mix(1/2 cup),360,0,360,400,354,13,367,$29.36,13,3.25%,$1.04,$30.40,20,5.00%,$1.60,$32.00,,,,
Annandale High,5/23/2025,20030,Sour Cream(2 Tablespoons),100,0,100,50,38,0,38,$5.70,0,0.00%,$0.00,$5.70,12,24.00%,$1.80,$7.50,,,,
Annandale High,5/23/2025,20035,"Onions, Red, Whole(1/4 cup (sliced))",70,0,70,70,64,0,64,$4.48,3,4.29%,$0.21,$4.69,3,4.29%,$0.21,$4.90,,,,
Annandale High,5/23/2025,20038,Fat Free White Milk(Each),95,0,95,107,39,0,39,$12.87,1,0.93%,$0.33,$13.20,67,62.62%,$22.11,$35.31,,,,
Annandale High,5/23/2025,20040,Cucumber Slices(2 Tablespoon),46,0,46,46,39,0,39,$1.17,2,4.35%,$0.06,$1.23,5,10.87%,$0.15,$1.38,,,,
Annandale High,5/23/2025,20052,Assorted  4 oz Yogurt(Container),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/23/2025,20076,"Peppers, green, pre-sliced(1/4 cup sliced)",70,0,70,70,59,0,59,$8.85,5,7.14%,$0.75,$9.60,6,8.57%,$0.90,$10.50,,,,
Annandale High,5/23/2025,20077,"Peppers, red, pre-sliced(1/4 cup sliced)",70,0,70,70,62,0,62,$17.36,3,4.29%,$0.84,$18.20,5,7.14%,$1.40,$19.60,,,,
Annandale High,5/23/2025,30002,Sub Roll(Sub Roll),12,0,12,10,5,0,5,$1.55,0,0.00%,$0.00,$1.55,5,50.00%,$1.55,$3.10,,,,
Annandale High,5/23/2025,30008,Apple Juice(Each),5,0,5,5,1,0,1,$0.17,0,0.00%,$0.00,$0.17,4,80.00%,$0.68,$0.85,,,,
Annandale High,5/23/2025,30009,Orange Tangerine Juice(Each),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale High,5/23/2025,30011,"Salsa, Mild Canned(1.5 oz)",100,0,100,100,90,0,90,$9.00,0,0.00%,$0.00,$9.00,10,10.00%,$1.00,$10.00,,,,
Annandale High,5/23/2025,30033,Cheez-Its Crackers(Package),10,0,10,10,0,0,0,$0.00,0,0.00%,$0.00,$0.00,10,100.00%,$0.00,$0.00,,,,
Annandale High,5/23/2025,30044,Strawberry Flavored Dried Cranberries(Each),70,0,70,70,43,0,43,$10.32,0,0.00%,$0.00,$10.32,27,38.57%,$6.48,$16.80,,,,
Annandale High,5/23/2025,30045,Watermelon Flavored Dried Cranberries(Each),70,0,70,70,46,0,46,$11.04,0,0.00%,$0.00,$11.04,24,34.29%,$5.76,$16.80,,,,
Annandale High,5/23/2025,30061,Chilled Mandarin Oranges(1/4 cup (drained)),300,0,300,210,190,13,203,$34.51,5,2.38%,$0.85,$35.36,2,0.95%,$0.34,$35.70,,,,
Annandale High,5/23/2025,30063,Ketchup Packet(Packet),1800,0,1800,1500,1000,0,1000,$30.00,0,0.00%,$0.00,$30.00,500,33.33%,$15.00,$45.00,,,,
Annandale High,5/23/2025,30064,Mayonnaise Packet(Packet),700,0,700,700,540,0,540,$54.00,0,0.00%,$0.00,$54.00,160,22.86%,$16.00,$70.00,,,,
Annandale High,5/23/2025,30065,Mustard Packet(Packet),200,0,200,200,76,0,76,$3.80,0,0.00%,$0.00,$3.80,124,62.00%,$6.20,$10.00,,,,
Annandale High,5/23/2025,30077,Italian Dressing(1 ounce),144,0,144,144,100,0,100,$8.00,8,5.56%,$0.64,$8.64,36,25.00%,$2.88,$11.52,,,,
Annandale High,5/23/2025,30097,Bottled Water(Bottle),15,0,15,20,11,0,11,$1.76,0,0.00%,$0.00,$1.76,9,45.00%,$1.44,$3.20,,,,
Annandale High,5/23/2025,30099,Chickpeas(1/4 cup),160,0,160,161,131,0,131,$11.79,9,5.59%,$0.81,$12.60,21,13.04%,$1.89,$14.49,,,,
Annandale High,5/23/2025,30107,Ranch Dressing(1 ounce),285,0,285,384,337,13,350,$38.50,10,2.60%,$1.10,$39.60,24,6.25%,$2.64,$42.24,,,,
Annandale High,5/23/2025,30109,Smartfood RF White Cheddar Popcorn(Each),10,0,10,10,5,0,5,$1.85,0,0.00%,$0.00,$1.85,5,50.00%,$1.85,$3.70,,,,
Annandale High,5/23/2025,30110,Doritos Flamas(Each),10,0,10,10,9,0,9,$3.33,0,0.00%,$0.00,$3.33,1,10.00%,$0.37,$3.70,,,,
Annandale High,5/23/2025,30111,Doritos RF Spicy Sweet Chili(Each),10,0,10,10,8,0,8,$2.96,0,0.00%,$0.00,$2.96,2,20.00%,$0.74,$3.70,,,,
Annandale High,5/23/2025,30112,Doritos RF Nacho Cheese(Each),10,0,10,10,6,0,6,$2.22,0,0.00%,$0.00,$2.22,4,40.00%,$1.48,$3.70,,,,
Annandale High,5/23/2025,30113,Cool Ranch Reduced Fat Doritos(Each),10,0,10,10,5,0,5,$1.85,0,0.00%,$0.00,$1.85,5,50.00%,$1.85,$3.70,,,,
Annandale High,5/23/2025,30114,SS Baked Cheetos Flaming Hot(Each),10,0,10,10,6,0,6,$3.18,0,0.00%,$0.00,$3.18,4,40.00%,$2.12,$5.30,,,,
Annandale High,5/23/2025,30115,SS Baked Cheetos Flaming Limon(Each),10,0,10,10,6,0,6,$2.34,0,0.00%,$0.00,$2.34,4,40.00%,$1.56,$3.90,,,,
Annandale High,5/23/2025,30116,SS Cheetos Fantastix Flaming Hot(Each),10,0,10,10,5,0,5,$1.95,0,0.00%,$0.00,$1.95,5,50.00%,$1.95,$3.90,,,,
Annandale High,5/23/2025,30117,WG Baked Funyuns(Each),10,0,10,10,3,0,3,$1.08,0,0.00%,$0.00,$1.08,7,70.00%,$2.52,$3.60,,,,
Annandale High,5/23/2025,30118,Kettle Cooked Smoky BBQ Chips(Each),10,0,10,10,9,0,9,$5.40,0,0.00%,$0.00,$5.40,1,10.00%,$0.60,$6.00,,,,
Annandale High,5/23/2025,30119,RF Kettle Chips Jalapeno & Cheddar Chips(Each),10,0,10,10,9,0,9,$5.40,0,0.00%,$0.00,$5.40,1,10.00%,$0.60,$6.00,,,,
Annandale High,5/23/2025,30120,RF Kettle Chips Sea Salt & Vinegar Chips(Each),10,0,10,10,8,0,8,$4.80,0,0.00%,$0.00,$4.80,2,20.00%,$1.20,$6.00,,,,
Annandale High,5/23/2025,30124,"Fruit Snacks, Welch's Mixed(Each)",10,0,10,10,1,0,1,$0.40,0,0.00%,$0.00,$0.40,9,90.00%,$3.60,$4.00,,,,
Annandale High,5/23/2025,30160,Lay's RF Kettle Original Chips(Each),10,0,10,10,9,0,9,$5.40,0,0.00%,$0.00,$5.40,1,10.00%,$0.60,$6.00,,,,
