School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/30/2025,10044,Soft Pretzel (1 pretzel),20,0,20,30,26,0,26,$5.72,0,0.00%,$0.00,$5.72,4,13.33%,$0.88,$6.60
Aldrin Elementary,5/30/2025,20001,1% White Milk (Each),43,0,43,52,37,0,37,$13.32,0,0.00%,$0.00,$13.32,15,28.85%,$5.40,$18.72
Aldrin Elementary,5/30/2025,20002,Fat Free Chocolate Milk (Each),129,0,129,155,128,0,128,$44.80,0,0.00%,$0.00,$44.80,27,17.42%,$9.45,$54.25
Aldrin Elementary,5/30/2025,20011,Cherry Tomatoes (1/4 cup),65,0,65,125,121,0,121,$44.77,4,3.20%,$1.48,$46.25,0,0.00%,$0.00,$46.25
Aldrin Elementary,5/30/2025,20016,String Cheese (Each),1,0,1,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10
Aldrin Elementary,5/30/2025,20018,Red Seedless Grapes (8 grapes per 1/4 cup),170,0,170,250,235,0,235,$61.10,0,0.00%,$0.00,$61.10,15,6.00%,$3.90,$65.00
Aldrin Elementary,5/30/2025,20028,Lettuce Blend Salad Mix (1 cup),21,0,21,27,25,0,25,$4.00,2,7.41%,$0.32,$4.32,0,0.00%,$0.00,$4.32
Aldrin Elementary,5/30/2025,20028,Lettuce Blend Salad Mix (1/2 cup),41,0,41,50,38,0,38,$3.04,0,0.00%,$0.00,$3.04,12,24.00%,$0.96,$4.00
Aldrin Elementary,5/30/2025,20031,Banana (Each),0,0,0,65,58,0,58,$12.18,0,0.00%,$0.00,$12.18,7,10.77%,$1.47,$13.65
Aldrin Elementary,5/30/2025,20038,Fat Free White Milk (Each),15,0,15,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/30/2025,20052,Assorted  4 oz Yogurt (Container),5,0,5,5,1,0,1,$0.00,0,0.00%,$0.00,$0.00,4,80.00%,$0.00,$0.00
