School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable.1,Non-Reimbursable.1,Total.1,Cost,Total.2,Percent of Offered,Cost.1,Total.3,Percent of Offered.1,Cost.2
Aldrin Elementary,5/01/2025,10041,Mini Maple Pancakes(Package),57,0,57,59,56,0,56,$21.84,0,0.00%,$0.00,$21.84,3,5.08%,$1.17,$23.01,,,,
Aldrin Elementary,5/01/2025,20001,1% White Milk(Each),33,0,33,37,34,0,34,$12.24,0,0.00%,$0.00,$12.24,3,8.11%,$1.08,$13.32,,,,
Aldrin Elementary,5/01/2025,20017,Orange(6 Slices per 1/2 cup),51,0,51,55,53,0,53,$18.02,0,0.00%,$0.00,$18.02,2,3.64%,$0.68,$18.70,,,,
Aldrin Elementary,5/01/2025,20038,Fat Free White Milk(Each),11,0,11,15,13,0,13,$4.29,0,0.00%,$0.00,$4.29,2,13.33%,$0.66,$4.95,,,,
Aldrin Elementary,5/01/2025,30003,Honey Cheerios Cereal(Each),10,0,10,10,7,0,7,$4.13,0,0.00%,$0.00,$4.13,3,30.00%,$1.77,$5.90,,,,
Aldrin Elementary,5/01/2025,30004,Blueberry Chex Cereal(Each),11,0,11,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90,,,,
Aldrin Elementary,5/01/2025,30006,Cinnamon Chex Cereal(Each),12,0,12,10,8,0,8,$4.72,0,0.00%,$0.00,$4.72,2,20.00%,$1.18,$5.90,,,,
Aldrin Elementary,5/01/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",13,0,13,10,5,0,5,$2.95,0,0.00%,$0.00,$2.95,5,50.00%,$2.95,$5.90,,,,
Aldrin Elementary,5/01/2025,30008,Apple Juice(Each),43,0,43,55,50,0,50,$8.50,0,0.00%,$0.00,$8.50,5,9.09%,$0.85,$9.35,,,,
Aldrin Elementary,5/01/2025,30009,Orange Tangerine Juice(Each),29,0,29,47,40,0,40,$6.80,0,0.00%,$0.00,$6.80,7,14.89%,$1.19,$7.99,,,,
