Item Name,Leftover Rate (%),Total Left Over,Total Offered
Fat Free Chocolate Milk (Each),98.83,7371.0,7458
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",60.26,47.0,78
Fat Free White Milk (Each),53.49,57676.0,107835
Cherry Flavored Dried Cranberries (Each),53.12,68.0,128
Fat Free Unflavored Shelf-Stable Milk (Each),52.7,1532.0,2907
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",51.28,1717.0,3348
Orange Flavored Dried Cranberries (Each),50.0,63.0,126
Watermelon Flavored Dried Cranberries (2 Eaches),48.05,332.0,691
Assorted Cereal (Cereal Cup),47.13,41.0,87
"Patty, Chicken, Breaded, WG (2 strips)",46.88,15.0,32
"Frozen, Blueberries (1/2 cup)",42.86,24.0,56
"Cheese, American, Sliced (3 slices)",41.83,64.0,153
Granola (1/4 cup),40.52,419.0,1034
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",40.43,19.0,47
Roasted Sunflower Seeds (Package),40.29,137.0,340
Vegan Burger (Sandwich),40.0,2.0,5
Peach Yogurt (Container),40.0,18.0,45
Cherry Vanilla Yogurt (Container),38.51,62.0,161
Soft Pretzel (1 pretzel),38.46,20.0,52
Strawberry & Banana Yogurt Power Pack (Power Packs),38.1,16.0,42
Cherry Flavored Dried Cranberries (2 Eaches),35.29,270.0,765
Apple Berry Smoothie (8oz portion),34.48,10.0,29
"Nutri-Grain, Blueberry (each)",33.96,18.0,53
1% White Milk (Each),33.19,94262.0,284009
"Nutri-Grain, Apple Cinnamon (each)",32.84,22.0,67
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),32.58,301.0,924
1% Unflavored Shelf-Stable Milk (Each),32.39,1690.0,5217
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",32.34,489.0,1512
Strawberry Flavored Dried Cranberries (2 Eaches),32.08,717.0,2235
Peach Yogurt Power Pack (Power Packs),31.96,31.0,97
Natural Grape Jam (Packet),31.57,11350.0,35949
Blueberry Parfait (Parfait),28.75,138.0,480
Bottled Water (Bottle),28.6,1028.0,3595
Strawberry Parfait Power Pack (Power Pack),27.27,6.0,22
Assorted Craisins (Packet),27.27,637.0,2336
Graham Crackers (Package),27.12,470.0,1733
Orange Flavored Dried Cranberries (2 Eaches),27.07,157.0,580
Red Delicious Apple (Each - serving),26.77,25489.0,95227
Assorted  4 oz Yogurt (Container),26.74,50.0,187
Orange (6 Slices per 1/2 cup),26.39,6683.0,25320
Blueberry Chex Cereal (Each),26.06,18040.0,69224
Orange (Each - serving),25.65,424.0,1653
"Nutri-Grain, Strawberry (each)",25.49,13.0,51
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",25.2,63.0,250
Natural Breakfast Syrup (Each),25.03,10938.0,43699
Cinnamon Chex Cereal (Each),24.8,19690.0,79385
Ketchup Packet (Packet),24.54,40.0,163
"Bar, Lemon Blueberry (Each)",24.32,36.0,148
Peach Parfait (Parfait),24.25,209.0,862
Golden Delicious Apple (Each),23.26,1416.0,6088
Mandarin Orange Parfait (Parfait),22.1,5273.0,23863
Raspberry Lemonade Flavored Dried Cranberries (Each),22.08,17.0,77
Orange Tangerine Juice (Each),21.98,63991.0,291189
Strawberry Flavored Dried Cranberries (Each),21.74,207.0,952
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",21.03,17065.0,81149
Strawberry Parfait (Parfait),20.85,3569.0,17118
Honey Cheerios Cereal (Each),20.16,17952.0,89061
"Lactose Free, White Milk (Each)",19.29,370.0,1918
Banana Bread (Each),19.21,29.0,151
String Cheese (1 Stick),18.84,10531.0,55894
"Parfait, Triple Berry (Parfait)",18.25,1618.0,8865
Gala Apple (Each),17.45,97.0,556
"Bread, English Muffin, WG (Each)",17.16,75.0,437
Blueberry Bread (2oz Grain (1/32 Baked Pan)),17.05,59.0,346
Natural Blackberry Jam (Packet),16.57,179.0,1080
Cinnamon Waffle (each),16.47,14.0,85
Watermelon Flavored Dried Cranberries (Each),16.18,11.0,68
Egg and American Cheese on English Muffin (Sandwich),15.63,646.0,4133
"Apple Slices (3 slices, 1/4 cup)",15.5,129.0,832
"Bread, Loco (1/2 piece)",15.15,10.0,66
Triple Berry Parfait Power Pack (Power Pack),15.0,72.0,480
Red Seedless Grapes (16 grapes per 1/2 cup),14.88,32.0,215
Banana (Each),14.37,7782.0,54173
Mini Maple Waffles (Package),14.21,352.0,2477
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),14.12,2686.0,19023
Strawberry Smoothie (8oz portion),13.81,46.0,333
Apple Cinnamon Bread (Grain for entree) (1 square),13.56,428.0,3156
