Item Name,Net Consumption,Total Served,Total Discarded
Apple Juice (Each),422247.16,422347,99.84
Orange Tangerine Juice (Each),227001.49,227110,108.51
Mini Maple Pancakes (Package),195252.97,196086,833.03
1% White Milk (Each),188965.25,189429,463.75
Bagel (Bagel),91235.15,92610,1374.85
Cream Cheese (Each),70882.48,70942,59.52
Honey Cheerios Cereal (Each),70799.31,71032,232.69
Red Delicious Apple (Each - serving),69423.46,69694,270.54
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",63588.42,63964,375.58
Cinnamon Chex Cereal (Each),59150.37,59553,402.63
Blueberry Chex Cereal (Each),50500.01,51060,559.99
Fat Free White Milk (Each),49751.78,50110,358.22
Banana (Each),45978.66,46285,306.34
String Cheese (1 Stick),44914.39,45260,345.61
Natural Breakfast Syrup (Each),32752.05,32756,3.9499999999999997
Natural Grape Jam (Packet),24284.86,24546,261.14
Orange (6 Slices per 1/2 cup),18498.79,18603,104.21000000000001
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",17683.24,18625,941.76
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),15088.43,16026,937.5699999999999
Chicken & Biscuit Sandwich (Sandwich),13598.36,15987,2388.64
Chilled Peaches (1/2 cup (drained)),11842.94,11999,156.06
Egg and American Cheese on Bagel (Sandwich),11815.84,14240,2424.16
Blueberry Bread (1 square),10208.24,11103,894.76
Turkey Sausage Breakfast Biscuit (Sandwich),10090.3,13661,3570.7
Orange Slices (3 slices per 1/4 cup),9703.57,9751,47.43
Strawberry Parfait (Parfait),8913.33,13252,4338.67
Mandarin Orange Parfait (Parfait),8741.41,18105,9363.59
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",7992.8099999999995,8596,603.19
Blueberry Muffin Top (Muffin Top),7667.11,8153,485.89
Applesauce (1/2 Cup),7020.52,7051,30.48
Blueberry Bread (1oz Grain (1/64 Baked Pan)),6353.7,6902,548.3
Golden Delicious Apple (Each),4645.06,4662,16.94
"Parfait, Triple Berry (Parfait)",4576.4400000000005,7054,2477.56
Chilled Mandarin Oranges (1/2 cup (drained)),4137.0,4137,0.0
Egg and American Cheese on Biscuit (Sandwich),3888.4500000000007,12278,8389.55
Chilled Pineapple (1/2 cup),3585.99,3611,25.009999999999998
1% Unflavored Shelf-Stable Milk (Each),3514.0,3524,10.0
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),3036.0,3087,51.0
Apple Slices (3 slices per 1/4 cup),2893.44,2899,5.56
Bottled Water (Bottle),2531.67,2565,33.33
Apple Cinnamon Bread (Grain for entree) (1 square),2427.32,2672,244.68
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",2398.04,2442,43.96
Mini Maple Waffles (Package),2125.0,2125,0.0
IW Applesauce Cup (Each),2107.71,2126,18.29
Assorted Craisins (Packet),1699.0,1699,0.0
"Apple, Slices, IW - ER Supper Only (Each)",1631.0,1635,4.0
Whole Strawberries (1/2 cup thawed),1524.94,1533,8.06
Strawberry Flavored Dried Cranberries (2 Eaches),1518.0,1518,0.0
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1517.07,1616,98.93
Egg and American Cheese on English Muffin (Sandwich),1513.78,3262,1748.22
Fat Free Unflavored Shelf-Stable Milk (Each),1375.0,1375,0.0
"Lactose Free, White Milk (Each)",1256.22,1534,277.78
Graham Crackers (Package),1241.0,1261,20.0
Orange (Each - serving),1229.0,1229,0.0
Orange (1/4 cup),1092.0,1092,0.0
Chicken Tenders (3 tenders),1088.29,1099,10.71
Orange Slices (6 Slices per 1/2 cup),1058.37,1066,7.63
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1023.0,1023,0.0
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",978.63,1095,116.37
Natural Blackberry Jam (Packet),901.0,901,0.0
Biscuit (Biscuit),757.9099999999999,3956,3198.09
Strawberry Flavored Dried Cranberries (Each),745.0,745,0.0
"Apple Slices (3 slices, 1/4 cup)",703.0,703,0.0
Peach Parfait (Parfait),638.37,651,12.629999999999999
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),623.0,623,0.0
Pumpkin Bread (1 square),555.19,567,11.809999999999999
Granola (1/4 cup),537.0,612,75.0
Cherry Flavored Dried Cranberries (2 Eaches),495.0,495,0.0
Gala Apple (Each),459.0,459,0.0
Orange Flavored Dried Cranberries (2 Eaches),423.0,423,0.0
Watermelon Flavored Dried Cranberries (2 Eaches),359.0,359,0.0
Maple Belgian Waffle (Waffle),346.84000000000003,437,90.16
Chilled Peaches (1/2 cup),308.0,308,0.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",304.0,304,0.0
"Sandwich, Turkey & Cheese (sandwich)",302.33,369,66.67
Chicken Tenders Sub (Sandwich),270.43,352,81.57000000000001
Whole Wheat Dinner Roll (2 rolls),268.75,275,6.25
"Bread, English Muffin, WG (Each)",267.67,356,88.33
Blueberry Bread (2oz Grain (1/32 Baked Pan)),267.57,284,16.43
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",225.0,225,0.0
Roasted Sunflower Seeds (Package),203.0,203,0.0
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",194.0,229,35.0
Whole Wheat Dinner Roll (Each),193.0,198,5.0
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",187.0,187,0.0
Red Seedless Grapes (16 grapes per 1/2 cup),183.0,183,0.0
Strawberry Smoothie (8oz portion),182.16,278,95.84
Hot Turkey & Cheese (sandwich),152.0,152,0.0
Assorted  4 oz Yogurt (Container),137.0,137,0.0
Apple Slices (6 Slices per 1/2 cup),126.0,126,0.0
Ketchup Packet (Packet),123.0,123,0.0
"Bread, Hamburger Bun (Bun)",121.0,121,0.0
Banana Bread (Each),120.22,121,0.78
"Milk, Soy, Vanilla (24/8 oz) (each)",106.0,106,0.0
"Bar, Lemon Blueberry (Each)",106.0,111,5.0
Cherry Vanilla Yogurt (Container),99.0,99,0.0
"Apple Slices (6 Slices, 1/2 cup)",96.0,96,0.0
Pineapple Parfait (Parfait),93.0,93,0.0
Strawberry Banana Yogurt (each),89.0,89,0.0
"Cheese, American, Sliced (3 slices)",89.0,89,0.0
Fat Free Chocolate Milk (Each),87.0,87,0.0
