school_name,name,total_offered,total_left_over,net_consumption_rate
Aldrin Elementary,Cheeseburger (Sandwich),16,0,100.0
Aldrin Elementary,Blueberry Bread (1 square),118,4,96.61016949152543
Aldrin Elementary,Egg and American Cheese on Biscuit (Sandwich),87,4,95.40229885057471
Aldrin Elementary,String Cheese (1 Stick),283,16,94.34628975265018
Aldrin Elementary,Banana (Each),339,20,94.10029498525073
Aldrin Elementary,Bagel (Bagel),65,4,93.84615384615384
Aldrin Elementary,Cream Cheese (Each),65,4,93.84615384615384
Aldrin Elementary,Orange (6 Slices per 1/2 cup),580,38,93.44827586206897
Aldrin Elementary,Natural Grape Jam (Packet),120,8,93.33333333333333
Aldrin Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",147,10,93.19727891156462
Aldrin Elementary,Mini Maple Pancakes (Package),612,43,92.97385620915033
Aldrin Elementary,Red Delicious Apple (Each - serving),375,29,92.26666666666667
Aldrin Elementary,Biscuit (Biscuit),109,9,91.74311926605505
Aldrin Elementary,Orange Slices (6 Slices per 1/2 cup),22,2,90.9090909090909
Aldrin Elementary,Apple Juice (Each),1304,128,90.1840490797546
Aldrin Elementary,Blueberry Bread (1oz Grain (1/64 Baked Pan)),19,2,89.47368421052632
Aldrin Elementary,Chicken & Biscuit Sandwich (Sandwich),84,9,89.28571428571429
Aldrin Elementary,Applesauce (1/2 Cup),37,4,89.1891891891892
Aldrin Elementary,Orange Slices (3 slices per 1/4 cup),36,4,88.88888888888889
Aldrin Elementary,Blueberry Muffin Top (Muffin Top),25,3,88.0
Aldrin Elementary,1% White Milk (Each),860,116,86.51162790697674
Aldrin Elementary,Chilled Peaches (1/2 cup (drained)),59,9,84.7457627118644
Aldrin Elementary,Chilled Pineapple (1/2 cup),72,12,83.33333333333334
Aldrin Elementary,Orange Tangerine Juice (Each),791,137,82.68015170670037
Aldrin Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),35,7,80.0
Aldrin Elementary,Fat Free White Milk (Each),321,68,78.81619937694704
Aldrin Elementary,Cinnamon Chex Cereal (Each),270,68,74.81481481481481
Aldrin Elementary,Pumpkin Bread (1 square),27,7,74.07407407407408
Aldrin Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",270,76,71.85185185185186
Aldrin Elementary,Honey Cheerios Cereal (Each),296,85,71.28378378378379
Aldrin Elementary,Egg and American Cheese on Bagel (Sandwich),3,1,66.66666666666666
Aldrin Elementary,Blueberry Chex Cereal (Each),301,116,61.461794019933556
Aldrin Elementary,Vegan Burger (Sandwich),5,2,60.0
Aldrin Elementary,Strawberry Parfait (Parfait),41,19,53.65853658536586
Aldrin Elementary,Assorted Cereal (Cereal Cup),87,41,52.87356321839081
Aldrin Elementary,Mandarin Orange Parfait (Parfait),33,18,45.45454545454545
Annandale High,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),147,0,100.0
Annandale High,Egg and American Cheese on English Muffin (Sandwich),290,5,98.27586206896551
Annandale High,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",1314,51,96.11872146118722
Annandale High,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",1236,63,94.90291262135922
Annandale High,Mandarin Orange Parfait (Parfait),1020,67,93.43137254901961
Annandale High,Egg and American Cheese on Bagel (Sandwich),1077,73,93.22191272051997
Annandale High,Strawberry Parfait (Parfait),1011,72,92.87833827893175
Annandale High,Cinnamon Chex Cereal (Each),1070,99,90.74766355140187
Annandale High,Blueberry Chex Cereal (Each),1360,127,90.66176470588235
Annandale High,Apple Juice (Each),17661,1723,90.24404054130571
Annandale High,"Parfait, Triple Berry (Parfait)",109,14,87.1559633027523
Annandale High,Natural Breakfast Syrup (Each),700,90,87.14285714285714
Annandale High,Bagel (Bagel),6977,943,86.48416224738426
Annandale High,Honey Cheerios Cereal (Each),1572,218,86.1323155216285
Annandale High,Cream Cheese (Each),6577,917,86.05747301201156
Annandale High,1% White Milk (Each),1892,266,85.94080338266384
Annandale High,Mini Maple Pancakes (Package),6868,967,85.92020966802562
Annandale High,Orange Tangerine Juice (Each),4806,791,83.54140657511444
Annandale High,Banana (Each),830,161,80.60240963855422
Annandale High,Gala Apple (Each),170,35,79.41176470588235
Annandale High,Natural Grape Jam (Packet),1000,207,79.3
Annandale High,Orange (6 Slices per 1/2 cup),1355,327,75.86715867158672
Annandale High,Golden Delicious Apple (Each),1316,331,74.84802431610942
Annandale High,Fat Free White Milk (Each),2026,548,72.95162882527147
Annandale High,Red Delicious Apple (Each - serving),2601,919,64.66743560169166
Annandale Terrace Elementary,Applesauce (1/2 Cup),172,0,100.0
Annandale Terrace Elementary,Chilled Mandarin Oranges (1/2 cup (drained)),179,0,100.0
Annandale Terrace Elementary,Chilled Peaches (1/2 cup (drained)),61,0,100.0
Annandale Terrace Elementary,Chilled Pineapple (1/2 cup),20,0,100.0
Annandale Terrace Elementary,Cream Cheese (Each),151,0,100.0
Annandale Terrace Elementary,Egg and American Cheese on Bagel (Sandwich),31,0,100.0
Annandale Terrace Elementary,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",60,0,100.0
Annandale Terrace Elementary,IW Applesauce Cup (Each),56,0,100.0
Annandale Terrace Elementary,"Lactose Free, White Milk (Each)",62,0,100.0
Annandale Terrace Elementary,"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",21,0,100.0
Annandale Terrace Elementary,Orange Slices (3 slices per 1/4 cup),233,0,100.0
Annandale Terrace Elementary,Whole Strawberries (1/2 cup thawed),222,0,100.0
Annandale Terrace Elementary,Egg and American Cheese on Biscuit (Sandwich),119,1,99.15966386554622
Annandale Terrace Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",677,8,98.81831610044313
Annandale Terrace Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",149,2,98.65771812080537
Annandale Terrace Elementary,Blueberry Muffin Top (Muffin Top),242,4,98.34710743801654
Annandale Terrace Elementary,String Cheese (1 Stick),1564,26,98.33759590792839
Annandale Terrace Elementary,Blueberry Bread (1 square),645,14,97.82945736434108
Annandale Terrace Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),78,2,97.43589743589743
Annandale Terrace Elementary,Strawberry Parfait (Parfait),115,3,97.3913043478261
Annandale Terrace Elementary,Chicken & Biscuit Sandwich (Sandwich),210,7,96.66666666666667
Annandale Terrace Elementary,Orange (6 Slices per 1/2 cup),297,10,96.63299663299664
Annandale Terrace Elementary,Banana (Each),1300,47,96.38461538461539
Annandale Terrace Elementary,Apple Juice (Each),3957,144,96.36087945413192
Annandale Terrace Elementary,Cinnamon Chex Cereal (Each),594,22,96.29629629629629
Annandale Terrace Elementary,Mandarin Orange Parfait (Parfait),216,8,96.29629629629629
Annandale Terrace Elementary,Blueberry Chex Cereal (Each),944,39,95.86864406779661
Annandale Terrace Elementary,Honey Cheerios Cereal (Each),822,37,95.49878345498783
Annandale Terrace Elementary,Orange Tangerine Juice (Each),3905,252,93.54673495518566
Annandale Terrace Elementary,Mini Maple Pancakes (Package),3042,199,93.45825115055885
Annandale Terrace Elementary,Bagel (Bagel),515,34,93.39805825242719
Annandale Terrace Elementary,1% White Milk (Each),2579,189,92.67157813105855
Annandale Terrace Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",547,41,92.50457038391224
Annandale Terrace Elementary,Red Delicious Apple (Each - serving),773,95,87.71021992238033
Annandale Terrace Elementary,Fat Free White Milk (Each),682,126,81.52492668621701
Annandale Terrace Elementary,Natural Grape Jam (Packet),153,53,65.359477124183
Annandale Terrace Elementary,Biscuit (Biscuit),14,9,35.714285714285715
Armstrong Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",96,0,100.0
Armstrong Elementary,Biscuit (Biscuit),4,0,100.0
Armstrong Elementary,Blueberry Bread (1oz Grain (1/64 Baked Pan)),68,0,100.0
Armstrong Elementary,Chicken & Biscuit Sandwich (Sandwich),111,0,100.0
Armstrong Elementary,Egg and American Cheese on Biscuit (Sandwich),60,0,100.0
Armstrong Elementary,Graham Crackers (Package),10,0,100.0
Armstrong Elementary,"Parfait, Triple Berry (Parfait)",11,0,100.0
Armstrong Elementary,Pumpkin Bread (1 square),14,0,100.0
Armstrong Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),44,0,100.0
Armstrong Elementary,String Cheese (1 Stick),178,4,97.75280898876404
Armstrong Elementary,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),31,2,93.54838709677419
Armstrong Elementary,Natural Breakfast Syrup (Each),245,16,93.46938775510203
Armstrong Elementary,Bagel (Bagel),135,9,93.33333333333333
Armstrong Elementary,Mini Maple Pancakes (Package),382,29,92.40837696335078
Armstrong Elementary,Strawberry Parfait (Parfait),36,5,86.11111111111111
Armstrong Elementary,"Apple Slices (3 slices, 1/4 cup)",28,4,85.71428571428571
Armstrong Elementary,Apple Juice (Each),831,138,83.39350180505414
Armstrong Elementary,Cherry Flavored Dried Cranberries (2 Eaches),5,1,80.0
Armstrong Elementary,Orange (Each - serving),19,4,78.94736842105263
Armstrong Elementary,Golden Delicious Apple (Each),82,20,75.60975609756098
Armstrong Elementary,Red Delicious Apple (Each - serving),290,71,75.51724137931033
Armstrong Elementary,Banana (Each),89,24,73.03370786516854
Armstrong Elementary,Mandarin Orange Parfait (Parfait),41,12,70.73170731707317
Armstrong Elementary,Natural Grape Jam (Packet),116,35,69.82758620689656
Armstrong Elementary,Orange Tangerine Juice (Each),785,246,68.6624203821656
Armstrong Elementary,Blueberry Bread (1 square),15,5,66.66666666666666
Armstrong Elementary,Orange (6 Slices per 1/2 cup),40,14,65.0
Armstrong Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",154,61,60.3896103896104
Armstrong Elementary,Cinnamon Chex Cereal (Each),229,98,57.20524017467249
Armstrong Elementary,Cream Cheese (Each),70,30,57.14285714285714
Armstrong Elementary,1% Unflavored Shelf-Stable Milk (Each),127,56,55.90551181102362
Armstrong Elementary,Honey Cheerios Cereal (Each),212,100,52.83018867924528
Armstrong Elementary,1% White Milk (Each),728,380,47.8021978021978
Armstrong Elementary,Fat Free White Milk (Each),715,381,46.71328671328671
Armstrong Elementary,Blueberry Chex Cereal (Each),168,92,45.23809523809524
Baileys Lower Elementary,1% Unflavored Shelf-Stable Milk (Each),30,0,100.0
Baileys Lower Elementary,Applesauce (1/2 Cup),347,0,100.0
Baileys Lower Elementary,Biscuit (Biscuit),11,0,100.0
Baileys Lower Elementary,"Bread, English Muffin, WG (Each)",20,0,100.0
Baileys Lower Elementary,Chilled Peaches (1/2 cup (drained)),681,0,100.0
Baileys Lower Elementary,Chilled Pineapple (1/2 cup),115,0,100.0
Baileys Lower Elementary,Egg and American Cheese on Bagel (Sandwich),230,0,100.0
Baileys Lower Elementary,Egg and American Cheese on Biscuit (Sandwich),242,0,100.0
Baileys Lower Elementary,"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",236,0,100.0
Baileys Lower Elementary,IW Applesauce Cup (Each),116,0,100.0
Baileys Lower Elementary,"Lactose Free, White Milk (Each)",139,0,100.0
Baileys Lower Elementary,Orange Slices (3 slices per 1/4 cup),450,0,100.0
Baileys Lower Elementary,"Parfait, Triple Berry (Parfait)",283,0,100.0
Baileys Lower Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",318,0,100.0
Baileys Lower Elementary,Peach Parfait (Parfait),111,6,94.5945945945946
Baileys Lower Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),682,38,94.42815249266863
Baileys Lower Elementary,Mandarin Orange Parfait (Parfait),602,36,94.01993355481729
Baileys Lower Elementary,Mini Maple Pancakes (Package),2950,188,93.62711864406779
Baileys Lower Elementary,Banana (Each),991,74,92.53279515640767
Baileys Lower Elementary,Bagel (Bagel),1679,170,89.87492555092317
Baileys Lower Elementary,Strawberry Parfait (Parfait),133,14,89.47368421052632
Baileys Lower Elementary,Blueberry Chex Cereal (Each),1161,135,88.37209302325581
Baileys Lower Elementary,Honey Cheerios Cereal (Each),1722,229,86.70150987224157
Baileys Lower Elementary,Cream Cheese (Each),1383,198,85.68329718004338
Baileys Lower Elementary,Natural Grape Jam (Packet),1240,258,79.19354838709678
Baileys Lower Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",884,188,78.73303167420815
Baileys Lower Elementary,Cinnamon Chex Cereal (Each),315,71,77.46031746031747
Baileys Lower Elementary,1% White Milk (Each),6729,1651,75.46440778718978
Baileys Lower Elementary,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),256,70,72.65625
Baileys Lower Elementary,Assorted Craisins (Packet),210,59,71.9047619047619
Baileys Lower Elementary,Orange Tangerine Juice (Each),4665,1418,69.60342979635584
Baileys Lower Elementary,String Cheese (1 Stick),250,80,68.0
Baileys Lower Elementary,Apple Juice (Each),5060,1651,67.37154150197628
Baileys Lower Elementary,Golden Delicious Apple (Each),195,65,66.66666666666666
Baileys Lower Elementary,Strawberry Flavored Dried Cranberries (2 Eaches),50,18,64.0
Baileys Lower Elementary,Orange (6 Slices per 1/2 cup),40,15,62.5
Baileys Lower Elementary,Red Delicious Apple (Each - serving),3255,1333,59.04761904761905
Baileys Lower Elementary,Fat Free White Milk (Each),935,474,49.3048128342246
Baileys Upper Elementary,1% Unflavored Shelf-Stable Milk (Each),15,0,100.0
Baileys Upper Elementary,"Apple, Slices, IW - ER Supper Only (Each)",83,0,100.0
Baileys Upper Elementary,Banana (Each),24,0,100.0
Baileys Upper Elementary,Chicken Tenders (3 tenders),40,0,100.0
Baileys Upper Elementary,Egg and American Cheese on Bagel (Sandwich),158,0,100.0
Baileys Upper Elementary,Egg and American Cheese on English Muffin (Sandwich),32,0,100.0
Baileys Upper Elementary,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",9,0,100.0
Baileys Upper Elementary,Turkey & Cheese on Biscuit (Sandwich),83,0,100.0
