Food_Name,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Mini Maple Pancakes (Package),200,6,1,5,210,36,4,12,11,4,1000,0,0,40,4,0,Main Hot Entree #1,Main,Breakfast
1% White Milk (Each),110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
Orange (6 Slices per 1/2 cup),82,0,0,0,2,20,6,0,0,2,330,94,0,92,2,258,Sides,Fruit,Lunch
Fat Free White Milk (Each),90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
Honey Cheerios Cereal (Each),210,3,1,0,340,44,5,12,12,6,750,9,3,150,5,282,Daily Cereal,Main,Breakfast
Blueberry Chex Cereal (Each),240,5,1,0,350,46,1,12,12,3,500,6,2,100,16,0,Daily Cereal,Main,Breakfast
Cinnamon Chex Cereal (Each),230,5,1,0,320,46,3,12,12,3,500,6,2,100,14,0,Daily Cereal,Main,Breakfast
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",210,5,1,0,320,44,7,11,11,3,500,6,2,100,5,94,Daily Cereal,Main,Breakfast
Apple Juice (Each),60,0,0,0,5,14,0,13,0,0,0,0,0,10,0,130,Sides,Fruit Juice,Breakfast
Orange Tangerine Juice (Each),60,0,0,0,10,15,0,13,0,0,0,0,0,19,0,200,Sides,Fruit Juice,Breakfast
Chilled Peaches (1/2 cup (drained)),82,0,0,0,6,20,0,16,2,0,0,0,0,18,0,230,Sides,Fruit,Lunch
Assorted Cereal (Cereal Cup),223,5,1,0,333,45,4,12,12,4,562,7,2,112,10,94,PreSchool,Grain,Breakfast
Strawberry Parfait (Parfait),334,2,1,5,120,78,6,0,0,8,1175,30,0,260,2,0,Daily Yogurt Entree,Main,Breakfast
Egg and American Cheese on Biscuit (Sandwich),330,16,8,160,960,33,1,2,0,11,300,60,0,80,1,0,Main Hot Entree #1,Main,Breakfast
Blueberry Bread (1oz Grain (1/64 Baked Pan)),270,9,0,0,190,43,2,0,0,6,0,0,0,0,0,0,PreSchool,Main,Breakfast
Blueberry Muffin Top (Muffin Top),200,10,4,30,140,26,1,13,0,3,0,0,0,0,1,0,Main Hot Entree #1,Main,Breakfast
String Cheese (1 Stick),80,6,4,20,200,2,0,1,0,6,0,0,0,198,0,55,Main Hot Entree #1,Protein,Breakfast
Banana (Each),112,0,0,0,1,29,3,15,0,1,81,11,0,6,0,451,Sides,Fruit,Breakfast
Mandarin Orange Parfait (Parfait),250,2,0,3,63,55,3,36,15,7,1696,68,3,308,1,478,Daily Yogurt Entree,Main,Breakfast
Chilled Pineapple (1/2 cup),108,0,0,0,2,28,2,26,0,1,90,17,0,29,1,223,Sides,Fruit,Breakfast
Red Delicious Apple (Each - serving),64,0,0,0,1,17,3,0,0,0,66,6,0,7,0,0,Sides,Fruit,Breakfast
Orange Slices (3 slices per 1/4 cup),42,0,0,0,1,10,3,0,0,1,165,47,0,46,1,129,Sides,Fruit,Breakfast
Applesauce (1/2 Cup),50,0,0,0,0,14,2,12,0,0,0,10,0,0,0,0,Sides,Fruit,Lunch
Natural Grape Jam (Packet),35,0,0,0,0,9,0,9,8,0,0,0,0,0,0,0,Main Hot Entree #1,Condiment,Breakfast
Turkey Sausage Breakfast Biscuit (Sandwich),297,16,7,37,488,28,2,3,2,12,7,0,0,120,2,360,Main Hot Entree #1,Main,Breakfast
Biscuit (Biscuit),210,9,5,0,290,28,2,3,2,5,0,0,0,120,2,360,Main Hot Entree #1,Main,Breakfast
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",194,7,1,17,105,31,2,16,15,3,0,0,0,52,1,89,Plant-Forward Hot Entree,Grain,Breakfast
Pumpkin Bread (1 square),194,7,1,17,105,31,2,16,15,3,0,0,0,52,1,89,Plant-Forward Hot Entree,Grain,Breakfast
Chicken & Biscuit Sandwich (Sandwich),285,12,5,20,420,34,3,3,2,11,18,0,0,123,2,360,Main Hot Entree #1,Main,Breakfast
Blueberry Bread (1 square),218,9,1,20,113,34,2,17,0,3,0,0,0,59,1,74,Main Hot Entree #1,Grain,Lunch
Bagel (Bagel),170,1,0,0,300,35,1,3,0,6,0,0,0,30,2,10,Main Hot Entree #1,Main,Breakfast
Cream Cheese (Each),70,6,4,20,100,2,0,2,1,1,0,0,0,32,0,0,Main Hot Entree #1,Condiment,Breakfast
Orange Slices (6 Slices per 1/2 cup),83,0,0,0,3,20,6,0,0,2,328,93,0,92,1,257,Sides,Fruit,Breakfast
Vegan Burger (Sandwich),270,7,0,0,668,35,10,4,3,20,0,0,7,180,3,598,Main Hot Entree #1,Main,Lunch
Cheeseburger (Sandwich),335,15,6,52,620,30,4,4,3,21,0,0,7,197,2,170,Main Hot Entree #1,Main,Lunch
Egg and American Cheese on Bagel (Sandwich),226,7,2,9,521,28,3,3,2,10,0,0,1,181,1,162,Main Hot Entree #1,Main,Breakfast
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),206,8,1,19,110,33,2,18,17,3,0,0,0,74,1,71,Main Hot Entree #1,Main,Breakfast
Golden Delicious Apple (Each),88,0,0,0,2,23,4,18,0,0,91,8,0,10,0,181,Sides,Fruit,Breakfast
Natural Breakfast Syrup (Each),80,0,0,0,15,21,0,21,21,0,0,0,0,0,0,0,Main Hot Entree #1,Condiment,Breakfast
Gala Apple (Each),90,0,0,0,2,24,4,0,0,0,93,8,0,10,0,0,Sides,Fruit,Lunch
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",217,8,2,37,398,25,3,2,2,11,7,0,0,83,2,75,Main Hot Entree #1,Main,Breakfast
"Parfait, Triple Berry (Parfait)",216,2,0,3,53,46,4,26,15,6,0,13,3,296,1,303,Daily Yogurt Entree,Main,Breakfast
Egg and American Cheese on English Muffin (Sandwich),216,8,2,9,591,24,1,2,0,12,0,0,1,188,1,177,Main Hot Entree #1,Main,Breakfast
"Lactose Free, White Milk (Each)",90,0,0,5,130,13,0,12,0,9,155,0,2,312,0,331,Sides,Milk,Lunch
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",140,6,1,0,130,13,1,9,5,10,150,0,3,340,3,510,Sides,Milk,Breakfast
Whole Strawberries (1/2 cup thawed),30,0,0,0,0,7,1,4,0,0,0,31,0,10,0,110,Sides,Fruit,Breakfast
Chilled Mandarin Oranges (1/2 cup (drained)),74,0,0,0,10,19,1,18,0,1,1696,68,0,22,1,265,Sides,Fruit,Lunch
IW Applesauce Cup (Each),50,0,0,0,0,14,1,12,0,0,0,0,0,5,0,95,PreK,Fruit,Breakfast
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",40,0,0,0,0,10,2,7,0,1,0,13,0,10,0,90,Sides,Fruit,Breakfast
1% Unflavored Shelf-Stable Milk (Each),110,3,2,10,105,12,0,12,0,8,150,0,3,300,0,320,Sides,Milk,Breakfast
Orange (Each - serving),84,0,0,0,3,21,6,0,0,2,333,95,0,93,1,261,Sides,Fruit,Lunch
Graham Crackers (Package),90,3,0,0,90,17,1,5,5,1,0,0,0,10,1,40,Sides,Grain,Lunch
Cherry Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,42,4,0,0,0,0,0,0,Sides,Fruit,Lunch
"Apple Slices (3 slices, 1/4 cup)",17,0,0,0,0,4,1,3,0,0,0,27,0,15,0,0,Sides,Fruit,Lunch
Assorted Craisins (Packet),110,0,0,0,0,27,2,24,14,0,0,0,0,0,0,0,Sides,Fruit,Breakfast
Strawberry Flavored Dried Cranberries (2 Eaches),220,0,0,0,0,54,4,48,42,0,0,0,0,0,0,0,Sides,Fruit,Lunch
Peach Parfait (Parfait),258,2,0,3,60,56,3,35,16,5,0,0,3,304,1,441,Daily Yogurt Entree,Main,Breakfast
"Bread, English Muffin, WG (Each)",120,2,0,0,270,21,1,1,0,6,0,0,0,90,1,90,Main Hot Entree #1,Main,Breakfast
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",90,0,0,5,130,12,0,12,0,8,150,0,3,300,0,400,Sides,Milk,Lunch
Chicken Tenders (3 tenders),226,10,1,60,389,18,4,0,0,17,55,0,0,10,1,0,Main Hot Entree #1,Main,Lunch
"Apple, Slices, IW - ER Supper Only (Each)",30,0,0,0,0,7,1,6,0,0,0,1,0,0,0,0,Sides,Fruit,Lunch
Turkey & Cheese on Biscuit (Sandwich),272,11,6,21,655,30,2,4,2,14,0,0,0,200,2,494,Main Hot Entree #1,Main,Breakfast
Blueberry Bread (2oz Grain (1/32 Baked Pan)),540,18,0,0,380,86,4,0,0,12,0,0,0,0,0,0,Main Hot Entree #1,Grain,Lunch
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",388,14,2,34,210,62,4,32,30,6,0,0,0,104,2,178,Plant-Forward Hot Entree,Grain,Breakfast
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),412,16,2,38,220,66,4,36,34,3,0,0,0,148,2,142,Main Hot Entree #1,Main,Breakfast
"Bar, Lemon Blueberry (Each)",180,12,3,0,125,10,7,2,0,12,0,0,0,78,3,188,A La Carte,Main,Lunch
Assorted  4 oz Yogurt (Container),138,7,5,30,104,11,0,11,0,8,0,0,0,0,0,350,Daily Yogurt Entree,Protein,Lunch
Granola (1/4 cup),104,2,0,0,0,20,2,5,5,2,0,0,0,0,1,70,Daily Yogurt Entree,Grain,Lunch
Red Seedless Grapes (16 grapes per 1/2 cup),59,0,0,0,2,16,1,13,0,1,57,3,0,9,0,165,Sides,Fruit,Lunch
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",210,5,1,0,320,44,7,11,11,3,500,6,2,100,5,94,Daily Cereal,Main,Breakfast
Fat Free Unflavored Shelf-Stable Milk (Each),90,0,0,5,130,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Breakfast
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",50,0,0,0,0,14,1,12,0,0,0,0,0,5,0,95,Sides,Fruit,Breakfast
