Item Name,Leftover Rate (%),Total Left Over,Total Offered
Fat Free White Milk (Each),60.63,131265.0,216507
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",50.9,3097.0,6085
1% White Milk (Each),50.83,236130.0,464569
Fat Free Unflavored Shelf-Stable Milk (Each),48.76,1728.0,3544
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",47.14,66.0,140
String Cheese (Each),42.8,3434.0,8023
1% Unflavored Shelf-Stable Milk (Each),39.86,3870.0,9708
Assorted  4 oz Yogurt (Container),39.04,3291.0,8430
Mustard Packet (Packet),34.72,42733.0,123090
"Lactose Free, White Milk (Each)",32.91,939.0,2853
Fat Free Chocolate Milk (Each),32.55,459755.0,1412307
Steamed Broccoli (1/4 cups),32.32,106.0,328
"Cheese, Shredded, Cheddar (Cup)",31.97,125.0,391
Black Beans (2 Tablespoons),31.85,585.0,1837
Chickpeas (2 Tablespoons),31.67,1042.0,3290
Wheat Thins (Package),31.01,240.0,774
WG Baked Funyuns (Each),30.69,2274.0,7410
"Patty, Chicken, Breaded, WG (Serving)",30.24,140.0,463
"Milk, Soy, Vanilla (24/8 oz) (each)",29.75,144.0,484
Cheddar Chex Mix (Package),29.33,686.0,2339
"Peppers, red, pre-sliced (1/4 cup sliced)",28.99,1052.0,3629
Peach Yogurt Power Pack (Power Packs),28.77,9900.0,34414
Italian Dressing (1 ounce),27.52,46452.0,168785
"Peppers, Red, Whole (2 Tablespoons)",27.39,1545.0,5641
"Turkey,  Breast, Pre-Sliced, Oven Roasted (3 Slices)",27.1,1202.0,4435
SS Cheetos Fantastix Flaming Hot (Each),26.57,2477.0,9322
Sub Roll (Sub Roll),25.97,2974.0,11451
Cucumber Slices (2 Tablespoon),25.62,1684.0,6574
Corn (2 Tablespoons (thawed)),25.46,2403.0,9437
Cool Ranch Reduced Fat Doritos (Each),25.46,2115.0,8308
Strawberry & Banana Yogurt Power Pack (Power Packs),25.33,14308.0,56478
Original Flavored Dried Cranberries (Package),24.95,2549.0,10218
Doritos RF Nacho Cheese (Each),24.75,2610.0,10544
"Cucumbers (1/4 cup sliced, 3 slices)",24.73,69.0,279
Grape Tomatoes (2 Tablespoons),24.71,65.0,263
Potstickers (6 Potstickers),24.48,759.0,3101
Orange Tangerine Juice (Each),24.25,6682.0,27551
Cherry Vanilla Yogurt Power Pack (Power Packs),24.2,7676.0,31721
Celery Sticks (1/4 cup),23.98,544.0,2269
Bean Street Tacos on Flour Tortillas (2 Tacos),23.76,24.0,101
"WG 10"" Flour Tortilla (Tortilla)",23.39,3398.0,14528
"Onions, Red, Whole (2 Tablespoons (sliced))",23.22,2241.0,9650
Black Beans (1/4 Cup),23.17,7786.0,33605
