school_name,name,left_over_total,offered_reimbursable,leftover_rate
Aldrin Elementary,"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",2,2,100.0
Aldrin Elementary,Strawberry Parfait Power Pack (Power Pack),10,10,100.0
Aldrin Elementary,Assorted  4 oz Yogurt (Container),75,95,78.94736842105263
Aldrin Elementary,String Cheese (Each),70,93,75.26881720430107
Aldrin Elementary,Fat Free White Milk (Each),700,1050,66.66666666666666
Aldrin Elementary,Hot Turkey & Cheese (sandwich),12,21,57.14285714285714
Aldrin Elementary,Peach Yogurt Power Pack (Power Packs),96,225,42.66666666666667
Aldrin Elementary,Cheez-Its Crackers (Package),64,153,41.830065359477125
Aldrin Elementary,Strawberry & Banana Yogurt Power Pack (Power Packs),105,253,41.50197628458498
Aldrin Elementary,1% White Milk (Each),696,1723,40.3946604759141
Aldrin Elementary,Vegan Burger (Sandwich),4,10,40.0
Aldrin Elementary,Cherry Vanilla Yogurt Power Pack (Power Packs),99,251,39.44223107569721
Aldrin Elementary,Bottled Water (Bottle),61,183,33.33333333333333
Aldrin Elementary,"Sauce, Spicy Mayo (tbsp)",12,42,28.57142857142857
Aldrin Elementary,Mayonnaise Packet (Packet),17,60,28.333333333333332
Aldrin Elementary,Grilled Cheese Sandwich (Sandwich),13,46,28.26086956521739
Aldrin Elementary,Mustard Packet (Packet),4,15,26.666666666666668
Aldrin Elementary,"Salsa, Mild Canned (1.5 oz)",9,44,20.454545454545457
Aldrin Elementary,Cherry Flavored Dried Cranberries (Each),2,10,20.0
Aldrin Elementary,Italian Dressing (1 ounce),96,508,18.89763779527559
Aldrin Elementary,Strawberry Flavored Dried Cranberries (Each),57,314,18.152866242038215
Aldrin Elementary,Orange Tangerine Juice (Each),58,331,17.522658610271904
Aldrin Elementary,Sour Cream (2 Tablespoons),6,35,17.142857142857142
Aldrin Elementary,"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",2,12,16.666666666666664
Aldrin Elementary,Raspberry Lemonade Flavored Dried Cranberries (Each),12,72,16.666666666666664
Aldrin Elementary,Watermelon Flavored Dried Cranberries (Each),67,409,16.381418092909534
Aldrin Elementary,Fat Free Chocolate Milk (Each),516,3400,15.176470588235293
Aldrin Elementary,Smartfood RF White Cheddar Popcorn (Each),46,305,15.081967213114755
Aldrin Elementary,Ranch Dressing (1 ounce),84,565,14.867256637168142
Aldrin Elementary,Apple Juice (Each),66,490,13.46938775510204
Aldrin Elementary,Chocolate Chip Cookie (1/2 Cookie),20,149,13.422818791946309
Aldrin Elementary,Nachos with Black Beans and Cheese Sauce (Serving),2,15,13.333333333333334
Aldrin Elementary,Soft Pretzel (1 pretzel),88,679,12.960235640648014
Aldrin Elementary,Pineapple Pepper Fruit Salsa (1 TBSP),1,8,12.5
Aldrin Elementary,Beef Meatball Sub Sandwich (Sandwich),21,172,12.209302325581394
Aldrin Elementary,Cheese Quesadilla (Quesadilla),6,50,12.0
Aldrin Elementary,Corn (1/2 cup (cooked)),3,25,12.0
Aldrin Elementary,Alfredo & Basil Lasagna (Each),16,136,11.76470588235294
Aldrin Elementary,Ketchup Packet (Packet),32,280,11.428571428571429
Aldrin Elementary,Orange Slices (6 Slices per 1/2 cup),2,20,10.0
Aldrin Elementary,Potato Wedges (4 pieces),2,20,10.0
