Item Name,Net Consumption,Total Served,Total Discarded
Fat Free Chocolate Milk (Each),950870.65,951196,325.35
Lettuce Blend Salad Mix (1/2 cup),597542.96,604097,6554.04
Ketchup Packet (Packet),567957.46,567996,38.54
Apple Slices (3 slices per 1/4 cup),336407.47,336905,497.53
Ranch Dressing (1 ounce),331911.75,334381,2469.25
PB&J Power Pack (Power Packs),266356.55,266747,390.45
Orange Slices (3 slices per 1/4 cup),251513.98,252105,591.02
Chicken Tenders (3 tenders),231407.12,232043,635.88
1% White Milk (Each),225434.38,227389,1954.62
Manager's Vegetable Choice (1/4 cup),211378.5,213713,2334.5
Banana (Each),206652.92,207260,607.08
Chocolate Chip Cookie (Cookie),199140.04,199661,520.96
Orange (1/4 cup),183748.87,184307,558.13
Cheese Pizza (Slice),181585.04,183468,1882.96
Red Seedless Grapes (16 grapes per 1/2 cup),179534.32,179905,370.68
Mayonnaise Packet (Packet),171960.17,172012,51.83
Red Delicious Apple (Each - serving),171082.84,171249,166.16
Red Seedless Grapes (8 grapes per 1/4 cup),150298.97,150575,276.03
Baby Carrots (3 baby carrots per 1/4 cup),136951.37,137876,924.63
Turkey Pepperoni Pizza (Slice),119994.47,121650,1655.53
Italian Dressing (1 ounce),116474.77,120886,4411.2300000000005
Cucumber Slices (1/4 cup),111773.08,114178,2404.92
Baked Cheese Sticks (2 Cheese Sticks),110894.94,111741,846.06
Chilled Mandarin Oranges (1/2 cup (drained)),98317.89,98698,380.11
Golden Delicious Apple (Each),87798.39,87904,105.61
Spicy Breaded Chicken Patty on Bun (Sandwich),85070.09,85267,196.91
Whole Wheat Dinner Roll (2 rolls),83067.15,83479,411.85
Broccoli Florets (1/4 cup),81880.62,83277,1396.3799999999999
Bottled Water (Bottle),81233.14,81826,592.86
Fat Free White Milk (Each),80773.46,83685,2911.54
Mustard Packet (Packet),80194.89,80270,75.11
Chilled Mandarin Oranges (1/4 cup (drained)),68745.57,68976,230.43
Chocolate Chip Cookie (1/2 Cookie),67927.94,68507,579.06
Cooked  Brown Rice (1/2 cup cooked),67708.49,68317,608.51
Cherry Tomatoes (1/4 cup),67084.9,67996,911.1
