school_name,name,total_offered,total_left_over,net_consumption_rate
Aldrin Elementary,Chicken & Vegetable Dumplings (6 dumplings),76,0,100.0
Aldrin Elementary,Mandarin Orange Pepper Fruit Salsa (1 TBSP),70,0,100.0
Aldrin Elementary,Orange Sauce (ounce),76,0,100.0
Aldrin Elementary,Turkey Barbacoa Arepa (1 Arepa + #10 scoop of turkey barbacoa),40,0,100.0
Aldrin Elementary,Chilled Mandarin Oranges (1/4 cup (drained)),641,2,99.68798751950078
Aldrin Elementary,Cherry Tomatoes (1/4 cup),527,4,99.24098671726756
Aldrin Elementary,Apple Slices (3 slices per 1/4 cup),2398,27,98.87406171809842
Aldrin Elementary,Cooked  Brown Rice (1/2 cup cooked),341,4,98.82697947214076
Aldrin Elementary,Chilled Peaches (1/4 cup (drained)),626,8,98.7220447284345
Aldrin Elementary,Potato Wedges (7 pieces),140,2,98.57142857142858
Aldrin Elementary,Cheeseburger (Sandwich),126,2,98.4126984126984
Aldrin Elementary,Steamed Broccoli (1/2 cup),172,3,98.25581395348837
Aldrin Elementary,Cheese Pizza (Slice),778,14,98.20051413881748
Aldrin Elementary,Cucumber Slices (1/4 cup),333,6,98.1981981981982
Aldrin Elementary,Corn (1/4 cup (thawed)),785,16,97.96178343949045
Aldrin Elementary,Tex Mex Corn (1/2 cup),145,3,97.93103448275862
Aldrin Elementary,Orange Chicken (4 Bites w/ 1oz sauce),96,2,97.91666666666666
Aldrin Elementary,BBQ Chicken Drumstick (Drumstick),130,3,97.6923076923077
Aldrin Elementary,Asian Veggie Sub (sandwich),173,4,97.6878612716763
Aldrin Elementary,Chicken Masala Drumstick (Drumstick),213,5,97.65258215962442
Aldrin Elementary,Orange Chickenless Bites (4 bites),42,1,97.61904761904762
Aldrin Elementary,Manager's Vegetable Choice (1/4 cup),2354,58,97.53610875106202
Aldrin Elementary,Whole Wheat Dinner Roll (Each),193,5,97.40932642487047
Aldrin Elementary,Fish Tacos (2 Tacos),71,2,97.1830985915493
Aldrin Elementary,Chicken Tenders (3 tenders),342,10,97.07602339181285
Aldrin Elementary,Marinara Sauce (1/2 cup),100,3,97.0
Aldrin Elementary,Orange Slices (3 slices per 1/4 cup),1494,45,96.98795180722891
Aldrin Elementary,Broccoli Florets (1/4 cup),554,18,96.75090252707581
Aldrin Elementary,Red Seedless Grapes (8 grapes per 1/4 cup),1493,50,96.65103817816477
Aldrin Elementary,Nachos with Cheese Sauce (Serving),147,5,96.5986394557823
Aldrin Elementary,Red Seedless Grapes (16 grapes per 1/2 cup),828,29,96.49758454106279
