school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered_reimbursable,offered_non-reimbursable,offered_total,served_reimbursable,served_non-reimbursable,served_total,discarded_total,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
aldrin elementary,2025-05-01,20001,1% White Milk (Each),33,0,33,37,34,0,34,12.24,0,0.0,0.0,12.24,3.0,8.11,1.08,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-01,20038,Fat Free White Milk (Each),11,0,11,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-02,20001,1% White Milk (Each),33,0,33,40,30,0,30,10.8,0,0.0,0.0,10.8,10.0,25.0,3.6,14.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-02,20038,Fat Free White Milk (Each),11,0,11,15,11,0,11,3.63,0,0.0,0.0,3.63,4.0,26.67,1.32,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-05,20001,1% White Milk (Each),41,0,41,37,32,0,32,11.52,0,0.0,0.0,11.52,5.0,13.51,1.8,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-05,20038,Fat Free White Milk (Each),15,0,15,12,9,0,9,2.97,0,0.0,0.0,2.97,3.0,25.0,0.99,3.96,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-06,20001,1% White Milk (Each),41,0,41,40,35,0,35,12.6,0,0.0,0.0,12.6,5.0,12.5,1.8,14.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-06,20038,Fat Free White Milk (Each),15,0,15,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-07,20001,1% White Milk (Each),43,0,43,40,35,0,35,12.6,0,0.0,0.0,12.6,5.0,12.5,1.8,14.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-07,20038,Fat Free White Milk (Each),16,0,16,12,10,0,10,3.3,0,0.0,0.0,3.3,2.0,16.67,0.66,3.96,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-08,20001,1% White Milk (Each),41,0,41,50,44,0,44,15.84,0,0.0,0.0,15.84,6.0,12.0,2.16,18.0,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-08,20038,Fat Free White Milk (Each),15,0,15,15,12,0,12,3.96,0,0.0,0.0,3.96,3.0,20.0,0.99,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-09,20001,1% White Milk (Each),41,0,41,40,34,0,34,12.24,0,0.0,0.0,12.24,6.0,15.0,2.16,14.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-09,20038,Fat Free White Milk (Each),15,0,15,15,11,0,11,3.63,0,0.0,0.0,3.63,4.0,26.67,1.32,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-12,20001,1% White Milk (Each),34,0,34,37,33,0,33,11.88,0,0.0,0.0,11.88,4.0,10.81,1.44,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-12,20038,Fat Free White Milk (Each),12,0,12,15,11,0,11,3.63,0,0.0,0.0,3.63,4.0,26.67,1.32,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-13,20001,1% White Milk (Each),34,0,34,37,33,0,33,11.88,0,0.0,0.0,11.88,4.0,10.81,1.44,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-13,20038,Fat Free White Milk (Each),12,0,12,12,10,0,10,3.3,0,0.0,0.0,3.3,2.0,16.67,0.66,3.96,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-14,20001,1% White Milk (Each),36,0,36,37,34,0,34,12.24,0,0.0,0.0,12.24,3.0,8.11,1.08,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-14,20038,Fat Free White Milk (Each),13,0,13,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-15,20001,1% White Milk (Each),34,0,34,35,31,0,31,11.16,0,0.0,0.0,11.16,4.0,11.43,1.44,12.6,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-15,20038,Fat Free White Milk (Each),12,0,12,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-16,20001,1% White Milk (Each),34,0,34,42,37,0,37,13.32,0,0.0,0.0,13.32,5.0,11.9,1.8,15.12,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-16,20038,Fat Free White Milk (Each),12,0,12,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-19,20001,1% White Milk (Each),29,0,29,47,43,0,43,15.48,0,0.0,0.0,15.48,4.0,8.51,1.44,16.92,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-19,20038,Fat Free White Milk (Each),10,0,10,15,14,0,14,4.62,0,0.0,0.0,4.62,1.0,6.67,0.33,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-20,20001,1% White Milk (Each),29,0,29,45,41,0,41,14.76,0,0.0,0.0,14.76,4.0,8.89,1.44,16.2,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-20,20038,Fat Free White Milk (Each),10,0,10,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-21,20001,1% White Milk (Each),30,0,30,50,42,0,42,15.12,0,0.0,0.0,15.12,8.0,16.0,2.88,18.0,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-21,20038,Fat Free White Milk (Each),11,0,11,25,19,0,19,6.27,0,0.0,0.0,6.27,6.0,24.0,1.98,8.25,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-22,20001,1% White Milk (Each),29,0,29,37,32,0,32,11.52,0,0.0,0.0,11.52,5.0,13.51,1.8,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-22,20038,Fat Free White Milk (Each),10,0,10,15,11,0,11,3.63,0,0.0,0.0,3.63,4.0,26.67,1.32,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-23,20001,1% White Milk (Each),29,0,29,40,35,0,35,12.6,0,0.0,0.0,12.6,5.0,12.5,1.8,14.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-23,20038,Fat Free White Milk (Each),10,0,10,20,13,0,13,4.29,0,0.0,0.0,4.29,7.0,35.0,2.31,6.6,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-27,20001,1% White Milk (Each),33,0,33,37,31,0,31,11.16,0,0.0,0.0,11.16,6.0,16.22,2.16,13.32,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-27,20038,Fat Free White Milk (Each),12,0,12,15,10,0,10,3.3,0,0.0,0.0,3.3,5.0,33.33,1.65,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-28,20001,1% White Milk (Each),35,0,35,47,38,0,38,13.68,0,0.0,0.0,13.68,9.0,19.15,3.24,16.92,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-28,20038,Fat Free White Milk (Each),13,0,13,15,11,0,11,3.63,0,0.0,0.0,3.63,4.0,26.67,1.32,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-29,20001,1% White Milk (Each),33,0,33,35,27,0,27,9.72,0,0.0,0.0,9.72,8.0,22.86,2.88,12.6,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-29,20038,Fat Free White Milk (Each),12,0,12,15,10,0,10,3.3,0,0.0,0.0,3.3,5.0,33.33,1.65,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-30,20001,1% White Milk (Each),33,0,33,50,43,0,43,15.48,0,0.0,0.0,15.48,7.0,14.0,2.52,18.0,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
aldrin elementary,2025-05-30,20038,Fat Free White Milk (Each),12,0,12,15,13,0,13,4.29,0,0.0,0.0,4.29,2.0,13.33,0.66,4.95,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
