school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Aldrin Elementary,5/01/2025,20001,1% White Milk (Each),44,0,44,120,43,0,43,$15.48,0,0.00%,$0.00,$15.48,77,64.17%,$27.72,$43.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/01/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,155,131,0,131,$45.85,0,0.00%,$0.00,$45.85,24,15.48%,$8.40,$54.25,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/01/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/02/2025,20001,1% White Milk (Each),44,0,44,125,52,0,52,$18.72,0,0.00%,$0.00,$18.72,73,58.40%,$26.28,$45.00,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/02/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,205,159,0,159,$55.65,0,0.00%,$0.00,$55.65,46,22.44%,$16.10,$71.75,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/02/2025,20038,Fat Free White Milk (Each),17,0,17,50,20,0,20,$6.60,0,0.00%,$0.00,$6.60,30,60.00%,$9.90,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/05/2025,20001,1% White Milk (Each),54,0,54,170,53,0,53,$19.08,0,0.00%,$0.00,$19.08,117,68.82%,$42.12,$61.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/05/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,205,147,0,147,$51.45,0,0.00%,$0.00,$51.45,58,28.29%,$20.30,$71.75,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Aldrin Elementary,5/05/2025,20038,Fat Free White Milk (Each),30,0,30,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Aldrin Elementary,5/06/2025,20001,1% White Milk (Each),54,0,54,120,43,0,43,$15.48,0,0.00%,$0.00,$15.48,77,64.17%,$27.72,$43.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
