identifier,name,unit_cost
10064,"-Peas and Diced Carrots, Frozen (1/2 cup)",0
30102,1% Unflavored Shelf-Stable Milk (Each),0.38
20001,1% White Milk (Each),0.36
60128,Alfredo & Basil Lasagna (Each),1.26
60031,Apple Berry Smoothie (8oz portion),0.66
10021,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),0.41
10021,Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),0.82
10021,Apple Cinnamon Bread (Grain for entree) (1 square),0.41
60178,Apple Cinnamon Bread (Grain for entree)(1 square),0.41
30048,Apple Cinnamon Spread (Each),0.45
30008,Apple Juice (Each),0.17
20008,Apple Slices(3 slices per 1/4 cup),0.59
20074,Apple Slices (3 slices per 1/4 cup),0.59
20074,"Apple Slices (3 slices, 1/4 cup)",0.18
20074,Apple Slices (3/4 cup),1.77
20074,Apple Slices (6 Slices per 1/2 cup),1.18
20074,"Apple Slices (6 Slices, 1/2 cup)",0.37
20069,"Apple, Slices, IW - ER Supper Only (Each)",0.33
30020,Applesauce (1/2 Cup),0.21
30020,Applesauce (1/4 cup),0.11
30020,Applesauce (3/4 cup),0.28
30176,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",0.27
60126,Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),1.45
60122,Asian Meatball Sub (sandwich),1.78
60120,Asian Veggie Sub (sandwich),1.89
20052,Assorted  4 oz Yogurt (Container),0
60089,Assorted Cereal (Cereal Cup),0.14
60090,Assorted Craisins (Packet),0.24
60091,Assorted Whole Fruit (Piece of Fruit),0.01
60160,BBQ Chicken Drumstick (Drumstick),1.13
60043,BBQ Chicken Sandwich (Sandwich),0.86
60173,BBQ Chickenless Bites (4 bites),0.85
60170,BBQ Sandwich (Sandwich),1.15
60044,BBQ Vegan Burger (Sandwich),0.65
20023,Baby Carrots (3 baby carrots per 1/4 cup),0.09
20023,Baby Carrots (6 Baby Carrots per 1/2 cup),0.17
10020,Bagel (Bagel),0.32
10015,Baked Cheese Sticks (2 Cheese Sticks),0.66
20031,Banana (Each),0.21
10080,Banana Bread (Each),0.71
30105,"Bar, Lemon Blueberry (Each)",0.42
10096,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",0.41
10096,"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",0.82
60167,Bean Salad (SUMMER) (1 cup),0.49
60085,Bean Street Tacos on Flour Tortillas (2 Tacos),0.63
10069,Bean and Cheese Pupusa (Pupusa),1.5
60042,Beef Meatball Sub Sandwich (Sandwich),1.28
60066,Beef Meatballs (Serving),0.65
10007,"Beef, Meatballs, Pre-Cooked (5 meatballs)",0.65
10008,"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",0.52
60068,Biscuit (Biscuit),0.2
60109,Black Bean and Corn Salad (1/2 cup),0.19
30024,Black Beans (1/2 Cup),0.17
30024,Black Beans (1/2 cup),0.18
30025,Black Beans(1/2 Cup),0.18
30158,Black Beans(1/2 Cup),0.17
30024,Black Beans (1/4 Cup),0.09
30024,Black Beans (2 Tablespoons),0.04
60100,Black Beans - salad bar entree (1/2 cup),0.16
60151,Blueberry Bread(1 square),0.41
10023,Blueberry Bread (1 square),0.41
10023,Blueberry Bread (1oz Grain (1/64 Baked Pan)),0.41
10023,Blueberry Bread (2oz Grain (1/32 Baked Pan)),0.82
30004,Blueberry Chex Cereal (Each),0.58
10040,Blueberry Muffin Top (Muffin Top),0.42
60032,Blueberry Parfait (Parfait),1.03
30097,Bottled Water (Bottle),0.12
10038,"Bread, English Muffin, WG (Each)",0.24
30016,"Bread, Hamburger Bun (Bun)",0.03
10027,"Bread, Loco (1/2 piece)",0.15
10027,"Bread, Loco (flatbread)",0.3
60001,Breaded  Chicken Patty on a Bun (Sandwich),0.47
60030,Broccoli Alfredo Pasta (1 cup),1.14
20027,Broccoli Florets (1/4 cup),0.08
20027,Broccoli Florets (6 Pieces per 1/2 cup),0.15
20027,Broccoli Florets (Cup),0.3
20067,"CLPP, Broccoli Crowns (1/2 cup)",0
20057,"CLPP, Cucumbers (1 cup)",0
20065,"CLPP, Grape Tomatoes (1/2 cup)",0
20065,"CLPP, Grape Tomatoes (1/4 cup)",0
10031,"Calzone, Cheese (Each)",0.97
30070,"Canned Pineapple, Tidbits (1/2 cup (drained))",0.3
60057,Carrot and Celery Sticks (1/2 cup),0.99
60057,Carrot and Celery Sticks (1/4 cup),0.99
20049,"Carrots, IW,   Super Snack (2 each)",0.8
20049,"Carrots, IW,   Super Snack (each)",0.4
20080,"Carrots, Shredded (Cup)",0.33
20087,"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",0.11
20036,Celery Sticks (1/2 cup),0.55
20036,Celery Sticks (1/4 cup),0.27
30181,"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",0.32
30175,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",0.56
60015,Chana Masala (1/2 cup),0.18
30030,Cheddar Chex Mix (Package),0.29
10110,Cheese Pizza(slice),0.85
10075,Cheese Pizza(Slice),0.57
60080,Cheese Pizza (Slice),0.57
60080,Cheese Pizza (slice),0.85
60018,Cheese Quesadilla (Quesadilla),0.69
60010,Cheese Sandwich (sandwich),0.27
10071,"Cheese Sauce, Frozen, Nacho (1/2 cup)",0.46
20003,"Cheese, American, Sliced (3 slices)",0.17
20003,"Cheese, American, Sliced (Slice)",0.07
20006,"Cheese, Shredded, Cheddar (1/4 cup)",0.17
20006,"Cheese, Shredded, Cheddar (Cup)",0.57
20007,"Cheese, Shredded, Mozzarella (1/4 cup)",0.16
20089,"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",0.22
60007,Cheeseburger (Sandwich),0.73
30033,Cheez-Its Crackers (Package),0.16
30139,Cherry Coke 24/12oz (Each),0
30039,Cherry Flavored Dried Cranberries (2 Eaches),0.48
30039,Cherry Flavored Dried Cranberries (Each),0.24
20011,Cherry Tomatoes (1/4 cup),0.37
20011,Cherry Tomatoes (6 Tomatoes per 1/2 cup),0.74
20034,Cherry Vanilla Yogurt (Container),0.34
60036,Cherry Vanilla Yogurt Power Pack (Power Packs),0.79
30174,"Chex Mix, Cheddar - do not use (Package)",0.4
60162,Chicken & Biscuit Sandwich (Sandwich),0.53
60113,Chicken & Cheese Nachos (Serving),1.47
10058,Chicken & Vegetable Dumplings(6 dumplings),0
60063,Chicken & Vegetable Dumplings (6 dumplings),0
60029,Chicken Alfredo Pasta (1 cup),0.78
60093,Chicken Alfredo Pasta(1 cup),0.78
60029,Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),1.52
60029,Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),0.76
60067,Chicken Eggroll (2 Egg Rolls),1.56
60180,Chicken Masala Drumstick(Drumstick),0.65
60132,Chicken Masala Drumstick (Drumstick),1.05
60074,Chicken Parmesan Sandwich (Sandwich),1.43
60133,Chicken Philly Sandwich (each),1.42
60002,Chicken Quesadilla (quesadilla),0.7
60047,Chicken Tenders (3 tenders),0.94
60108,Chicken Tenders Sub (Sandwich),1.24
60023,Chicken Tikka Masala(1/2 cup),1.88
60094,Chicken Tikka Masala (1/2 cup),1.32
60073,Chicken and Cheese Quesadilla(Quesadilla),1.63
60095,Chicken and Cheese Quesadilla (Quesadilla),1.28
10084,"Chicken, Bites (4 Bites)",0.83
60056,"Chicken, Bites, Breaded (4 Bites)",0.84
60083,"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",0.88
10004,"Chicken, Diced (1/2 cup)",1.73
10066,"Chicken, Drumstick, Roasted (Each Drumstick)",1.01
60117,"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",1.19
10090,"Chicken, Shredded, Fully Cooked (1/2 cup)",0.72
10005,"Chicken, Wings, Pre-Cooked (3 Wings)",1.07
10026,Chickenless Bites(2 Bites),0.36
60050,Chickenless Bites (2 Bites),0.36
60050,Chickenless Bites (4 Bites),0.76
60159,Chickenless Bites Wrap (Wrap),1.18
x30159,Chickpeas(1/2 cup),0.18
30099,Chickpeas (1/2 cup),0.18
30099,Chickpeas (1/4 cup),0.09
30099,Chickpeas (2 Tablespoons),0.04
60101,Chickpeas - salad bar entree (1/2 cup),0.17
30061,Chilled Mandarin Oranges (1/2 cup (drained)),0.34
30061,Chilled Mandarin Oranges (1/4 cup (drained)),0.17
30068,Chilled Peaches (1/2 cup (drained)),0.51
x30001,Chilled Peaches(1/2 cup),0.38
30068,Chilled Peaches (1/2 cup),0.38
30068,Chilled Peaches (1/4 cup (drained)),0.25
60062,Chilled Pineapple (1/2 cup),0.3
60062,Chilled Pineapple (1/4 cup),0.15
10033,Chocolate Chip Cookie (1/2 Cookie),0.11
10033,Chocolate Chip Cookie (Cookie),0.21
30006,Cinnamon Chex Cereal (Each),0.58
30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",0.59
60135,Cinnamon Waffle (each),0.44
30136,Coke Classic 24/12oz (Each),0
60021,Cooked  Brown Rice (1 cup cooked),0.11
60021,Cooked  Brown Rice (1/2 cup cooked),0.05
30113,Cool Ranch Reduced Fat Doritos (Each),0.28
10062,Corn (1/2 cup (cooked)),0.21
10062,Corn (1/2 cup (thawed)),0.21
10062,Corn (1/4 cup (cooked)),0.11
10062,Corn (1/4 cup (thawed)),0.11
10062,Corn (2 Tablespoons (thawed)),0.05
20009,Cream Cheese (Each),0.29
60118,Creamy Cabbage Slaw (1/4 cup),0.13
20040,Cucumber Slices (1/2 cup),0.08
60045,Cucumber Slices(1/2 cup),0.08
20040,Cucumber Slices (1/4 cup),0.06
20040,Cucumber Slices (2 Tablespoon),0.03
20040,Cucumber Slices (3/4 cup),0.16
20040,Cucumber Slices (6 Slices per 1/2 cup),0.12
20075,Cucumbers (1/2 cup sliced),0.19
20075,"Cucumbers (1/4 cup sliced, 3 slices)",0.1
30138,Diet Coke 24/12oz (Each),0
30110,Doritos Flamas (Each),0.27
30112,Doritos RF Nacho Cheese (Each),0.27
