school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice(Each),1158
aldrin elementary,Breakfast,Orange Tangerine Juice(Each),626
aldrin elementary,Breakfast,Mini Maple Pancakes(Package),534
aldrin elementary,Breakfast,1% White Milk(Each),522
aldrin elementary,Breakfast,Bagel(Bagel),253
aldrin elementary,Breakfast,Cream Cheese(Each),194
aldrin elementary,Breakfast,Honey Cheerios Cereal(Each),194
aldrin elementary,Breakfast,Red Delicious Apple(Each - serving),193
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",175
aldrin elementary,Breakfast,Cinnamon Chex Cereal(Each),163
aldrin elementary,Breakfast,Blueberry Chex Cereal(Each),141
aldrin elementary,Breakfast,Fat Free White Milk(Each),137
aldrin elementary,Breakfast,Banana(Each),128
aldrin elementary,Breakfast,String Cheese(1 Stick),124
aldrin elementary,Breakfast,Natural Breakfast Syrup(Each),90
aldrin elementary,Breakfast,Natural Grape Jam(Packet),67
aldrin elementary,Breakfast,Orange(6 Slices per 1/2 cup),51
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",50
aldrin elementary,Breakfast,Mandarin Orange Parfait(Parfait),50
aldrin elementary,Breakfast,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),44
aldrin elementary,Breakfast,Chicken & Biscuit Sandwich(Sandwich),44
aldrin elementary,Breakfast,Egg and American Cheese on Bagel(Sandwich),39
aldrin elementary,Breakfast,Turkey Sausage Breakfast Biscuit(Sandwich),38
aldrin elementary,Breakfast,Strawberry Parfait(Parfait),36
aldrin elementary,Breakfast,Egg and American Cheese on Biscuit(Sandwich),34
aldrin elementary,Breakfast,Chilled Peaches(1/2 cup (drained)),33
aldrin elementary,Breakfast,Blueberry Bread(1 square),30
aldrin elementary,Breakfast,Orange Slices(3 slices per 1/4 cup),26
aldrin elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",24
aldrin elementary,Breakfast,Blueberry Muffin Top(Muffin Top),22
aldrin elementary,Breakfast,Applesauce(1/2 Cup),20
aldrin elementary,Breakfast,Blueberry Bread(1oz Grain (1/64 Baked Pan)),19
aldrin elementary,Breakfast,"Parfait, Triple Berry(Parfait)",19
aldrin elementary,Breakfast,Golden Delicious Apple(Each),13
aldrin elementary,Breakfast,Chilled Mandarin Oranges(1/2 cup (drained)),12
aldrin elementary,Breakfast,Biscuit(Biscuit),11
aldrin elementary,Breakfast,1% Unflavored Shelf-Stable Milk(Each),10
aldrin elementary,Breakfast,Chilled Pineapple(1/2 cup),10
aldrin elementary,Breakfast,Egg and American Cheese on English Muffin(Sandwich),9
aldrin elementary,Breakfast,Apple Cinnamon Bread(2oz Grain (1/32 Baked Pan)),8
aldrin elementary,Breakfast,Apple Slices(3 slices per 1/4 cup),8
aldrin elementary,Breakfast,Apple Cinnamon Bread (Grain for entree)(1 square),7
aldrin elementary,Breakfast,"Frozen Berry, Triple Berry Blend(1/2 cup (thawed))",7
aldrin elementary,Breakfast,IW Applesauce Cup(Each),6
aldrin elementary,Breakfast,Mini Maple Waffles(Package),6
aldrin elementary,Breakfast,"Apple, Slices, IW - ER Supper Only(Each)",5
aldrin elementary,Breakfast,Assorted Craisins(Packet),5
aldrin elementary,Breakfast,Bottled Water(Bottle),4
aldrin elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk(Each),4
aldrin elementary,Breakfast,"Lactose Free, White Milk(Each)",4
aldrin elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable(Each)",4
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(2 Eaches),4
aldrin elementary,Breakfast,Whole Strawberries(1/2 cup thawed),4
aldrin elementary,Breakfast,"Batter, Pumpkin Bread(2oz Grain (1/32Baked Pan))",3
aldrin elementary,Breakfast,"Cereal, Cinnamon Toast Crunch 1 oz (Sub)(Each)",3
aldrin elementary,Breakfast,Chicken Tenders(3 tenders),3
aldrin elementary,Breakfast,Graham Crackers(Package),3
aldrin elementary,Breakfast,Orange Slices(6 Slices per 1/2 cup),3
aldrin elementary,Breakfast,Orange(1/4 cup),3
aldrin elementary,Breakfast,Orange(Each - serving),3
aldrin elementary,Breakfast,"Apple Slices(3 slices, 1/4 cup)",2
aldrin elementary,Breakfast,Granola(1/4 cup),2
aldrin elementary,Breakfast,Natural Blackberry Jam(Packet),2
aldrin elementary,Breakfast,Peach Parfait(Parfait),2
aldrin elementary,Breakfast,Pumpkin Bread(1 square),2
aldrin elementary,Breakfast,Raspberry Lemonade Flavored Dried Cranberries(2 Eaches),2
aldrin elementary,Breakfast,Strawberry Flavored Dried Cranberries(Each),2
aldrin elementary,Breakfast,"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB)(Each)",1
aldrin elementary,Breakfast,Blueberry Bread(2oz Grain (1/32 Baked Pan)),1
aldrin elementary,Breakfast,Blueberry Parfait(Parfait),1
aldrin elementary,Breakfast,"Bread, English Muffin, WG(Each)",1
