school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice (Each),58
aldrin elementary,Breakfast,Orange Tangerine Juice (Each),31
aldrin elementary,Breakfast,Mini Maple Pancakes (Package),27
aldrin elementary,Breakfast,1% White Milk (Each),26
aldrin elementary,Breakfast,Bagel (Bagel),13
aldrin elementary,Breakfast,Cream Cheese (Each),10
aldrin elementary,Breakfast,Honey Cheerios Cereal (Each),10
aldrin elementary,Breakfast,Red Delicious Apple (Each - serving),10
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",9
aldrin elementary,Breakfast,Cinnamon Chex Cereal (Each),8
aldrin elementary,Breakfast,Blueberry Chex Cereal (Each),7
aldrin elementary,Breakfast,Fat Free White Milk (Each),7
aldrin elementary,Breakfast,Banana (Each),6
aldrin elementary,Breakfast,String Cheese (1 Stick),6
aldrin elementary,Breakfast,Natural Breakfast Syrup (Each),4
aldrin elementary,Breakfast,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",3
aldrin elementary,Breakfast,Natural Grape Jam (Packet),3
aldrin elementary,Breakfast,Orange (6 Slices per 1/2 cup),3
aldrin elementary,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),2
aldrin elementary,Breakfast,Blueberry Bread (1 square),2
aldrin elementary,Breakfast,Chicken & Biscuit Sandwich (Sandwich),2
aldrin elementary,Breakfast,Chilled Peaches (1/2 cup (drained)),2
aldrin elementary,Breakfast,Egg and American Cheese on Bagel (Sandwich),2
aldrin elementary,Breakfast,Egg and American Cheese on Biscuit (Sandwich),2
aldrin elementary,Breakfast,Mandarin Orange Parfait (Parfait),2
aldrin elementary,Breakfast,Strawberry Parfait (Parfait),2
aldrin elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),2
aldrin elementary,Breakfast,Applesauce (1/2 Cup),1
aldrin elementary,Breakfast,Biscuit (Biscuit),1
aldrin elementary,Breakfast,Blueberry Bread (1oz Grain (1/64 Baked Pan)),1
aldrin elementary,Breakfast,Blueberry Muffin Top (Muffin Top),1
aldrin elementary,Breakfast,Chilled Mandarin Oranges (1/2 cup (drained)),1
