school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,1% White Milk (Each),32
aldrin elementary,Breakfast,Fat Free White Milk (Each),8
aldrin elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
aldrin elementary,Lunch,Fat Free Chocolate Milk (Each),31
aldrin elementary,Lunch,1% White Milk (Each),7
aldrin elementary,Lunch,Fat Free White Milk (Each),3
annandale high,Breakfast,1% White Milk (Each),101
annandale high,Breakfast,Fat Free White Milk (Each),27
annandale high,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
annandale high,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
annandale high,Breakfast,"Lactose Free, White Milk (Each)",1
annandale high,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
annandale high,Lunch,Fat Free Chocolate Milk (Each),98
annandale high,Lunch,1% White Milk (Each),24
annandale high,Lunch,Fat Free White Milk (Each),9
annandale high,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
annandale terrace elementary,Breakfast,1% White Milk (Each),98
annandale terrace elementary,Breakfast,Fat Free White Milk (Each),26
annandale terrace elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
annandale terrace elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
annandale terrace elementary,Breakfast,"Lactose Free, White Milk (Each)",1
annandale terrace elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
annandale terrace elementary,Lunch,Fat Free Chocolate Milk (Each),96
annandale terrace elementary,Lunch,1% White Milk (Each),23
annandale terrace elementary,Lunch,Fat Free White Milk (Each),8
annandale terrace elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
armstrong elementary,Breakfast,1% White Milk (Each),24
armstrong elementary,Breakfast,Fat Free White Milk (Each),6
armstrong elementary,Lunch,Fat Free Chocolate Milk (Each),24
armstrong elementary,Lunch,1% White Milk (Each),6
armstrong elementary,Lunch,Fat Free White Milk (Each),2
baileys lower elementary,Breakfast,1% White Milk (Each),186
baileys lower elementary,Breakfast,Fat Free White Milk (Each),49
baileys lower elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),3
baileys lower elementary,Breakfast,"Lactose Free, White Milk (Each)",2
baileys lower elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",2
baileys lower elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
baileys lower elementary,Lunch,Fat Free Chocolate Milk (Each),181
baileys lower elementary,Lunch,1% White Milk (Each),43
baileys lower elementary,Lunch,Fat Free White Milk (Each),16
baileys lower elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
baileys lower elementary,Lunch,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
baileys upper elementary,Breakfast,1% White Milk (Each),48
baileys upper elementary,Breakfast,Fat Free White Milk (Each),13
baileys upper elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
baileys upper elementary,Lunch,Fat Free Chocolate Milk (Each),47
baileys upper elementary,Lunch,1% White Milk (Each),11
baileys upper elementary,Lunch,Fat Free White Milk (Each),4
beech tree elementary,Breakfast,1% White Milk (Each),60
beech tree elementary,Breakfast,Fat Free White Milk (Each),16
beech tree elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
beech tree elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
beech tree elementary,Lunch,Fat Free Chocolate Milk (Each),58
beech tree elementary,Lunch,1% White Milk (Each),14
beech tree elementary,Lunch,Fat Free White Milk (Each),5
belle view elementary,Breakfast,1% White Milk (Each),18
belle view elementary,Breakfast,Fat Free White Milk (Each),5
belle view elementary,Lunch,Fat Free Chocolate Milk (Each),17
belle view elementary,Lunch,1% White Milk (Each),4
belle view elementary,Lunch,Fat Free White Milk (Each),2
belvedere elementary,Breakfast,1% White Milk (Each),75
belvedere elementary,Breakfast,Fat Free White Milk (Each),20
belvedere elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
belvedere elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
belvedere elementary,Breakfast,"Lactose Free, White Milk (Each)",1
belvedere elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
belvedere elementary,Lunch,Fat Free Chocolate Milk (Each),73
belvedere elementary,Lunch,1% White Milk (Each),17
belvedere elementary,Lunch,Fat Free White Milk (Each),6
bonnie brae elementary,Breakfast,1% White Milk (Each),97
bonnie brae elementary,Breakfast,Fat Free White Milk (Each),26
bonnie brae elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
bonnie brae elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
bonnie brae elementary,Breakfast,"Lactose Free, White Milk (Each)",1
bonnie brae elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
bonnie brae elementary,Lunch,Fat Free Chocolate Milk (Each),95
bonnie brae elementary,Lunch,1% White Milk (Each),23
bonnie brae elementary,Lunch,Fat Free White Milk (Each),8
bonnie brae elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
braddock elementary,Breakfast,1% White Milk (Each),127
braddock elementary,Breakfast,Fat Free White Milk (Each),34
braddock elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),2
braddock elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
braddock elementary,Breakfast,"Lactose Free, White Milk (Each)",1
braddock elementary,Breakfast,"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1
braddock elementary,Lunch,Fat Free Chocolate Milk (Each),124
braddock elementary,Lunch,1% White Milk (Each),30
braddock elementary,Lunch,Fat Free White Milk (Each),11
braddock elementary,Lunch,1% Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,1% White Milk (Each),73
bren mar park elementary,Breakfast,Fat Free White Milk (Each),19
bren mar park elementary,Breakfast,1% Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,Fat Free Unflavored Shelf-Stable Milk (Each),1
bren mar park elementary,Breakfast,"Lactose Free, White Milk (Each)",1
