school,meal_type,food_item,recommended_quantity
aldrin elementary,Breakfast,Apple Juice (Each),8
aldrin elementary,Breakfast,Orange Tangerine Juice (Each),5
aldrin elementary,Breakfast,1% White Milk (Each),4
aldrin elementary,Breakfast,Mini Maple Pancakes (Package),4
aldrin elementary,Breakfast,Bagel (Bagel),2
aldrin elementary,Breakfast,Banana (Each),1
aldrin elementary,Breakfast,Blueberry Chex Cereal (Each),1
aldrin elementary,Breakfast,Cinnamon Chex Cereal (Each),1
aldrin elementary,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",1
aldrin elementary,Breakfast,Cream Cheese (Each),1
aldrin elementary,Breakfast,Fat Free White Milk (Each),1
aldrin elementary,Breakfast,Honey Cheerios Cereal (Each),1
aldrin elementary,Breakfast,Natural Breakfast Syrup (Each),1
aldrin elementary,Breakfast,Red Delicious Apple (Each - serving),1
aldrin elementary,Breakfast,String Cheese (1 Stick),1
annandale high,Breakfast,Apple Juice (Each),30
annandale high,Breakfast,Orange Tangerine Juice (Each),16
annandale high,Breakfast,1% White Milk (Each),14
annandale high,Breakfast,Mini Maple Pancakes (Package),14
annandale high,Breakfast,Bagel (Bagel),7
annandale high,Breakfast,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",5
annandale high,Breakfast,Cream Cheese (Each),5
annandale high,Breakfast,Honey Cheerios Cereal (Each),5
annandale high,Breakfast,Red Delicious Apple (Each - serving),5
annandale high,Breakfast,Blueberry Chex Cereal (Each),4
annandale high,Breakfast,Cinnamon Chex Cereal (Each),4
annandale high,Breakfast,Fat Free White Milk (Each),4
annandale high,Breakfast,Banana (Each),3
annandale high,Breakfast,String Cheese (1 Stick),3
annandale high,Breakfast,Natural Breakfast Syrup (Each),2
annandale high,Breakfast,Natural Grape Jam (Packet),2
annandale high,Breakfast,Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),1
annandale high,Breakfast,Applesauce (1/2 Cup),1
