name,left_over_total,offered_reimbursable,leftover_rate
Fat Free Chocolate Milk (Each),7371.0,7458,98.83346741753822
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",47.0,78,60.256410256410255
Fat Free White Milk (Each),56880.0,106259,53.52958337646694
Cherry Flavored Dried Cranberries (Each),68.0,128,53.125
Fat Free Unflavored Shelf-Stable Milk (Each),1531.0,2905,52.702237521514625
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1637.0,3195,51.23630672926448
Orange Flavored Dried Cranberries (Each),63.0,126,50.0
Watermelon Flavored Dried Cranberries (2 Eaches),332.0,691,48.04630969609262
Assorted Cereal (Cereal Cup),41.0,87,47.12643678160919
"Patty, Chicken, Breaded, WG (2 strips)",15.0,32,46.875
"Frozen, Blueberries (1/2 cup)",24.0,56,42.857142857142854
"Cheese, American, Sliced (3 slices)",64.0,153,41.830065359477125
Granola (1/4 cup),419.0,1034,40.522243713733076
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",19.0,47,40.42553191489361
Roasted Sunflower Seeds (Package),137.0,340,40.294117647058826
Vegan Burger (Sandwich),2.0,5,40.0
Peach Yogurt (Container),18.0,45,40.0
Cherry Vanilla Yogurt (Container),62.0,161,38.50931677018634
Soft Pretzel (1 pretzel),20.0,52,38.46153846153847
Strawberry & Banana Yogurt Power Pack (Power Packs),16.0,42,38.095238095238095
Cherry Flavored Dried Cranberries (2 Eaches),270.0,765,35.294117647058826
Apple Berry Smoothie (8oz portion),10.0,29,34.48275862068966
"Nutri-Grain, Blueberry (each)",18.0,53,33.9622641509434
1% White Milk (Each),91544.0,274216,33.38390174169268
"Nutri-Grain, Apple Cinnamon (each)",22.0,67,32.83582089552239
1% Unflavored Shelf-Stable Milk (Each),1690.0,5172,32.67594740912607
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),301.0,924,32.57575757575758
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",489.0,1512,32.34126984126984
Strawberry Flavored Dried Cranberries (2 Eaches),699.0,2185,31.990846681922196
Peach Yogurt Power Pack (Power Packs),31.0,97,31.958762886597935
Natural Grape Jam (Packet),10717.0,34066,31.459519755768216
Blueberry Parfait (Parfait),138.0,480,28.749999999999996
Bottled Water (Bottle),1028.0,3595,28.595271210013905
Strawberry Parfait Power Pack (Power Pack),6.0,22,27.27272727272727
Assorted Craisins (Packet),578.0,2126,27.18720602069614
Graham Crackers (Package),470.0,1733,27.120600115406805
Orange Flavored Dried Cranberries (2 Eaches),157.0,580,27.068965517241377
Assorted  4 oz Yogurt (Container),50.0,187,26.737967914438503
Peach Parfait (Parfait),197.0,741,26.58569500674764
Blueberry Chex Cereal (Each),17827.0,67918,26.247828263494217
Orange (6 Slices per 1/2 cup),6563.0,25100,26.147410358565736
Orange (Each - serving),424.0,1653,25.650332728372653
Red Delicious Apple (Each - serving),22699.0,88927,25.525430971470982
"Nutri-Grain, Strawberry (each)",13.0,51,25.49019607843137
Natural Breakfast Syrup (Each),10684.0,42143,25.351778468547565
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",63.0,250,25.2
Cinnamon Chex Cereal (Each),19527.0,78966,24.72836410607097
Ketchup Packet (Packet),40.0,163,24.539877300613497
"Bar, Lemon Blueberry (Each)",36.0,148,24.324324324324326
Golden Delicious Apple (Each),1351.0,5893,22.925504836246393
Mandarin Orange Parfait (Parfait),5211.0,22954,22.701925590311056
Raspberry Lemonade Flavored Dried Cranberries (Each),17.0,77,22.07792207792208
Strawberry Flavored Dried Cranberries (Each),207.0,952,21.743697478991596
Orange Tangerine Juice (Each),61908.0,285674,21.67085559063828
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",16820.0,80098,20.999275887038376
"Lactose Free, White Milk (Each)",370.0,1766,20.951302378255946
Strawberry Parfait (Parfait),3514.0,16848,20.85707502374169
Honey Cheerios Cereal (Each),17547.0,85749,20.463212398978413
"Parfait, Triple Berry (Parfait)",1577.0,8112,19.440335305719923
Banana Bread (Each),29.0,151,19.205298013245034
String Cheese (1 Stick),10275.0,54549,18.836275642083265
Gala Apple (Each),97.0,556,17.446043165467625
Blueberry Bread (2oz Grain (1/32 Baked Pan)),59.0,346,17.052023121387283
"Bread, English Muffin, WG (Each)",55.0,333,16.516516516516518
Natural Blackberry Jam (Packet),175.0,1060,16.50943396226415
Cinnamon Waffle (each),14.0,85,16.470588235294116
