name,served_reimbursable,discarded_total,net_consumption
Apple Juice (Each),422347,99.84,422247.16
Orange Tangerine Juice (Each),227110,108.51,227001.49
Mini Maple Pancakes (Package),196086,833.03,195252.97
1% White Milk (Each),189429,463.75,188965.25
Bagel (Bagel),92610,1374.85,91235.15
Cream Cheese (Each),70942,59.52,70882.48
Honey Cheerios Cereal (Each),71032,232.69,70799.31
Red Delicious Apple (Each - serving),69694,270.54,69423.46
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",63964,375.58,63588.42
Cinnamon Chex Cereal (Each),59553,402.63,59150.37
Blueberry Chex Cereal (Each),51060,559.99,50500.01
Fat Free White Milk (Each),50110,358.22,49751.78
Banana (Each),46285,306.34,45978.66
String Cheese (1 Stick),45260,345.61,44914.39
Natural Breakfast Syrup (Each),32756,3.95,32752.05
Natural Grape Jam (Packet),24546,261.14,24284.86
Orange (6 Slices per 1/2 cup),18603,104.21,18498.79
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",18625,941.76,17683.24
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),16026,937.57,15088.43
Chicken & Biscuit Sandwich (Sandwich),15987,2388.64,13598.36
Chilled Peaches (1/2 cup (drained)),11999,156.06,11842.94
Egg and American Cheese on Bagel (Sandwich),14240,2424.16,11815.84
Blueberry Bread (1 square),11103,894.76,10208.24
Turkey Sausage Breakfast Biscuit (Sandwich),13661,3570.7,10090.3
Orange Slices (3 slices per 1/4 cup),9751,47.43,9703.57
Strawberry Parfait (Parfait),13252,4338.67,8913.33
Mandarin Orange Parfait (Parfait),18105,9363.59,8741.41
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",8596,603.19,7992.81
Blueberry Muffin Top (Muffin Top),8153,485.89,7667.11
Applesauce (1/2 Cup),7051,30.48,7020.52
Blueberry Bread (1oz Grain (1/64 Baked Pan)),6902,548.3,6353.7
Golden Delicious Apple (Each),4662,16.94,4645.06
"Parfait, Triple Berry (Parfait)",7054,2477.56,4576.44
Chilled Mandarin Oranges (1/2 cup (drained)),4137,0,4137
Egg and American Cheese on Biscuit (Sandwich),12278,8389.55,3888.45
Chilled Pineapple (1/2 cup),3611,25.01,3585.99
1% Unflavored Shelf-Stable Milk (Each),3524,10,3514
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),3087,51,3036
Apple Slices (3 slices per 1/4 cup),2899,5.56,2893.44
Bottled Water (Bottle),2565,33.33,2531.67
Apple Cinnamon Bread (Grain for entree) (1 square),2672,244.68,2427.32
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",2442,43.96,2398.04
Mini Maple Waffles (Package),2125,0,2125
IW Applesauce Cup (Each),2126,18.29,2107.71
Assorted Craisins (Packet),1699,0,1699
"Apple, Slices, IW - ER Supper Only (Each)",1635,4,1631
Whole Strawberries (1/2 cup thawed),1533,8.06,1524.94
Strawberry Flavored Dried Cranberries (2 Eaches),1518,0,1518
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1616,98.93,1517.07
Egg and American Cheese on English Muffin (Sandwich),3262,1748.22,1513.78
Fat Free Unflavored Shelf-Stable Milk (Each),1375,0,1375
"Lactose Free, White Milk (Each)",1534,277.78,1256.22
Graham Crackers (Package),1261,20,1241
Orange (Each - serving),1229,0,1229
Orange (1/4 cup),1092,0,1092
Chicken Tenders (3 tenders),1099,10.71,1088.29
Orange Slices (6 Slices per 1/2 cup),1066,7.63,1058.37
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1023,0,1023
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",1095,116.37,978.63
Natural Blackberry Jam (Packet),901,0,901
Biscuit (Biscuit),3956,3198.09,757.91
Strawberry Flavored Dried Cranberries (Each),745,0,745
"Apple Slices (3 slices, 1/4 cup)",703,0,703
Peach Parfait (Parfait),651,12.63,638.37
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),623,0,623
Pumpkin Bread (1 square),567,11.81,555.19
Granola (1/4 cup),612,75,537
Cherry Flavored Dried Cranberries (2 Eaches),495,0,495
Gala Apple (Each),459,0,459
Orange Flavored Dried Cranberries (2 Eaches),423,0,423
Watermelon Flavored Dried Cranberries (2 Eaches),359,0,359
Maple Belgian Waffle (Waffle),437,90.16,346.84
Chilled Peaches (1/2 cup),308,0,308
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",304,0,304
"Sandwich, Turkey & Cheese (sandwich)",369,66.67,302.33
Chicken Tenders Sub (Sandwich),352,81.57,270.43
Whole Wheat Dinner Roll (2 rolls),275,6.25,268.75
"Bread, English Muffin, WG (Each)",356,88.33,267.67
Blueberry Bread (2oz Grain (1/32 Baked Pan)),284,16.43,267.57
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",225,0,225
Roasted Sunflower Seeds (Package),203,0,203
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",229,35,194
Whole Wheat Dinner Roll (Each),198,5,193
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",187,0,187
Red Seedless Grapes (16 grapes per 1/2 cup),183,0,183
Strawberry Smoothie (8oz portion),278,95.84,182.16
Hot Turkey & Cheese (sandwich),152,0,152
Assorted  4 oz Yogurt (Container),137,0,137
Apple Slices (6 Slices per 1/2 cup),126,0,126
Ketchup Packet (Packet),123,0,123
"Bread, Hamburger Bun (Bun)",121,0,121
Banana Bread (Each),121,0.78,120.22
"Milk, Soy, Vanilla (24/8 oz) (each)",106,0,106
"Bar, Lemon Blueberry (Each)",111,5,106
Cherry Vanilla Yogurt (Container),99,0,99
"Apple Slices (6 Slices, 1/2 cup)",96,0,96
Pineapple Parfait (Parfait),93,0,93
Strawberry Banana Yogurt (each),89,0,89
"Cheese, American, Sliced (3 slices)",89,0,89
Fat Free Chocolate Milk (Each),87,0,87
Cinnamon Waffle (each),71,0,71
Peach Yogurt Power Pack (Power Packs),66,0,66
Orange Flavored Dried Cranberries (Each),63,0,63
Cherry Flavored Dried Cranberries (Each),60,0,60
Raspberry Lemonade Flavored Dried Cranberries (Each),60,0,60
Watermelon Flavored Dried Cranberries (Each),57,0,57
"Bread, Loco (1/2 piece)",56,0,56
Manager's Vegetable Choice (1/2 cup),49,0,49
Assorted Cereal (Cereal Cup),46,0,46
"Nutri-Grain, Apple Cinnamon (each)",45,0,45
"Nutri-Grain, Strawberry (each)",38,0,38
"Nutri-Grain, Blueberry (each)",35,0,35
Mandarin Orange Pepper Fruit Salsa (1 TBSP),32,0,32
"Frozen, Blueberries (1/2 cup)",32,0,32
Soft Pretzel (1 pretzel),32,0,32
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",31,0,31
Triple Berry Parfait Power Pack (Power Pack),388,359.13,28.87
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",28,0,28
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",28,0,28
Peach Yogurt (Container),27,0,27
Strawberry & Banana Yogurt Power Pack (Power Packs),26,0,26
"Plums, Red, Whole (Each)",26,0,26
Apple Berry Smoothie (8oz portion),19,0,19
Chilled Pineapple (1/4 cup),17,0,17
"Patty, Chicken, Breaded, WG (2 strips)",17,0,17
Applesauce (1/4 cup),17,0,17
Strawberry Chex Mix (Package),16,0,16
Strawberry Parfait Power Pack (Power Pack),16,0,16
"Egg, Hard Boiled, Bulk pouch (Each)",15,0,15
"Cheese, American, Sliced (Slice)",15,0,15
Cheeseburger (Sandwich),15,6.25,8.75
Cherry Vanilla Yogurt Power Pack (Power Packs),25,16.67,8.33
Oat Milk (Each),5,0,5
Vegan Burger (Sandwich),3,0,3
"-Peas and Diced Carrots, Frozen (1/2 cup)",2,0,2
Turkey & Cheese on Biscuit (Sandwich),299,376.71,-77.71
Blueberry Parfait (Parfait),307,1073.34,-766.34
