name,left_over_total
"-Peas and Diced Carrots, Frozen (1/2 cup)",0.0
Strawberry Chex Mix (Package),0.0
"Plums, Red, Whole (Each)",0.0
Oat Milk (Each),0.0
Mandarin Orange Pepper Fruit Salsa (1 TBSP),0.0
Manager's Vegetable Choice (1/2 cup),0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0.0
Chilled Pineapple (1/4 cup),0.0
Cheeseburger (Sandwich),0.0
"Cheese, American, Sliced (Slice)",0.0
"Bread, Hamburger Bun (Bun)",0.0
Applesauce (1/4 cup),0.0
Whole Wheat Dinner Roll (Each),0.0
"Apple Slices (6 Slices, 1/2 cup)",0.0
Apple Slices (6 Slices per 1/2 cup),0.0
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",1.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",1.0
Cherry Vanilla Yogurt Power Pack (Power Packs),2.0
Whole Strawberries (1/2 cup thawed),2.0
"Waffle, Belgian, Sweet Cinnamon, WG, Bulk (Waffle)",2.0
Vegan Burger (Sandwich),2.0
Whole Wheat Dinner Roll (2 rolls),4.0
Hot Turkey & Cheese (sandwich),4.0
Strawberry Banana Yogurt (each),6.0
Strawberry Parfait Power Pack (Power Pack),6.0
Pineapple Parfait (Parfait),7.0
Chilled Peaches (1/2 cup),8.0
Apple Berry Smoothie (8oz portion),10.0
"Bread, Loco (1/2 piece)",10.0
Watermelon Flavored Dried Cranberries (Each),11.0
Orange Slices (6 Slices per 1/2 cup),11.0
"Nutri-Grain, Strawberry (each)",13.0
Cinnamon Waffle (each),14.0
"Patty, Chicken, Breaded, WG (2 strips)",15.0
Maple Belgian Waffle (Waffle),15.0
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",16.0
"Milk, Soy, Vanilla (24/8 oz) (each)",16.0
Strawberry & Banana Yogurt Power Pack (Power Packs),16.0
Raspberry Lemonade Flavored Dried Cranberries (Each),17.0
Chicken Tenders Sub (Sandwich),17.0
Peach Yogurt (Container),18.0
"Nutri-Grain, Blueberry (each)",18.0
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",19.0
Soft Pretzel (1 pretzel),20.0
"Nutri-Grain, Apple Cinnamon (each)",22.0
Turkey & Cheese on Biscuit (Sandwich),22.0
"Frozen, Blueberries (1/2 cup)",24.0
Banana Bread (Each),29.0
Peach Yogurt Power Pack (Power Packs),31.0
Red Seedless Grapes (16 grapes per 1/2 cup),32.0
"Bar, Lemon Blueberry (Each)",36.0
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",37.0
Ketchup Packet (Packet),40.0
Assorted Cereal (Cereal Cup),41.0
Strawberry Smoothie (8oz portion),46.0
"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub) (1 Each)",47.0
"Sandwich, Turkey & Cheese (sandwich)",48.0
Assorted  4 oz Yogurt (Container),50.0
Blueberry Bread (2oz Grain (1/32 Baked Pan)),59.0
Cherry Vanilla Yogurt (Container),62.0
Orange Flavored Dried Cranberries (Each),63.0
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",63.0
Chilled Pineapple (1/2 cup),63.0
"Cheese, American, Sliced (3 slices)",64.0
Chicken Tenders (3 tenders),67.0
Cherry Flavored Dried Cranberries (Each),68.0
Triple Berry Parfait Power Pack (Power Pack),72.0
Pumpkin Bread (1 square),75.0
"Bread, English Muffin, WG (Each)",75.0
IW Applesauce Cup (Each),86.0
Gala Apple (Each),97.0
Orange (1/4 cup),101.0
"Apple Slices (3 slices, 1/4 cup)",129.0
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",130.0
Roasted Sunflower Seeds (Package),137.0
Blueberry Parfait (Parfait),138.0
Orange Flavored Dried Cranberries (2 Eaches),157.0
Chilled Peaches (1/2 cup (drained)),161.0
"Apple, Slices, IW - ER Supper Only (Each)",163.0
Natural Blackberry Jam (Packet),179.0
Chilled Mandarin Oranges (1/2 cup (drained)),180.0
Strawberry Flavored Dried Cranberries (Each),207.0
Orange Slices (3 slices per 1/4 cup),208.0
Peach Parfait (Parfait),209.0
Applesauce (1/2 Cup),241.0
Cherry Flavored Dried Cranberries (2 Eaches),270.0
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),301.0
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),314.0
Watermelon Flavored Dried Cranberries (2 Eaches),332.0
Mini Maple Waffles (Package),352.0
"Lactose Free, White Milk (Each)",370.0
Apple Slices (3 slices per 1/4 cup),406.0
Granola (1/4 cup),419.0
Orange (Each - serving),424.0
Apple Cinnamon Bread (Grain for entree) (1 square),428.0
Graham Crackers (Package),470.0
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",489.0
Biscuit (Biscuit),585.0
Assorted Craisins (Packet),637.0
Egg and American Cheese on English Muffin (Sandwich),646.0
Strawberry Flavored Dried Cranberries (2 Eaches),717.0
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",761.0
Blueberry Muffin Top (Muffin Top),875.0
Blueberry Bread (1oz Grain (1/64 Baked Pan)),951.0
Bottled Water (Bottle),1028.0
Golden Delicious Apple (Each),1416.0
Egg and American Cheese on Bagel (Sandwich),1428.0
Blueberry Bread (1 square),1494.0
Fat Free Unflavored Shelf-Stable Milk (Each),1532.0
Turkey Sausage Breakfast Biscuit (Sandwich),1555.0
"Parfait, Triple Berry (Parfait)",1618.0
1% Unflavored Shelf-Stable Milk (Each),1690.0
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1717.0
Chicken & Biscuit Sandwich (Sandwich),1882.0
Egg and American Cheese on Biscuit (Sandwich),1970.0
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",2471.0
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),2686.0
Strawberry Parfait (Parfait),3569.0
Mandarin Orange Parfait (Parfait),5273.0
Orange (6 Slices per 1/2 cup),6683.0
Fat Free Chocolate Milk (Each),7371.0
Banana (Each),7782.0
Cream Cheese (Each),10256.0
String Cheese (1 Stick),10531.0
Natural Breakfast Syrup (Each),10938.0
Natural Grape Jam (Packet),11350.0
Bagel (Bagel),12263.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",17065.0
Honey Cheerios Cereal (Each),17952.0
Blueberry Chex Cereal (Each),18040.0
Cinnamon Chex Cereal (Each),19690.0
Mini Maple Pancakes (Package),24846.0
Red Delicious Apple (Each - serving),25489.0
Apple Juice (Each),50369.0
Fat Free White Milk (Each),57676.0
Orange Tangerine Juice (Each),63991.0
1% White Milk (Each),94262.0
