name,served_reimbursable
Apple Juice (Each),422347
Orange Tangerine Juice (Each),227110
Mini Maple Pancakes (Package),196086
1% White Milk (Each),189429
Bagel (Bagel),92610
Honey Cheerios Cereal (Each),71032
Cream Cheese (Each),70942
Red Delicious Apple (Each - serving),69694
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",63964
Cinnamon Chex Cereal (Each),59553
Blueberry Chex Cereal (Each),51060
Fat Free White Milk (Each),50110
Banana (Each),46285
String Cheese (1 Stick),45260
Natural Breakfast Syrup (Each),32756
Natural Grape Jam (Packet),24546
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",18625
Orange (6 Slices per 1/2 cup),18603
Mandarin Orange Parfait (Parfait),18105
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),16026
Chicken & Biscuit Sandwich (Sandwich),15987
Egg and American Cheese on Bagel (Sandwich),14240
Turkey Sausage Breakfast Biscuit (Sandwich),13661
Strawberry Parfait (Parfait),13252
Egg and American Cheese on Biscuit (Sandwich),12278
Chilled Peaches (1/2 cup (drained)),11999
Blueberry Bread (1 square),11103
Orange Slices (3 slices per 1/4 cup),9751
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",8596
Blueberry Muffin Top (Muffin Top),8153
"Parfait, Triple Berry (Parfait)",7054
Applesauce (1/2 Cup),7051
Blueberry Bread (1oz Grain (1/64 Baked Pan)),6902
Golden Delicious Apple (Each),4662
Chilled Mandarin Oranges (1/2 cup (drained)),4137
Biscuit (Biscuit),3956
Chilled Pineapple (1/2 cup),3611
1% Unflavored Shelf-Stable Milk (Each),3524
Egg and American Cheese on English Muffin (Sandwich),3262
Apple Cinnamon Bread (2oz Grain (1/32 Baked Pan)),3087
Apple Slices (3 slices per 1/4 cup),2899
Apple Cinnamon Bread (Grain for entree) (1 square),2672
Bottled Water (Bottle),2565
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",2442
IW Applesauce Cup (Each),2126
Mini Maple Waffles (Package),2125
Assorted Craisins (Packet),1699
"Apple, Slices, IW - ER Supper Only (Each)",1635
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",1616
"Lactose Free, White Milk (Each)",1534
Whole Strawberries (1/2 cup thawed),1533
Strawberry Flavored Dried Cranberries (2 Eaches),1518
Fat Free Unflavored Shelf-Stable Milk (Each),1375
Graham Crackers (Package),1261
Orange (Each - serving),1229
Chicken Tenders (3 tenders),1099
"Batter, Pumpkin Bread (2oz Grain (1/32Baked Pan))",1095
Orange (1/4 cup),1092
Orange Slices (6 Slices per 1/2 cup),1066
"Cereal, Cinnamon Toast Crunch 1 oz (Sub) (Each)",1023
Natural Blackberry Jam (Packet),901
Strawberry Flavored Dried Cranberries (Each),745
"Apple Slices (3 slices, 1/4 cup)",703
Peach Parfait (Parfait),651
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),623
Granola (1/4 cup),612
Pumpkin Bread (1 square),567
Cherry Flavored Dried Cranberries (2 Eaches),495
Gala Apple (Each),459
Maple Belgian Waffle (Waffle),437
Orange Flavored Dried Cranberries (2 Eaches),423
Triple Berry Parfait Power Pack (Power Pack),388
"Sandwich, Turkey & Cheese (sandwich)",369
Watermelon Flavored Dried Cranberries (2 Eaches),359
"Bread, English Muffin, WG (Each)",356
Chicken Tenders Sub (Sandwich),352
Chilled Peaches (1/2 cup),308
Blueberry Parfait (Parfait),307
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",304
Turkey & Cheese on Biscuit (Sandwich),299
Blueberry Bread (2oz Grain (1/32 Baked Pan)),284
Strawberry Smoothie (8oz portion),278
Whole Wheat Dinner Roll (2 rolls),275
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",229
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",225
Roasted Sunflower Seeds (Package),203
Whole Wheat Dinner Roll (Each),198
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",187
Red Seedless Grapes (16 grapes per 1/2 cup),183
Hot Turkey & Cheese (sandwich),152
Assorted  4 oz Yogurt (Container),137
Apple Slices (6 Slices per 1/2 cup),126
Ketchup Packet (Packet),123
Banana Bread (Each),121
"Bread, Hamburger Bun (Bun)",121
"Bar, Lemon Blueberry (Each)",111
"Milk, Soy, Vanilla (24/8 oz) (each)",106
Cherry Vanilla Yogurt (Container),99
"Apple Slices (6 Slices, 1/2 cup)",96
Pineapple Parfait (Parfait),93
Strawberry Banana Yogurt (each),89
"Cheese, American, Sliced (3 slices)",89
Fat Free Chocolate Milk (Each),87
Cinnamon Waffle (each),71
Peach Yogurt Power Pack (Power Packs),66
Orange Flavored Dried Cranberries (Each),63
Cherry Flavored Dried Cranberries (Each),60
Raspberry Lemonade Flavored Dried Cranberries (Each),60
Watermelon Flavored Dried Cranberries (Each),57
"Bread, Loco (1/2 piece)",56
Manager's Vegetable Choice (1/2 cup),49
Assorted Cereal (Cereal Cup),46
"Nutri-Grain, Apple Cinnamon (each)",45
"Nutri-Grain, Strawberry (each)",38
