name,served_reimbursable,discarded_total,net_consumption
Fat Free Chocolate Milk (Each),951196,325.35,950870.65
Lettuce Blend Salad Mix (1/2 cup),604097,6554.04,597542.96
Ketchup Packet (Packet),567996,38.54,567957.46
Apple Slices (3 slices per 1/4 cup),336905,497.53,336407.47
Ranch Dressing (1 ounce),334381,2469.25,331911.75
PB&J Power Pack (Power Packs),266747,390.45,266356.55
Orange Slices (3 slices per 1/4 cup),252105,591.02,251513.98
Chicken Tenders (3 tenders),232043,635.88,231407.12
1% White Milk (Each),227389,1954.62,225434.38
Manager's Vegetable Choice (1/4 cup),213713,2334.5,211378.5
Banana (Each),207260,607.08,206652.92
Chocolate Chip Cookie (Cookie),199661,520.96,199140.04
Orange (1/4 cup),184307,558.13,183748.87
Cheese Pizza (Slice),183468,1882.96,181585.04
Red Seedless Grapes (16 grapes per 1/2 cup),179905,370.68,179534.32
Mayonnaise Packet (Packet),172012,51.83,171960.17
Red Delicious Apple (Each - serving),171249,166.16,171082.84
Red Seedless Grapes (8 grapes per 1/4 cup),150575,276.03,150298.97
Baby Carrots (3 baby carrots per 1/4 cup),137876,924.63,136951.37
Turkey Pepperoni Pizza (Slice),121650,1655.53,119994.47
Italian Dressing (1 ounce),120886,4411.2300000000005,116474.77
Cucumber Slices (1/4 cup),114178,2404.92,111773.08
Baked Cheese Sticks (2 Cheese Sticks),111741,846.06,110894.94
Chilled Mandarin Oranges (1/2 cup (drained)),98698,380.11,98317.89
Golden Delicious Apple (Each),87904,105.61,87798.39
Spicy Breaded Chicken Patty on Bun (Sandwich),85267,196.91,85070.09
Whole Wheat Dinner Roll (2 rolls),83479,411.85,83067.15
Broccoli Florets (1/4 cup),83277,1396.3799999999999,81880.62
Bottled Water (Bottle),81826,592.86,81233.14
Fat Free White Milk (Each),83685,2911.54,80773.46
Mustard Packet (Packet),80270,75.11,80194.89
Chilled Mandarin Oranges (1/4 cup (drained)),68976,230.43,68745.57
Chocolate Chip Cookie (1/2 Cookie),68507,579.06,67927.94
Cooked  Brown Rice (1/2 cup cooked),68317,608.51,67708.49
Cherry Tomatoes (1/4 cup),67996,911.1,67084.9
Soft Pretzel (1 pretzel),74916,9832.97,65083.03
Strawberry Flavored Dried Cranberries (Each),61660,73.28,61586.72
Cherry Flavored Dried Cranberries (Each),60593,147.74,60445.26
Marinara Sauce (1/2 cup),60868,423.17,60444.83
Watermelon Flavored Dried Cranberries (Each),58618,103.67,58514.33
Chickpeas (1/4 cup),65780,9674.16,56105.84
Cooked  Brown Rice (1 cup cooked),57191,1888.43,55302.57
