name,discarded_total
"IZZE, Apple (each)",0.0
Egg and American Cheese on English Muffin (Sandwich),0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0.0
Gatorade Zero Glacier Freeze (Each),0.0
Granola (1/4 cup),0.0
Grape Tomatoes (2 Tablespoons),0.0
Hard Boiled Eggs (Each),0.0
Diet Coke 24/12oz (Each),0.0
Honey Cheerios Cereal (Each),0.0
"Wrap, Breaded Chicken (Wrap)",0.0
"IZZE, Blackberry (each)",0.0
"IZZE, Strawberry (each)",0.0
Make Your Own Nachos (Nacho Kit),0.0
"Milk, Soy, Vanilla (24/8 oz) (each)",0.0
Mini Maple Pancakes (Package),0.0
IW Heartzels Pretzels (Package),0.0
Cucumber Slices (1/2 cup),0.0
Coke Classic 24/12oz (Each),0.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",0.0
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",0.0
Cheese Pizza (slice),0.0
Cheese Sandwich (sandwich),0.0
"Cheese, American, Sliced (3 slices)",0.0
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",0.0
Cherry Coke 24/12oz (Each),0.0
Cherry Vanilla Yogurt (Container),0.0
"Chex Mix, Cheddar - do not use (Package)",0.0
Chicken & Biscuit Sandwich (Sandwich),0.0
Chicken & Cheese Nachos (Serving),0.0
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",0.0
"Chicken, Diced (1/2 cup)",0.0
Chickenless Bites Wrap (Wrap),0.0
Chilled Pineapple (1/2 cup),0.0
Cinnamon Chex Cereal (Each),0.0
Mini Maple Waffles (Package),0.0
"Carrots, IW,   Super Snack (each)",0.0
Natural Breakfast Syrup (Each),0.0
"Nutri-Grain, Blueberry (each)",0.0
Strawberry Banana Yogurt (each),0.0
Strawberry Flavored Dried Cranberries (2 Eaches),0.0
String Cheese (1 Stick),0.0
Sweet Thai Chili Chickenless Bites (4 bites),0.0
Taco Flavored Hummus (2 Each),0.0
Taco Flavored Hummus (each),0.0
Steamed Baby Carrots (1/4 cup),0.0
Tortilla Chips (26 chips),0.0
Turkey & Cheese & Cracker Power Pack (wrap),0.0
Turkey Barbacoa (#10 scoop),0.0
Turkey Barbacoa (1/2 Cup),0.0
Turkey Sausage Breakfast Biscuit (Sandwich),0.0
Vanilla Sugar Cookie (Cookie),0.0
Vanilla Yogurt (1/2 cup),0.0
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",0.0
Sprite 24/12oz (Each),0.0
Red Seedless Grapes (24 grapes per 3/4 cup),0.0
Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),0.0
"Nutri-Grain, Strawberry (each)",0.0
Oat Milk (Each),0.0
Orange Slices (9 slices per 3/4 cup),0.0
Orange Slices (Each),0.0
"Pasta, Frozen, Penne (Serving Size)",0.0
"Pasta, Macaroni (1 cup cooked)",0.0
"Pasta, Penne (Prepared) (1/2 cup cooked)",0.0
"Pasta, Penne (Prepared) (cup cooked)",0.0
Peach Parfait (Parfait),0.0
Peach Yogurt (Container),0.0
"Peanut Butter and Jelly Sandwich, IW (Each)",0.0
Powerade Fruit Punch Zero (Each),0.0
Powerade Mixed Berry Zero (Each),0.0
"Quesadilla, Cheese and Taco Meat (Quesadilla)",0.0
Ranch Dressing Packet (Packet),0.0
Natural Grape Jam (Packet),0.0
"Carrots, IW,   Super Snack (2 each)",0.0
Yellow Peach (Each),0.0
Assorted Cereal (Cereal Cup),0.0
Bagel (Bagel),0.0
"Canned Pineapple, Tidbits (1/2 cup (drained))",0.0
Blueberry Chex Cereal (Each),0.0
"Bar, Lemon Blueberry (Each)",0.0
Assorted Craisins (Packet),0.0
Black Bean and Corn Salad (1/2 cup),0.0
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",0.0
Applesauce (3/4 cup),0.0
Carrot and Celery Sticks (1/4 cup),0.0
"Bread, English Muffin, WG (Each)",0.0
Biscuit (Biscuit),0.0
"CLPP, Grape Tomatoes (1/2 cup)",0.0
Assorted Whole Fruit (Piece of Fruit),0.0
"CLPP, Broccoli Crowns (1/2 cup)",0.0
"CLPP, Cucumbers (1 cup)",0.0
Maple Belgian Waffle (Waffle),0.1
Apple Cinnamon Bread (Grain for entree) (1 square),0.29
Flour Tortilla (Tortilla),0.36
Original Flavored Dried Cranberries (Package),0.5
"Apple Slices (6 Slices, 1/2 cup)",0.64
Chicken Parmesan Sandwich (Sandwich),0.69
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",0.85
Corn (1/2 cup (thawed)),0.91
"Patty, Chicken, Breaded, WG (Serving)",1.16
Roasted Sunflower Seeds (Package),1.21
Soft Bean Taco on Flour Tortilla (Taco),1.33
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),1.35
Vanilla Sugar Cookie (1/2 Cookie),1.43
Apple Slices (3/4 cup),1.67
Tortilla Chips (13 chips),1.67
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),2.22
Whole Wheat Sliced Bread (Slice),2.27
Bean Salad (SUMMER) (1 cup),2.5
Sweet N' Salty Popcorn (Bag),2.59
Kellogg’s W/G Rice Krispies Treats (Each),2.62
Broccoli Florets (Cup),2.78
"Beef, Meatballs, Pre-Cooked (5 meatballs)",2.86
"Chicken, Shredded, Fully Cooked (1/2 cup)",2.86
"Nutri-Grain, Apple Cinnamon (each)",2.94
Strawberry Parfait Power Pack w/Egg (Power Pack),2.94
WG Chocolate Chip Rice Krispy Treats (Each),3.09
Pumpkin Bread (1 square),3.1999999999999997
"Patty, Chicken, Spicy, Breaded (Patty)",3.45
Nachos with Cheese Sauce (serving size),3.75
Orange (Each - serving),3.83
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",3.85
Chilled Pineapple (1/4 cup),4.17
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",4.63
Blueberry Muffin Top (Muffin Top),4.76
"CLPP, Grape Tomatoes (1/4 cup)",4.86
Cherry Flavored Dried Cranberries (2 Eaches),4.95
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",5.5600000000000005
"Sauce, Alfredo (2oz Ladle (1/4 cup))",5.64
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",5.73
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",6.67
Orange Flavored Dried Cranberries (2 Eaches),7.55
Steamed Broccoli (1/4 cups),7.59
Apple Cinnamon Spread (Each),8.05
Blueberry Bread (1oz Grain (1/64 Baked Pan)),8.31
BBQ Chickenless Bites (4 bites),8.45
Breaded  Chicken Patty on a Bun (Sandwich),9.55
Whole Strawberries (1/4 cup thawed),10.620000000000001
Triple Berry Parfait Power Pack (Power Pack),10.64
Shredded Chicken Wrap (Wrap),12.5
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),12.59
Watermelon Flavored Dried Cranberries (2 Eaches),12.629999999999999
Pineapple Pepper Fruit Salsa (1 TBSP),13.0
"Tomato, Large, whole, Plum (1/4 cup sliced)",14.11
"Lettuce, Green Salad Mix (1 cup)",14.59
"Calzone, Cheese (Each)",15.04
Tikka Masala Sauce (ounce),15.09
Chilled Peaches (1/2 cup),15.28
Applesauce (1/4 cup),15.29
Fresh Whole Pear (Each),15.67
Corn (1/4 cup (cooked)),16.19
Potato Wedges (4 pieces),16.75
"Chicken, Bites, Breaded (4 Bites)",17.55
Grape Tomatoes (6 Tomatoes per 1/2 cup),17.72
Beef Meatballs (Serving),17.79
Korean BBQ Chickenless Bites (4 bites),18.07
Cheddar Chex Mix (Package),19.720000000000002
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",20.0
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",20.0
Egg and American Cheese on Bagel (Sandwich),20.0
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",20.1
Chicken Tenders Sub (Sandwich),20.37
Cool Ranch Reduced Fat Doritos (Each),20.4
1% Unflavored Shelf-Stable Milk (Each),21.43
Tex Mex Corn (1/4 cup),22.5
"Salsa, Mild Canned (1/4 cup)",22.5
Carrot and Celery Sticks (1/2 cup),24.310000000000002
Apple Slices (6 Slices per 1/2 cup),25.03
Fish Filet Potato Encrusted (each),25.09
Chicken Alfredo Pasta (heaping 1 cup ( #4 scoop)),25.9
"Pasta, Baked Penne (1 cup)",26.48
"Beef, Taco Meat, Pre-Cooked (1/2 cup (#8 scoop))",26.5
Lay's RF Kettle Original Chips (Each),27.54
Mac & Cheese (2/3 cup),27.57
"Cucumbers (1/4 cup sliced, 3 slices)",27.85
Orange Flavored Dried Cranberries (Each),27.87
"Salsa, Mild Canned (2 Tablespoons)",30.340000000000003
Red Seedless Grapes (2 Tablespoons),32.1
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",33.71
Orange (6 Slices per 1/2 cup),34.9
Soft Beef Taco on Flour Tortilla (Taco),35.480000000000004
SS Cheetos Fantastix Flaming Hot (Each),36.35
String Cheese (Each),36.67
Doritos RF Nacho Cheese (Each),37.4
Ketchup Packet (Packet),38.54
Chicken Alfredo Pasta (1 cup),38.7
Raspberry Lemonade Flavored Dried Cranberries (Each),40.0
Wheat Thins (Package),42.99
"Cheese, Shredded, Cheddar (Cup)",43.53
Egg and American Cheese on Biscuit (Sandwich),44.29
Cherry Tomatoes (6 Tomatoes per 1/2 cup),44.69
Bean Street Tacos on Flour Tortillas (2 Tacos),45.59
Apple Cinnamon Bread (1oz Grain (1/64 Baked Pan)),45.74
Doritos RF Spicy Sweet Chili (Each),47.15
Kettle Cooked Smoky BBQ Chips (Each),48.5
"Bread, Hamburger Bun (Bun)",50.0
Mayonnaise Packet (Packet),51.83
Korean Chicken Drumstick (Drumstick),51.97
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",55.58
Applesauce (1/2 Cup),55.81
"Peppers, Green, Whole (1/2 cup)",56.19
"Frozen Berry, Triple Berry Blend (1/2 cup (thawed))",56.84
"Chicken, Bites (4 Bites)",56.93
Potato Wedges (7 pieces),57.32
"Chicken, Drumstick, Roasted (Each Drumstick)",57.5
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),58.52
Mandarin Orange Parfait (Parfait),62.42
"Pasta, Lasagna Roll-Up, Cheese (Each)",62.54
Tomato Soup (8 oz Ladle),65.0
"Apple Slices (3 slices, 1/4 cup)",65.16
"Frozen, Blueberries (1/2 cup)",66.03999999999999
IW Applesauce Cup (Each),66.07
"Cheese, Shredded, Mozzarella (1/4 cup)",67.38
Nachos with Taco Meat and Cheese Sauce (Serving Size),68.16
"Cheese Sauce, Frozen, Nacho (1/2 cup)",68.59
Blueberry Bread (1 square),69.82000000000001
Blueberry Parfait (Parfait),70.0
"Patty, Chicken, Spicy, Breaded (2 strips)",72.31
"Patty, Chicken, Breaded, WG (2 strips)",72.34
Strawberry Flavored Dried Cranberries (Each),73.28
Fat Free Unflavored Shelf-Stable Milk (Each),73.51
Mustard Packet (Packet),75.11
Chicken and Cheese Quesadilla (Quesadilla),75.88
Marinara Sauce (1/4 Cup),78.72
WG Baked Funyuns (Each),80.02000000000001
RF Kettle Chips Sea Salt & Vinegar Chips (Each),81.65
"Carrots, Shredded (Cup)",82.72999999999999
Roasted Plantains (3 Slices),83.14
BBQ Sandwich (Sandwich),87.88
Doritos Flamas (Each),88.32
"Peppers, Red, Whole (1/4 cup)",92.54
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",94.43
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",94.45
"Fruit Snacks, Welch's Mixed (Each)",96.73
SS Baked Cheetos Flaming Hot (Each),99.0
Turkey Breast Steak (2 Slices),100.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",100.0
"Parfait, Triple Berry (Parfait)",101.42
Cucumber Slices (3/4 cup),103.26
Watermelon Flavored Dried Cranberries (Each),103.67
"Apple, Slices, IW - ER Supper Only (Each)",104.17
Golden Delicious Apple (Each),105.61
Chilled Peaches (1/4 cup (drained)),109.75
"Lactose Free, White Milk (Each)",111.08
Potato Encrusted Breaded Pollock (Fillet),112.05
Gala Apple (Each),112.78999999999999
Turkey & Cheese on Sub Roll (sandwich),115.74000000000001
BBQ Vegan Burger (Sandwich),117.9
SS Baked Cheetos Flaming Limon (Each),121.50000000000001
"Peppers, Green, Whole (1/4 cup)",122.69
"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",124.31
"Bread, Loco (flatbread)",125.23
Celery Sticks (1/4 cup),126.32000000000001
Assorted  4 oz Yogurt (Container),126.59
Chicken Eggroll (2 Egg Rolls),128.17
Whole Wheat Dinner Roll (Each),129.37
Chilled Peaches (1/2 cup (drained)),132.53
Graham Crackers (Package),133.28
Strawberry Chex Mix (Package),134.46
Black Beans (1/2 cup),135.23
Steamed Baby Carrots (1/2 cup),138.55
Orange Slices (6 Slices per 1/2 cup),139.22
Hamburger (Sandwich),144.89000000000001
Cherry Flavored Dried Cranberries (Each),147.74
Strawberry Parfait (Parfait),148.99
"Chicken, Wings, Pre-Cooked (3 Wings)",153.79
"Onions, Red, Whole (1/4 cup (sliced))",161.07999999999998
"Pizza, Turkey Pepperoni, Slice (Slice)",164.15
Red Delicious Apple (Each - serving),166.16
Broccoli Alfredo Pasta (1 cup),167.33
