name,left_over_total
"IZZE, Apple (each)",0.0
Cherry Coke 24/12oz (Each),0.0
"Cheese, American, Sliced (3 slices)",0.0
Cheese Sandwich (sandwich),0.0
Egg and American Cheese on Biscuit (Sandwich),0.0
Powerade Mixed Berry Zero (Each),0.0
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",0.0
Red Seedless Grapes (24 grapes per 3/4 cup),0.0
"Salsa, Mild Canned (1/4 cup)",0.0
Peach Parfait (Parfait),0.0
Carrot and Celery Sticks (1/4 cup),0.0
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",0.0
"CLPP, Broccoli Crowns (1/2 cup)",0.0
Broccoli Florets (Cup),0.0
Shredded Chicken Wrap (Wrap),0.0
Soft Beef Taco on Flour Tortilla (Taco),0.0
Blueberry Muffin Top (Muffin Top),0.0
Blueberry Chex Cereal (Each),0.0
Sprite 24/12oz (Each),0.0
"CLPP, Grape Tomatoes (1/4 cup)",0.0
"Pasta, Penne (Prepared) (1/2 cup cooked)",0.0
"Pasta, Macaroni (1 cup cooked)",0.0
Chicken & Biscuit Sandwich (Sandwich),0.0
Egg and American Cheese on Bagel (Sandwich),0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0.0
Fish Filet Potato Encrusted (each),0.0
Diet Coke 24/12oz (Each),0.0
Cucumber Slices (3/4 cup),0.0
Gatorade Zero Glacier Freeze (Each),0.0
Hard Boiled Eggs (Each),0.0
"Wrap, Breaded Chicken (Wrap)",0.0
"IZZE, Blackberry (each)",0.0
"IZZE, Strawberry (each)",0.0
Coke Classic 24/12oz (Each),0.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",0.0
Cinnamon Chex Cereal (Each),0.0
Make Your Own Nachos (Nacho Kit),0.0
Chickenless Bites Wrap (Wrap),0.0
"Chicken, Drumstick, Roasted (Each Drumstick)",0.0
"Chicken, Diced (1/2 cup)",0.0
Oat Milk (Each),0.0
Orange Slices (9 slices per 3/4 cup),0.0
Strawberry Parfait Power Pack w/Egg (Power Pack),0.0
Black Bean and Corn Salad (1/2 cup),0.0
Powerade Fruit Punch Zero (Each),0.0
Turkey Barbacoa (1/2 Cup),0.0
Tortilla Chips (26 chips),0.0
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",0.0
Assorted Cereal (Cereal Cup),0.0
Turkey & Cheese & Cracker Power Pack (wrap),0.0
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",0.0
Applesauce (3/4 cup),0.0
Taco Flavored Hummus (each),0.0
Bean Salad (SUMMER) (1 cup),0.0
Beef Meatballs (Serving),0.0
Apple Slices (3/4 cup),0.0
Vanilla Sugar Cookie (Cookie),0.0
Apple Cinnamon Spread (Each),0.0
"Bar, Lemon Blueberry (Each)",0.0
Vanilla Yogurt (1/2 cup),0.0
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",0.0
Turkey Sausage Breakfast Biscuit (Sandwich),0.0
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",1.0
"CLPP, Cucumbers (1 cup)",1.0
"Canned Pineapple, Tidbits (1/2 cup (drained))",1.0
Chicken Alfredo Pasta (heaping 1/2 cup (#8 scoop)),2.0
Turkey Barbacoa (#10 scoop),2.0
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",2.0
Tortilla Chips (13 chips),2.0
"Chicken, Shredded, Fully Cooked (1/2 cup)",2.0
Egg and American Cheese on English Muffin (Sandwich),2.0
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",3.0
"Bread, Hamburger Bun (Bun)",3.0
Maple Belgian Waffle (Waffle),3.0
Honey Cheerios Cereal (Each),4.0
"Cheese, Shredded, Mozzarella (1/4 cup)",4.0
Tikka Masala Sauce (ounce),5.0
Chicken & Cheese Nachos (Serving),5.0
BBQ Sandwich (Sandwich),6.0
"Nutri-Grain, Strawberry (each)",6.0
"Chicken, Drumstick, Sweet Thai Chili (Drumstick)",7.0
"Beef, Meatballs, Pre-Cooked (5 meatballs)",7.0
Assorted Whole Fruit (Piece of Fruit),7.0
Turkey Breast Steak (2 Slices),7.0
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),8.0
"Pasta, Penne (Prepared) (cup cooked)",9.0
Pineapple Pepper Fruit Salsa (1 TBSP),9.0
"Chex Mix, Cheddar - do not use (Package)",9.0
"Pasta, Frozen, Penne (Serving Size)",10.0
Cheese Pizza (slice),10.0
Bagel (Bagel),10.0
Soft Bean Taco on Flour Tortilla (Taco),11.0
Turkey Barbacoa Tacos on Flour Tortillas (2 Tacos),11.0
Whole Wheat Sliced Bread (Slice),11.0
Korean BBQ Chickenless Bites (4 bites),11.0
Chicken Parmesan Sandwich (Sandwich),12.0
Steamed Baby Carrots (1/4 cup),12.0
Cucumber Slices (1/2 cup),13.0
BBQ Vegan Burger (Sandwich),14.0
"Pasta, Lasagna Roll-Up, Cheese (Each)",14.0
Sweet Thai Chili Chickenless Bites (4 bites),15.0
Nachos with Cheese Sauce (serving size),15.0
"Lettuce, Green Salad Mix (1 cup)",15.0
Mac & Cheese (2/3 cup),16.0
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",17.0
Mini Maple Waffles (Package),18.0
Natural Grape Jam (Packet),19.0
Chicken Philly Sandwich (each),19.0
Blueberry Parfait (Parfait),19.0
Pumpkin Bread (1 square),20.0
"Quesadilla, Cheese and Taco Meat (Quesadilla)",20.0
"Carrots, IW,   Super Snack (each)",22.0
"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",24.0
Bean Street Tacos on Flour Tortillas (2 Tacos),24.0
Sweet N' Salty Popcorn (Bag),25.0
"Calzone, Cheese (Each)",29.0
"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",29.0
Biscuit (Biscuit),29.0
"Chicken, Bites, Breaded (4 Bites)",30.0
Korean Chicken Drumstick (Drumstick),30.0
"Sauce, Alfredo (2oz Ladle (1/4 cup))",30.0
Peach Yogurt (Container),30.0
Strawberry Banana Yogurt (each),33.0
"Nutri-Grain, Blueberry (each)",34.0
BBQ Chickenless Bites (4 bites),34.0
Chicken Tenders Sub (Sandwich),35.0
Chicken Eggroll (2 Egg Rolls),35.0
"Apple Slices (6 Slices, 1/2 cup)",36.0
"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",39.0
Triple Berry Parfait Power Pack (Power Pack),39.0
Cherry Vanilla Yogurt (Container),40.0
Apple Cinnamon Bread (Grain for entree) (1 square),40.0
Mandarin Orange Parfait (Parfait),44.0
Chicken Alfredo Pasta (1 cup),44.0
Mini Maple Pancakes (Package),46.0
"Cheese Sauce, Frozen, Nacho (1/2 cup)",47.0
Vanilla Sugar Cookie (1/2 Cookie),48.0
"Nutri-Grain, Apple Cinnamon (each)",48.0
String Cheese (1 Stick),50.0
"Applesauce, IW, Cinnamon. Unsweetened, Shelf-Stable (SUB) (Each)",50.0
Taco Flavored Hummus (2 Each),50.0
Creamy Cabbage Slaw (1/4 cup),51.0
"Bread, English Muffin, WG (Each)",52.0
"Frozen, Blueberries (1/2 cup)",53.0
Chilled Pineapple (1/2 cup),53.0
"Pasta, Baked Penne (1 cup)",54.0
"Chicken, Bites, Korean (4 Bites w/ 1oz sauce)",57.0
Grape Tomatoes (2 Tablespoons),65.0
"Turkey,  Breast, Pre-Sliced, Oven Roasted (6 Slices)",66.0
Turkey & Cheese on Sub Roll (sandwich),67.0
"Parfait, Triple Berry (Parfait)",69.0
"Pizza, Turkey Pepperoni, Slice (Slice)",69.0
"Cucumbers (1/4 cup sliced, 3 slices)",69.0
"Chicken, Wings, Pre-Cooked (3 Wings)",71.0
Broccoli Alfredo Pasta (1 cup),73.0
"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",76.0
Chilled Pineapple (1/4 cup),79.0
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",80.0
Flour Tortilla (Tortilla),82.0
Carrot and Celery Sticks (1/2 cup),83.0
Granola (1/4 cup),84.0
Fresh Whole Pear (Each),85.0
Tomato Soup (8 oz Ladle),85.0
Strawberry Parfait (Parfait),87.0
"Peppers, Green, Whole (1/4 cup)",88.0
Breaded  Chicken Patty on a Bun (Sandwich),89.0
"Taco, Turkey Barbacoa, Loco Bread (2 Tacos)",89.0
"Green Beans, Frozen (1/2 cup)",91.0
Yellow Peach (Each),92.0
"CLPP, Grape Tomatoes (1/2 cup)",92.0
Whole Strawberries (1/4 cup thawed),94.0
Ranch Dressing Packet (Packet),94.0
Sweet Thai Chili Chicken Bites (4 Bites w/ 1oz sauce),95.0
