School_Name,Date,Identifier,Name,Planned_Reimbursable,Planned_Non-Reimbursable,Planned_Total,Offered_Reimbursable,Offered_Non-Reimbursable,Offered_Total,Served_Reimbursable,Served_Non-Reimbursable,Served_Total,Discarded_Total,Discarded_Cost,Subtotal_Cost,Left_Over_Total,Left_Over_Percent_of_Offered,Left_Over_Cost,Production_Cost_Total
Aldrin Elementary,5/01/2025,10044,Soft Pretzel (1 pretzel),15,0,15,31,27,0,27,$5.94,0,0.00%,$0.00,$5.94,4,12.90%,$0.88,$6.82
Aldrin Elementary,5/01/2025,10062,Corn (1/4 cup (thawed)),92,0,92,155,152,0,152,$16.72,0,0.00%,$0.00,$16.72,3,1.94%,$0.33,$17.05
Aldrin Elementary,5/01/2025,20001,1% White Milk (Each),44,0,44,120,43,0,43,$15.48,0,0.00%,$0.00,$15.48,77,64.17%,$27.72,$43.20
Aldrin Elementary,5/01/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,155,131,0,131,$45.85,0,0.00%,$0.00,$45.85,24,15.48%,$8.40,$54.25
Aldrin Elementary,5/01/2025,20016,String Cheese (Each),2,0,2,5,2,0,2,$0.44,0,0.00%,$0.00,$0.44,3,60.00%,$0.66,$1.10
Aldrin Elementary,5/01/2025,20027,Broccoli Florets (1/4 cup),53,0,53,75,73,0,73,$5.84,0,0.00%,$0.00,$5.84,2,2.67%,$0.16,$6.00
Aldrin Elementary,5/01/2025,20028,Lettuce Blend Salad Mix (1 cup),22,0,22,20,18,0,18,$2.88,0,0.00%,$0.00,$2.88,2,10.00%,$0.32,$3.20
Aldrin Elementary,5/01/2025,20028,Lettuce Blend Salad Mix (1/2 cup),43,0,43,46,41,0,41,$3.28,0,0.00%,$0.00,$3.28,5,10.87%,$0.40,$3.68
Aldrin Elementary,5/01/2025,20031,Banana (Each),108,0,108,145,134,0,134,$28.14,0,0.00%,$0.00,$28.14,11,7.59%,$2.31,$30.45
Aldrin Elementary,5/01/2025,20038,Fat Free White Milk (Each),17,0,17,50,15,0,15,$4.95,0,0.00%,$0.00,$4.95,35,70.00%,$11.55,$16.50
Aldrin Elementary,5/01/2025,20047,Orange Slices (3 slices per 1/4 cup),0,0,0,188,181,0,181,$36.20,0,0.00%,$0.00,$36.20,7,3.72%,$1.40,$37.60
Aldrin Elementary,5/01/2025,20052,Assorted  4 oz Yogurt (Container),2,0,2,5,2,0,2,$0.00,0,0.00%,$0.00,$0.00,3,60.00%,$0.00,$0.00
Aldrin Elementary,5/01/2025,30008,Apple Juice (Each),22,0,22,20,17,0,17,$2.89,0,0.00%,$0.00,$2.89,3,15.00%,$0.51,$3.40
Aldrin Elementary,5/01/2025,30009,Orange Tangerine Juice (Each),8,0,8,12,11,0,11,$1.87,0,0.00%,$0.00,$1.87,1,8.33%,$0.17,$2.04
Aldrin Elementary,5/01/2025,30033,Cheez-Its Crackers (Package),0,0,0,10,6,0,6,$1.08,0,0.00%,$0.00,$1.08,4,40.00%,$0.72,$1.80
Aldrin Elementary,5/01/2025,30044,Strawberry Flavored Dried Cranberries (Each),8,0,8,20,16,0,16,$3.84,0,0.00%,$0.00,$3.84,4,20.00%,$0.96,$4.80
Aldrin Elementary,5/01/2025,30045,Watermelon Flavored Dried Cranberries (Each),8,0,8,20,17,0,17,$4.08,0,0.00%,$0.00,$4.08,3,15.00%,$0.72,$4.80
Aldrin Elementary,5/01/2025,30077,Italian Dressing (1 ounce),24,0,24,29,21,0,21,$1.68,0,0.00%,$0.00,$1.68,8,27.59%,$0.64,$2.32
Aldrin Elementary,5/01/2025,30094,Doritos Wild White Nacho Flavored Tortilla Chips (Bag),0,0,0,55,50,0,50,$17.50,0,0.00%,$0.00,$17.50,5,9.09%,$1.75,$19.25
Aldrin Elementary,5/01/2025,30097,Bottled Water (Bottle),5,0,5,10,7,0,7,$1.12,0,0.00%,$0.00,$1.12,3,30.00%,$0.48,$1.60
Aldrin Elementary,5/01/2025,30099,Chickpeas (1/4 cup),33,0,33,35,33,0,33,$2.97,2,5.71%,$0.18,$3.15,0,0.00%,$0.00,$3.15
Aldrin Elementary,5/01/2025,30107,Ranch Dressing (1 ounce),30,0,30,34,29,0,29,$3.19,0,0.00%,$0.00,$3.19,5,14.71%,$0.55,$3.74
Aldrin Elementary,5/01/2025,30109,Smartfood RF White Cheddar Popcorn (Each),21,0,21,15,12,0,12,$4.44,0,0.00%,$0.00,$4.44,3,20.00%,$1.11,$5.55
Aldrin Elementary,5/01/2025,60035,PB&J Power Pack (Power Packs),32,0,32,30,27,0,27,$29.16,0,0.00%,$0.00,$29.16,3,10.00%,$3.24,$32.40
Aldrin Elementary,5/01/2025,60036,Cherry Vanilla Yogurt Power Pack (Power Packs),5,0,5,10,6,0,6,$4.80,0,0.00%,$0.00,$4.80,4,40.00%,$3.20,$8.00
Aldrin Elementary,5/01/2025,60037,Strawberry & Banana Yogurt Power Pack (Power Packs),6,0,6,15,7,0,7,$5.60,0,0.00%,$0.00,$5.60,8,53.33%,$6.40,$12.00
Aldrin Elementary,5/01/2025,60038,Peach Yogurt Power Pack (Power Packs),5,0,5,10,4,0,4,$3.20,0,0.00%,$0.00,$3.20,6,60.00%,$4.80,$8.00
Aldrin Elementary,5/01/2025,60077,Manager's Vegetable Choice (1/4 cup),62,0,62,130,123,0,123,$0.00,0,0.00%,$0.00,$0.00,7,5.38%,$0.00,$0.00
Aldrin Elementary,5/01/2025,60120,Asian Veggie Sub (sandwich),109,0,109,103,101,0,101,$190.89,0,0.00%,$0.00,$190.89,2,1.94%,$3.78,$194.67
Aldrin Elementary,5/01/2025,60122,Asian Meatball Sub (sandwich),16,0,16,21,17,0,17,$30.26,0,0.00%,$0.00,$30.26,4,19.05%,$7.12,$37.38
Aldrin Elementary,5/02/2025,10044,Soft Pretzel (1 pretzel),15,0,15,32,29,0,29,$6.38,0,0.00%,$0.00,$6.38,3,9.38%,$0.66,$7.04
Aldrin Elementary,5/02/2025,20001,1% White Milk (Each),44,0,44,125,52,0,52,$18.72,0,0.00%,$0.00,$18.72,73,58.40%,$26.28,$45.00
Aldrin Elementary,5/02/2025,20002,Fat Free Chocolate Milk (Each),133,0,133,205,159,0,159,$55.65,0,0.00%,$0.00,$55.65,46,22.44%,$16.10,$71.75
Aldrin Elementary,5/02/2025,20011,Cherry Tomatoes (1/4 cup),37,0,37,75,73,0,73,$27.01,2,2.67%,$0.74,$27.75,0,0.00%,$0.00,$27.75
Aldrin Elementary,5/02/2025,20016,String Cheese (Each),3,0,3,5,1,0,1,$0.22,0,0.00%,$0.00,$0.22,4,80.00%,$0.88,$1.10
Aldrin Elementary,5/02/2025,20018,Red Seedless Grapes (8 grapes per 1/4 cup),147,0,147,220,213,0,213,$55.38,0,0.00%,$0.00,$55.38,7,3.18%,$1.82,$57.20
Aldrin Elementary,5/02/2025,20028,Lettuce Blend Salad Mix (1/2 cup),43,0,43,46,44,0,44,$3.52,2,4.35%,$0.16,$3.68,0,0.00%,$0.00,$3.68
Aldrin Elementary,5/02/2025,20038,Fat Free White Milk (Each),17,0,17,50,20,0,20,$6.60,0,0.00%,$0.00,$6.60,30,60.00%,$9.90,$16.50
Aldrin Elementary,5/02/2025,20052,Assorted  4 oz Yogurt (Container),3,0,3,5,1,0,1,$0.00,0,0.00%,$0.00,$0.00,4,80.00%,$0.00,$0.00
Aldrin Elementary,5/02/2025,30008,Apple Juice (Each),22,0,22,25,23,0,23,$3.91,0,0.00%,$0.00,$3.91,2,8.00%,$0.34,$4.25
Aldrin Elementary,5/02/2025,30009,Orange Tangerine Juice (Each),9,0,9,15,14,0,14,$2.38,0,0.00%,$0.00,$2.38,1,6.67%,$0.17,$2.55
